bund_nr,horikombi,flaeche,anzahl,probennr
50106,l+of,900,8,19_31
50106,oh,900,8,19_32
50107,l+of,450,8,423_31
50107,oh,450,8,423_32
50108,l+of,225,8,69_31
50109,l+of,225,8,911_31
50109,oh,225,8,911_32
50110,l+of,-9,-9,-9
50110,l+of+oh,900,8,66_31
50111,l+of,900,8,5_31
50111,oh,900,8,5_32
50112,l+of,225,8,29_31
50112,oh,225,8,29_32
50113,l,900,24,863_31
50114,l+of,225,8,37_31
50114,oh,225,8,37_32
50115,l+of,900,8,31_31
50116,l+of,900,8,862_31
50117,l+of,900,8,859_31
50117,l+of+oh,-9,-9,-9
50117,oh,900,8,859_32
50118,l+of,900,8,909_31
50118,oh,900,8,909_32
50119,l+of,900,8,26_31
50120,l+of,225,8,81_31
50120,oh,225,8,81_32
50121,l+of,-9,-9,-9
50121,l+of+oh,225,8,79_31
50122,l+of,900,8,861_31
50123,l+of,450,8,887_31
50123,l+of+oh,-9,-9,-9
50123,oh,450,8,887_32
50124,l+of,-9,-9,-9
50124,l+of+oh,900,8,889_31
50124,oh,900,8,889_32
50125,l+of,225,8,907_31
50125,oh,225,8,907_32
50126,l+of,900,8,856_31
50126,oh,-9,-9,-9
50127,l+of,900,8,856_31
50127,oh,-9,-9,-9
50128,l+of,-9,-9,-9
50128,l+of+oh,900,8,899_31
50129,l+of,225,8,456_31
50129,oh,225,8,456_32
50130,l+of,900,8,864_31
50131,l+of,-9,-9,-9
50131,l+of+oh,900,8,869_31
50132,l+of,225,8,886_31
50132,oh,225,8,886_32
50133,l+of,900,8,895_31
50133,l+of+oh,-9,-9,-9
50133,of,-9,-9,-9
50133,oh,900,8,895_32
50134,l+of+oh,900,8,457_31
50135,l+of,-9,-9,-9
50135,l+of+oh,900,8,-9
50136,l+of,900,8,870_31
50137,l+of,225,8,892_31
50138,l+of,900,8,873_31
50138,l+of+oh,-9,-9,-9
50139,l+of,900,8,874_31
50140,l+of,-9,-9,-9
50140,l+of+oh,900,8,881_31
50141,l+of,900,8,84_31
50142,l+of,450,8,87_31
50142,oh,450,8,87_32
50143,l+of,900,8,85_31
50144,l+of,225,8,88_31
50144,oh,225,8,88_32
50145,l+of,900,8,89_31
50146,l+of,450,8,86_31
50146,oh,450,8,86_32
