bund_nr,bodenbearb
120001,1
120002,13
120003,15
120004,19
120005,15
120006,15
120007,13
120008,13
120009,0
120010,13
120011,13
120012,0
120013,15
120014,0
120015,13
120016,0
120017,13
120018,0
120019,13
120020,15
120021,13
120022,13
120023,-2
120024,13
120025,1
120026,0
120027,13
120028,13
120029,1
120030,15
120031,1
120032,13
120033,13
120034,13
120035,15
120036,13
120037,15
120038,1
120039,13
120040,13
120041,15
120042,13
120043,13
120044,13
120045,13
120046,13
120047,0
120048,13
120049,0
120050,13
120051,13
120052,13
120053,13
120054,13
120055,13
120056,13
120057,15
120058,13
120059,0
120060,13
120061,13
120062,13
120063,13
120064,-2
120065,1
120066,13
120067,13
120068,13
120069,13
120070,13
120071,13
120072,0
120073,13
120074,13
120075,15
120076,13
120077,0
120078,13
120079,13
120080,0
120081,0
120082,-2
120083,15
120084,0
120085,0
120086,0
120087,0
120088,1
120089,13
120090,13
120091,13
120092,13
120093,13
120094,0
120095,13
120096,13
120097,0
120098,0
120099,19
120100,13
120101,1
120102,13
120103,13
120104,15
120105,13
120106,13
120107,0
120108,15
120109,13
120110,15
120111,13
120112,13
120113,13
120114,13
120115,13
120116,13
120117,15
120118,13
120119,0
120120,0
120121,-2
120122,0
120123,1
120124,13
120125,0
120126,-2
120127,15
120128,0
120129,13
120130,1
120131,15
120132,0
120133,13
120134,15
120135,13
120136,13
120137,1
120138,13
120139,15
120140,15
120141,13
120142,13
120143,0
120144,15
120145,13
120146,13
120147,0
120148,19
120149,13
120150,1
120151,13
120152,-2
120153,13
120154,13
120155,15
120156,0
120157,13
120158,-2
120159,0
120160,13
120161,13
120162,-2
120163,15
120164,15
120165,13
120166,-2
120167,15
120168,0
120169,13
120170,13
120181,15
120182,0
120183,0
120184,0
120185,0
120186,0
120187,0
120188,0
