bnr,bart,bund_nr,quirl,nadeljg,trieb,probe_nr,anmerkung
120003,ei,120003,-2,-2,1,P1080,
120004,rbu,120004,-2,-2,1,P1081,
120006,gki,120006,7-15,0,-2,P151,
120006,gki,120006,7-15,+1,-2,P152,
120006,gki,120006,7-15,+2,-2,P153,
120007,gki,120007,7-15,0,-2,P219,
120007,gki,120007,7-15,+1,-2,P220,
120008,gki,120008,7-15,0,-2,P233,
120008,gki,120008,7-15,+1,-2,P234,
120009,gki,120009,7-15,0,-2,P267,
120009,gki,120009,7-15,+1,-2,P268,
120010,gki,120010,7-15,0,-2,P92,
120010,gki,120010,7-15,+1,-2,P93,
120011,gki,120011,7-15,0,-2,P54,
120011,gki,120011,7-15,+1,-2,P55,
120011,gki,120011,7-15,+2,-2,P56,
120012,gki,120012,7-15,0,-2,P57,
120012,gki,120012,7-15,+1,-2,P58,
120013,gki,120013,7-15,0,-2,P227,
120013,gki,120013,7-15,+1,-2,P228,
120014,gki,120014,7-15,0,-2,P195,
120014,gki,120014,7-15,+1,-2,P196,
120015,ei,120015,-2,-2,1,P1082,
120016,gki,120016,7-15,0,-2,P94,
120016,gki,120016,7-15,+1,-2,P95,
120017,gki,120017,7-15,0,-2,P201,
120017,gki,120017,7-15,+1,-2,P202,
120017,gki,120017,7-15,+2,-2,P203,
120019,gki,120019,7-15,0,-2,P59,
120019,gki,120019,7-15,+1,-2,P60,
120019,gki,120019,7-15,+2,-2,P61,
120020,gki,120020,7-15,0,-2,P62,
120020,gki,120020,7-15,+1,-2,P63,
120020,gki,120020,7-15,+2,-2,P64,
120021,gki,120021,7-15,0,-2,P65,
120021,gki,120021,7-15,+1,-2,P66,
120022,gki,120022,7-15,0,-2,P32,
120022,gki,120022,7-15,+1,-2,P33,
120022,gki,120022,7-15,+2,-2,P34,
120024,gki,120024,7-15,0,-2,P166,
120024,gki,120024,7-15,+1,-2,P167,
120024,gki,120024,7-15,+2,-2,P168,
120025,gki,120025,7-15,0,-2,P239,
120025,gki,120025,7-15,+1,-2,P240,
120027,gki,120027,7-15,0,-2,P131,
120027,gki,120027,7-15,+1,-2,P132,
120028,gki,120028,7-15,0,-2,P207,
120028,gki,120028,7-15,+1,-2,P208,
120028,gki,120028,7-15,+2,-2,P209,
120029,gki,120029,7-15,0,-2,P241,
120029,gki,120029,7-15,+1,-2,P242,
120030,gki,120030,7-15,0,-2,P204,
120030,gki,120030,7-15,+1,-2,P205,
120030,gki,120030,7-15,+2,-2,P206,
120031,gki,120031,7-15,0,-2,P160,
120031,gki,120031,7-15,+1,-2,P161,
120031,gki,120031,7-15,+2,-2,P162,
120032,gki,120032,7-15,0,-2,P29,
120032,gki,120032,7-15,+1,-2,P30,
120032,gki,120032,7-15,+2,-2,P31,
120033,gki,120033,7-15,0,-2,P14,
120033,gki,120033,7-15,+1,-2,P15,
120033,gki,120033,7-15,+2,-2,P16,
120034,gki,120034,7-15,0,-2,P101,
120034,gki,120034,7-15,+1,-2,P102,
120034,gki,120034,7-15,+2,-2,P103,
120035,gki,120035,7-15,0,-2,P113,
120035,gki,120035,7-15,+1,-2,P114,
120035,gki,120035,7-15,+2,-2,P115,
120036,gki,120036,7-15,0,-2,P197,
120036,gki,120036,7-15,+1,-2,P198,
120037,gki,120037,7-15,0,-2,P199,
120037,gki,120037,7-15,+1,-2,P200,
120038,gki,120038,7-15,0,-2,P5,
120038,gki,120038,7-15,+1,-2,P6,
120038,gki,120038,7-15,+2,-2,P7,
120040,gki,120040,7-15,0,-2,P73,
120040,gki,120040,7-15,+1,-2,P74,
120040,gki,120040,7-15,+2,-2,P75,
