bund_nr,ort,b1,b2,ss,ks,ms,bos,ls
120001,z,85.0,0.0,30.0,6.0,0.0,-9.0,-9.0
120002,z,80.0,18.0,8.0,75.0,3.0,-9.0,-9.0
120003,z,100.0,0.0,0.0,1.0,1.0,-9.0,-9.0
120004,z,100.0,8.0,40.0,24.0,0.0,-9.0,-9.0
120005,z,75.0,0.0,0.0,60.0,60.0,-9.0,-9.0
120006,z,60.0,85.0,22.0,1.0,0.0,-9.0,-9.0
120007,z,95.0,0.0,0.0,60.0,1.0,-9.0,-9.0
120008,z,70.0,0.0,0.0,100.0,78.0,-9.0,-9.0
120009,z,80.0,70.0,65.0,2.0,0.0,-9.0,-9.0
120009,z,40.0,30.0,50.0,10.0,15.0,-9.0,-9.0
120010,z,90.0,0.0,0.0,21.0,29.0,-9.0,-9.0
120011,z,95.0,0.0,0.0,14.0,60.0,-9.0,-9.0
120012,z,90.0,0.0,0.0,45.0,95.0,-9.0,-9.0
120012,z,50.0,0.0,0.0,30.0,85.0,-9.0,-9.0
120013,z,90.0,0.0,4.0,100.0,81.0,-9.0,-9.0
120014,z,70.0,2.0,2.0,100.0,55.0,-9.0,-9.0
120014,z,35.0,6.0,0.5,85.0,85.0,-9.0,-9.0
120015,z,95.0,0.0,1.0,50.0,0.0,-9.0,-9.0
120016,z,40.0,0.0,0.0,100.0,75.0,-9.0,-9.0
120017,z,80.0,0.0,1.0,100.0,15.0,-9.0,-9.0
120018,z,100.0,5.0,0.0,0.0,0.0,-9.0,-9.0
120019,z,90.0,0.0,0.0,70.0,75.0,-9.0,-9.0
120020,z,80.0,0.0,45.0,60.0,45.0,-9.0,-9.0
120021,z,65.0,0.0,13.0,100.0,70.0,-9.0,-9.0
120021,z,35.0,0.0,25.0,70.0,85.0,-9.0,-9.0
120022,z,85.0,0.0,1.0,75.0,70.0,-9.0,-9.0
120022,z,35.0,0.0,0.5,75.0,90.0,-9.0,-9.0
120024,z,80.0,0.0,1.0,82.0,45.0,-9.0,-9.0
