bund_nr,bover_1,bover_2,bover_3,bover_4,auswirkung,richtungskorr,entfkorr
120026,,,,,0,-9,-2
120026,,,,,0,-9,-2
120026,,,,,0,-9,-2
120026,,,,,0,-9,-2
120027,11,,,,0,-9,-2
120027,11,13,,,1,-9,1
120027,11,13,,,1,-9,2
120027,11,13,,,1,-9,2
120027,11,13,,,1,-9,2
120027,11,13,,,1,-9,0
120027,13,,,,1,-9,1
120027,,,,,0,-9,-2
120028,,,,,0,-9,-2
120028,,,,,0,-9,-2
120028,,,,,0,-9,-2
120028,,,,,0,-9,-2
120028,,,,,0,-9,-2
120028,,,,,0,-9,-2
120028,,,,,0,-9,-2
120028,,,,,0,-9,-2
120029,29,,,,0,-9,-2
120029,,,,,0,-9,-2
120029,13,,,,1,-9,3
120029,11,,,,0,-9,-2
120029,,,,,0,-9,-2
120029,,,,,0,-9,-2
120029,,,,,0,-9,-2
120029,,,,,0,-9,-2
120030,,,,,0,-9,-2
120030,,,,,0,-9,-2
120030,,,,,0,-9,-2
120030,,,,,0,-9,-2
120030,,,,,0,-9,-2
120030,11,,,,0,-9,-2
120030,,,,,0,-9,-2
120030,,,,,0,-9,-2
120031,29,,,,0,-9,-2
120031,29,,,,0,-9,-2
120031,29,,,,0,-9,-2
120031,29,,,,0,-9,-2
120031,29,11,,,1,-9,3
120031,,,,,0,-9,-2
120031,,,,,0,-9,-2
120031,,,,,0,-9,-2
120032,29,,,,0,-9,-2
120032,13,,,,1,-9,1
120032,13,,,,1,-9,2
120032,29,,,,0,-9,-2
120032,,,,,0,-9,-2
120032,13,,,,1,-9,3
120032,,,,,0,-9,-2
120032,29,,,,0,-9,-2
120033,,,,,0,-9,-2
120033,13,,,,1,-9,1
120033,13,,,,1,-9,1
120033,13,,,,1,-9,1
120033,,,,,0,-9,-2
120033,,,,,0,-9,-2
120033,,,,,0,-9,-2
120033,,,,,0,-9,-2
120034,,,,,0,-9,-2
120034,,,,,0,-9,-2
120034,,,,,0,-9,-2
120034,,,,,0,-9,-2
120034,,,,,0,-9,-2
120034,,,,,0,-9,-2
120034,,,,,0,-9,-2
120034,,,,,0,-9,-2
120035,13,11,,,1,-9,2
120035,13,11,,,0,-9,-2
120035,11,,,,0,-9,-2
120035,,,,,0,-9,-2
120035,,,,,0,-9,-2
120035,,,,,0,-9,-2
120035,13,11,,,1,-9,2
120035,,,,,0,-9,-2
120036,11,29,,,0,-9,-2
120036,29,,,,1,-9,3
120036,11,29,,,0,-9,-2
120036,11,,,,0,-9,-2
120036,11,29,,,1,-9,2
120036,29,,,,0,-9,-2
120036,29,,,,0,-9,-2
120036,29,,,,0,-9,-2
120037,13,,,,1,-9,1
120037,,,,,0,-9,-2
120037,,,,,0,-9,-2
120037,,,,,0,-9,-2
120037,,,,,0,-9,-2
120037,11,,,,1,-9,2
120037,,,,,0,-9,-2
120037,,,,,0,-9,-2
120038,29,41,,,0,-9,-2
120038,41,,,,0,-9,-2
120038,41,,,,0,-9,-2
120038,41,,,,0,-9,-2
120038,41,,,,0,-9,-2
120038,29,41,,,0,-9,-2
120038,29,41,,,0,-9,-2
120038,41,,,,0,-9,-2
120039,13,,,,1,-9,2
120039,,,,,0,-9,-2
120039,,,,,0,-9,-2
120039,,,,,0,-9,-2
120039,,,,,0,-9,-2
120039,,,,,0,-9,-2
120039,44,,,,1,-9,6
120039,44,,,,1,-9,6
120040,,,,,0,-9,-2
120040,,,,,0,-9,-2
120040,29,,,,0,-9,-2
120040,-9,,,,1,-9,2
120040,29,,,,1,-9,3
120040,29,,,,0,-9,-2
120040,29,,,,0,-9,-2
120040,29,38,,,1,-9,2
120041,,,,,0,-9,-2
120041,,,,,0,-9,-2
120041,49,,,,1,-9,0
120041,11,,,,1,-9,2
120041,,,,,0,-9,-2
120041,,,,,0,-9,-2
120041,11,,,,1,-9,1
120041,49,,,,0,-9,-2
120042,,,,,0,-9,-2
120042,,,,,0,-9,-2
120042,29,,,,1,-9,2
120042,29,,,,1,-9,2
120042,29,,,,1,-9,1
120042,29,,,,1,-9,1
120042,,,,,0,-9,-2
120042,,,,,0,-9,-2
120043,29,,,,0,-9,-2
120043,,,,,0,-9,-2
120043,,,,,0,-9,-2
120043,13,,,,1,-9,2
120043,,,,,0,-9,-2
120043,,,,,0,-9,-2
120043,,,,,0,-9,-2
120043,29,,,,0,-9,-2
120044,29,,,,0,-9,-2
120044,,,,,0,-9,-2
120044,,,,,0,-9,-2
120044,11,,,,0,-9,-2
120044,,,,,0,-9,-2
120044,,,,,0,-9,-2
120044,,,,,0,-9,-2
120044,,,,,0,-9,-2
120045,11,,,,0,-9,-2
120045,11,29,,,0,-9,-2
120045,,,,,0,-9,-2
120045,,,,,0,-9,-2
120045,29,,,,0,-9,-2
120045,29,,,,0,-9,-2
120045,11,29,,,0,-9,-2
120045,29,,,,0,-9,-2
120046,,,,,0,-9,-2
120046,,,,,0,-9,-2
120046,,,,,0,-9,-2
120046,,,,,0,-9,-2
120046,,,,,0,-9,-2
120046,,,,,0,-9,-2
120046,,,,,0,-9,-2
120046,29,,,,1,-9,6
120047,,,,,0,-9,-2
120047,,,,,0,-9,-2
120047,,,,,0,-9,-2
120047,29,,,,0,-9,-2
120047,29,,,,0,-9,-2
120047,29,,,,0,-9,-2
120047,11,,,,0,-9,-2
120047,29,,,,0,-9,-2
120048,19,,,,0,-9,-2
120048,19,,,,0,-9,-2
120048,19,,,,0,-9,-2
120048,19,,,,0,-9,-2
120048,19,,,,0,-9,-2
120048,19,,,,0,-9,-2
120048,19,,,,0,-9,-2
120048,19,,,,0,-9,-2
120049,,,,,0,-9,-2
120049,,,,,0,-9,-2
120049,,,,,0,-9,-2
120049,,,,,0,-9,-2
120049,,,,,0,-9,-2
120049,,,,,0,-9,-2
120049,,,,,0,-9,-2
120049,,,,,0,-9,-2
120050,,,,,0,-9,-2
120050,,,,,0,-9,-2
120050,,,,,0,-9,-2
120050,,,,,0,-9,-2
120050,,,,,0,-9,-2
120050,,,,,0,-9,-2
120050,,,,,0,-9,-2
120050,,,,,0,-9,-2
120051,,,,,0,-9,-2
120051,,,,,0,-9,-2
120051,,,,,0,-9,-2
120051,,,,,0,-9,-2
120051,,,,,0,-9,-2
120051,,,,,0,-9,-2
120051,,,,,0,-9,-2
120051,,,,,0,-9,-2
120052,,,,,0,-9,-2
120052,49,,,,1,-9,1
120052,,,,,0,-9,-2
120052,,,,,0,-9,-2
120052,,,,,0,-9,-2
120052,,,,,0,-9,-2
120052,,,,,0,-9,-2
120052,,,,,0,-9,-2
120053,,,,,0,-9,-2
120053,,,,,0,-9,-2
120053,,,,,0,-9,-2
120053,,,,,0,-9,-2
120053,,,,,0,-9,-2
120053,,,,,0,-9,-2
120053,,,,,0,-9,-2
120053,,,,,0,-9,-2
120054,19,,,,0,-9,-2
120054,19,,,,0,-9,-2
120054,19,,,,0,-9,-2
120054,19,,,,0,-9,-2
120054,19,,,,0,-9,-2
120054,19,,,,0,-9,-2
120054,19,,,,0,-9,-2
120054,19,,,,0,-9,-2
120055,19,,,,0,-9,-2
120055,19,,,,0,-9,-2
120055,19,,,,0,-9,-2
120055,19,,,,0,-9,-2
120055,19,,,,0,-9,-2
120055,19,,,,0,-9,-2
120055,19,,,,0,-9,-2
120055,19,,,,0,-9,-2
120056,,,,,0,-9,-2
120056,12,,,,1,-9,1
120056,,,,,0,-9,-2
120056,,,,,0,-9,-2
120056,,,,,0,-9,-2
120056,,,,,0,-9,-2
120056,,,,,0,-9,-2
120056,,,,,0,-9,-2
120057,29,11,,,0,-9,-2
120057,29,11,,,0,-9,-2
120057,29,11,,,0,-9,-2
120057,29,11,,,0,-9,-2
120057,29,11,,,0,-9,-2
120057,29,11,,,0,-9,-2
120057,29,11,,,0,-9,-2
120057,29,11,,,0,-9,-2
120058,11,,,,0,-9,-2
120058,44,,,,0,-9,-2
120058,,,,,0,-9,-2
120058,11,,,,0,-9,-2
120058,44,,,,0,-9,-2
120058,,,,,0,-9,-2
120058,,,,,0,-9,-2
120058,,,,,0,-9,-2
120059,,,,,0,-9,-2
120059,11,,,,0,-9,-2
120059,,,,,0,-9,-2
120059,,,,,0,-9,-2
120059,,,,,0,-9,-2
120059,,,,,0,-9,-2
120059,,,,,0,-9,-2
120059,29,,,,0,-9,-2
120060,,,,,0,-9,-2
120060,,,,,0,-9,-2
120060,,,,,0,-9,-2
120060,,,,,0,-9,-2
120060,,,,,0,-9,-2
120060,,,,,0,-9,-2
120060,,,,,0,-9,-2
120060,,,,,0,-9,-2
120061,,,,,0,-9,-2
120061,,,,,0,-9,-2
120061,,,,,0,-9,-2
120061,,,,,0,-9,-2
120061,,,,,0,-9,-2
120061,13,,,,1,-9,1
120061,19,,,,1,-9,1
120061,,,,,0,-9,-2
120062,,,,,0,-9,-2
120062,,,,,0,-9,-2
120062,,,,,0,-9,-2
120062,,,,,0,-9,-2
120062,,,,,0,-9,-2
120062,,,,,0,-9,-2
120062,,,,,0,-9,-2
120062,,,,,0,-9,-2
120063,29,,,,0,-9,-2
120063,19,,,,0,-9,-2
120063,19,,,,0,-9,-2
120063,29,,,,0,-9,-2
120063,19,,,,0,-9,-2
120063,,,,,0,-9,-2
120063,,,,,0,-9,-2
120063,,,,,0,-9,-2
120064,-2,,,,0,-9,-9
120064,-2,,,,0,-9,-9
120064,-2,,,,0,-9,-9
120064,-2,,,,0,-9,-9
120064,-2,,,,0,-9,-9
120064,-2,,,,0,-9,-9
120064,-2,,,,0,-9,-9
120064,-2,,,,0,-9,-9
120065,,,,,0,-9,-2
120065,,,,,0,-9,-2
120065,,,,,0,-9,-2
120065,,,,,0,-9,-2
120065,,,,,0,-9,-2
120065,,,,,0,-9,-2
120065,,,,,0,-9,-2
120065,,,,,0,-9,-2
120066,11,,,,1,-9,1
120066,29,,,,1,-9,1
120066,,,,,0,-9,-2
120066,,,,,0,-9,-2
120066,,,,,0,-9,-2
120066,19,,,,0,-9,-2
120066,19,,,,1,-9,1
120066,,,,,0,-9,-2
120067,,,,,0,-9,-2
120067,,,,,0,-9,-2
120067,,,,,0,-9,-2
120067,,,,,0,-9,-2
120067,,,,,0,-9,-2
120067,,,,,0,-9,-2
120067,,,,,0,-9,-2
120067,,,,,0,-9,-2
120068,,,,,0,-9,-2
120068,,,,,0,-9,-2
120068,,,,,0,-9,-2
120068,,,,,0,-9,-2
120068,,,,,0,-9,-2
120068,,,,,0,-9,-2
120068,,,,,0,-9,-2
120068,,,,,0,-9,-2
120069,19,,,,0,-9,-2
120069,19,,,,0,-9,-2
120069,19,,,,0,-9,-2
120069,19,,,,0,-9,-2
120069,19,,,,0,-9,-2
120069,19,,,,0,-9,-2
120069,19,,,,0,-9,-2
120069,19,,,,0,-9,-2
120070,,,,,0,-9,-2
120070,,,,,0,-9,-2
120070,,,,,0,-9,-2
120070,,,,,0,-9,-2
120070,,,,,0,-9,-2
120070,29,,,,0,-9,-2
120070,,,,,0,-9,-2
120070,,,,,0,-9,-2
120071,,,,,0,-9,-2
120071,,,,,0,-9,-2
120071,,,,,0,-9,-2
120071,,,,,0,-9,-2
120071,,,,,0,-9,-2
120071,,,,,0,-9,-2
120071,,,,,0,-9,-2
120071,,,,,0,-9,-2
120072,,,,,0,-9,-2
120072,,,,,0,-9,-2
120072,,,,,0,-9,-2
120072,13,,,,1,-9,0
120072,,,,,0,-9,-2
120072,,,,,0,-9,-2
120072,,,,,0,-9,-2
120072,,,,,0,-9,-2
120073,11,,,,0,-9,-2
120073,11,,,,0,-9,-2
120073,11,,,,0,-9,-2
120073,11,,,,0,-9,-2
120073,11,,,,0,-9,-2
120073,11,,,,0,-9,-2
120073,11,,,,0,-9,-2
120073,11,,,,0,-9,-2
120074,,,,,0,-9,-2
120074,,,,,0,-9,-2
120074,,,,,0,-9,-2
120074,,,,,0,-9,-2
120074,,,,,0,-9,-2
120074,,,,,0,-9,-2
120074,,,,,0,-9,-2
120074,,,,,0,-9,-2
120075,,,,,0,-9,-2
120075,,,,,0,-9,-2
120075,,,,,0,-9,-2
120075,,,,,0,-9,-2
120075,,,,,0,-9,-2
120075,,,,,0,-9,-2
120075,,,,,0,-9,-2
120075,,,,,0,-9,-2
120076,11,,,,1,-9,1
120076,,,,,0,-9,-2
120076,11,,,,0,-9,-2
120076,11,,,,0,-9,-2
120076,,,,,0,-9,-2
120076,,,,,0,-9,-2
120076,,,,,0,-9,-2
120076,11,,,,1,-9,2
120077,,,,,0,-9,-2
120077,,,,,0,-9,-2
120077,,,,,0,-9,-2
120077,,,,,0,-9,-2
120077,,,,,0,-9,-2
120077,,,,,0,-9,-2
120077,,,,,0,-9,-2
120077,,,,,0,-9,-2
120078,,,,,0,-9,-2
120078,,,,,0,-9,-2
120078,,,,,0,-9,-2
120078,,,,,0,-9,-2
120078,,,,,0,-9,-2
120078,,,,,0,-9,-2
120078,,,,,0,-9,-2
120078,,,,,0,-9,-2
120079,19,,,,0,-9,-2
120079,19,,,,0,-9,-2
120079,19,,,,0,-9,-2
120079,19,,,,0,-9,-2
120079,19,,,,0,-9,-2
120079,19,,,,0,-9,-2
120079,19,,,,0,-9,-2
120079,19,,,,0,-9,-2
120080,,,,,0,-9,-2
120080,,,,,0,-9,-2
120080,,,,,0,-9,-2
120080,,,,,0,-9,-2
120080,,,,,0,-9,-2
120080,,,,,0,-9,-2
120080,-1,,,,1,-9,6
120080,,,,,0,-9,-2
120081,,,,,0,-9,-2
120081,,,,,0,-9,-2
120081,,,,,0,-9,-2
120081,,,,,0,-9,-2
120081,,,,,0,-9,-2
120081,11,,,,0,-9,-2
120081,11,,,,0,-9,-2
120081,11,,,,0,-9,-2
120082,-2,,,,0,-9,-9
120082,-2,,,,0,-9,-9
120082,-2,,,,0,-9,-9
120082,-2,,,,0,-9,-9
120082,-2,,,,0,-9,-9
120082,-2,,,,0,-9,-9
120082,-2,,,,0,-9,-9
120082,-2,,,,0,-9,-9
120083,,,,,0,-9,-2
120083,,,,,0,-9,-2
120083,,,,,0,-9,-2
120083,,,,,0,-9,-2
120083,,,,,0,-9,-2
120083,,,,,0,-9,-2
120083,,,,,0,-9,-2
120083,,,,,0,-9,-2
120084,,,,,0,-9,-2
120084,,,,,0,-9,-2
120084,49,,,,0,-9,-2
120084,,,,,0,-9,-2
120084,,,,,0,-9,-2
120084,13,,,,1,-9,1
120084,,,,,0,-9,-2
120084,,,,,0,-9,-2
120085,,,,,0,-9,-2
120085,,,,,0,-9,-2
120085,,,,,0,-9,-2
120085,,,,,0,-9,-2
120085,,,,,0,-9,-2
120085,,,,,0,-9,-2
120085,,,,,0,-9,-2
120085,13,,,,1,-9,1
120086,11,29,,,0,-9,-2
120086,11,29,,,0,-9,-2
120086,11,29,,,1,-9,0
120086,11,29,,,1,-9,1
120086,11,29,,,0,-9,-2
120086,11,29,,,0,-9,-2
120086,11,29,,,0,-9,-2
120086,11,29,,,0,-9,-2
120087,,,,,0,-9,-2
120087,,,,,0,-9,-2
120087,,,,,0,-9,-2
120087,,,,,0,-9,-2
120087,,,,,0,-9,-2
120087,,,,,0,-9,-2
120087,49,,,,0,-9,-2
120087,,,,,0,-9,-2
120088,,,,,0,-9,-2
120088,,,,,0,-9,-2
120088,,,,,0,-9,-2
120088,29,,,,1,-9,1
120088,,,,,0,-9,-2
120088,,,,,0,-9,-2
120088,,,,,0,-9,-2
120088,,,,,0,-9,-2
120089,,,,,0,-9,-2
120089,,,,,0,-9,-2
120089,,,,,0,-9,-2
120089,,,,,0,-9,-2
120089,,,,,0,-9,-2
120089,,,,,0,-9,-2
120089,,,,,0,-9,-2
120089,,,,,0,-9,-2
120090,,,,,0,-9,-2
120090,,,,,0,-9,-2
120090,,,,,0,-9,-2
120090,,,,,0,-9,-2
120090,,,,,0,-9,-2
120090,,,,,0,-9,-2
120090,,,,,0,-9,-2
120090,,,,,0,-9,-2
120091,,,,,0,-9,-2
120091,,,,,0,-9,-2
120091,,,,,0,-9,-2
120091,,,,,0,-9,-2
120091,29,,,,1,-9,0
120091,,,,,0,-9,-2
120091,,,,,0,-9,-2
120091,,,,,0,-9,-2
120092,,,,,0,-9,-2
120092,,,,,0,-9,-2
120092,,,,,0,-9,-2
120092,,,,,0,-9,-2
120092,,,,,0,-9,-2
120092,,,,,0,-9,-2
120092,,,,,0,-9,-2
120092,,,,,0,-9,-2
120093,,,,,0,-9,-2
120093,,,,,0,-9,-2
120093,,,,,0,-9,-2
120093,,,,,0,-9,-2
120093,,,,,0,-9,-2
120093,,,,,0,-9,-2
120093,,,,,0,-9,-2
120093,,,,,0,-9,-2
120094,,,,,0,-9,-2
120094,,,,,0,-9,-2
120094,,,,,0,-9,-2
120094,,,,,0,-9,-2
120094,,,,,0,-9,-2
120094,,,,,0,-9,-2
120094,,,,,0,-9,-2
120094,,,,,0,-9,-2
120095,,,,,0,-9,-2
120095,,,,,0,-9,-2
120095,,,,,0,-9,-2
120095,,,,,0,-9,-2
120095,,,,,0,-9,-2
120095,,,,,0,-9,-2
120095,,,,,0,-9,-2
120095,29,,,,0,-9,-2
120096,11,29,,,0,-9,-2
120096,,,,,0,-9,-2
120096,,,,,0,-9,-2
120096,,,,,0,-9,-2
120096,,,,,0,-9,-2
120096,11,29,,,0,-9,-2
120096,13,11,29,,1,-9,2
120096,11,29,,,0,-9,-2
120097,29,,,,0,-9,-2
120097,29,,,,0,-9,-2
120097,29,,,,0,-9,-2
120097,29,,,,1,-9,2
120097,29,,,,0,-9,-2
120097,29,,,,0,-9,-2
120097,29,,,,0,-9,-2
120097,29,,,,0,-9,-2
120098,,,,,0,-9,-2
120098,,,,,0,-9,-2
120098,,,,,0,-9,-2
120098,,,,,0,-9,-2
120098,,,,,0,-9,-2
120098,,,,,0,-9,-2
120098,,,,,0,-9,-2
120098,,,,,0,-9,-2
120099,,,,,0,-9,-2
120099,11,12,,,0,-9,-2
120099,11,12,,,0,-9,-2
120099,,,,,0,-9,-2
120099,,,,,0,-9,-2
120099,,,,,0,-9,-2
120099,,,,,0,-9,-2
120099,,,,,0,-9,-2
120100,,,,,0,-9,-2
120100,,,,,0,-9,-2
120100,,,,,0,-9,-2
120100,,,,,0,-9,-2
120100,,,,,0,-9,-2
120100,,,,,0,-9,-2
120100,11,,,,0,-9,-2
120100,,,,,0,-9,-2
120101,,,,,0,-9,-2
120101,,,,,0,-9,-2
120101,,,,,0,-9,-2
120101,,,,,0,-9,-2
120101,,,,,0,-9,-2
120101,13,,,,1,-9,2
120101,,,,,0,-9,-2
120101,,,,,0,-9,-2
120102,29,,,,0,-9,-2
120102,,,,,0,-9,-2
120102,29,,,,0,-9,-2
120102,29,,,,0,-9,-2
120102,,,,,0,-9,-2
120102,,,,,0,-9,-2
120102,29,,,,0,-9,-2
120102,,,,,0,-9,-2
120103,,,,,0,-9,-2
120103,,,,,0,-9,-2
120103,,,,,0,-9,-2
120103,,,,,0,-9,-2
120103,,,,,0,-9,-2
120103,,,,,0,-9,-2
120103,,,,,0,-9,-2
120103,,,,,0,-9,-2
120104,,,,,0,-9,-2
120104,,,,,0,-9,-2
120104,29,,,,0,-9,-2
120104,29,,,,0,-9,-2
120104,,,,,0,-9,-2
120104,29,,,,0,-9,-2
120104,,,,,0,-9,-2
120104,29,,,,0,-9,-2
120105,,,,,0,-9,-2
120105,,,,,0,-9,-2
120105,,,,,0,-9,-2
120105,11,,,,0,-9,-2
120105,,,,,0,-9,-2
120105,11,,,,0,-9,-2
120105,,,,,0,-9,-2
120105,,,,,0,-9,-2
120106,,,,,0,-9,-2
120106,,,,,0,-9,-2
120106,,,,,0,-9,-2
120106,,,,,0,-9,-2
120106,13,,,,1,-9,2
120106,,,,,0,-9,-2
120106,,,,,0,-9,-2
120106,,,,,0,-9,-2
120107,13,29,,,1,-9,1
120107,,,,,0,-9,-2
120107,,,,,0,-9,-2
120107,,,,,0,-9,-2
120107,,,,,0,-9,-2
120107,,,,,0,-9,-2
120107,29,,,,0,-9,-2
120107,29,,,,0,-9,-2
120108,,,,,0,-9,-2
120108,,,,,0,-9,-2
120108,,,,,0,-9,-2
120108,,,,,0,-9,-2
120108,,,,,0,-9,-2
120108,,,,,0,-9,-2
120108,,,,,0,-9,-2
120108,,,,,0,-9,-2
120109,,,,,0,-9,-2
120109,13,,,,1,-9,1
120109,,,,,0,-9,-2
120109,,,,,0,-9,-2
120109,,,,,0,-9,-2
120109,,,,,0,-9,-2
120109,,,,,0,-9,-2
120109,,,,,0,-9,-2
120110,,,,,0,-9,-2
120110,11,,,,0,-9,-2
120110,,,,,0,-9,-2
120110,,,,,0,-9,-2
120110,,,,,0,-9,-2
120110,11,,,,0,-9,-2
120110,,,,,0,-9,-2
120110,,,,,0,-9,-2
120111,,,,,0,-9,-2
120111,,,,,0,-9,-2
120111,,,,,0,-9,-2
120111,,,,,0,-9,-2
120111,,,,,0,-9,-2
120111,,,,,0,-9,-2
120111,,,,,0,-9,-2
120111,,,,,0,-9,-2
120112,29,,,,0,-9,-2
120112,29,,,,0,-9,-2
120112,39,,,,1,-9,3
120112,13,,,,0,-9,-2
120112,,,,,0,-9,-2
120112,29,,,,0,-9,-2
120112,,,,,0,-9,-2
120112,,,,,0,-9,-2
120113,,,,,0,-9,-2
120113,,,,,0,-9,-2
120113,,,,,0,-9,-2
120113,,,,,0,-9,-2
120113,,,,,0,-9,-2
120113,,,,,0,-9,-2
120113,,,,,0,-9,-2
120113,,,,,0,-9,-2
120114,39,,,,0,-9,-2
