bund_nr,datum,ort,team,x_laenge,y_laenge,distanz,azimut
120067,2006-06-12,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,20,202
120068,2006-06-14,z,Hoelzer;Hoevelmann;Bielefeldt,11,0,-1,-1
120069,2006-06-14,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,167
120070,2006-10-09,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,17,22
120071,2006-05-29,z,Hoelzer;Damman,11,0,-1,-1
120072,2006-05-29,z,Hoelzer;Damman,11,-2,-1,0
120073,2006-06-13,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,306
120074,2006-05-16,z,Hoelzer;Damman,11,0,-1,-1
120075,2006-06-08,z,Hoelzer;Hoevelmann;Bielefeldt,11,0,-1,-1
120076,2006-06-12,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,17,300
120077,2006-06-01,z,Hoelzer;Damman,11,-2,-1,0
120078,2006-05-30,z,Hoelzer;Damman,11,-2,-1,0
120079,2006-05-17,z,Hoelzer;Damman,11,0,-1,-1
120080,2006-08-24,z,Hoelzer;Hoevelmann;Eglin,11,-2,-1,0
120081,2006-06-08,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,18,323
120083,2006-07-12,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,0
120084,2006-06-27,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,0
120085,2006-06-13,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120086,2006-07-12,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,18,200
120087,2006-06-26,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,300
120088,2006-06-27,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,100
120089,2006-07-12,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,20,282
120090,2006-07-05,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120091,2006-07-03,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,18,133
120092,2006-07-10,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,5,0
120093,2006-06-18,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,10,244
120094,2006-06-28,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,10,100
120095,2006-10-30,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,111
120096,2006-11-17,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,0
120097,2006-07-11,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120098,2006-07-10,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,100
120099,2006-06-29,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,8,280
120100,2006-07-04,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,20,244
120101,2006-07-04,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120102,2006-07-25,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120103,2006-07-11,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,356
120104,2006-07-19,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,211
120105,2006-07-13,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,20,0
120106,2006-07-04,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,200
120107,2006-07-17,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,200
120108,2006-06-29,z,Hoelzer;Hoevelmann;Bielefeldt,-9,-9,-9,-9
120109,2006-07-05,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,17,83
120110,2006-07-06,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,300
120111,2006-07-06,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,20,211
120112,2006-09-04,z,Hoelzer;Hoevelmann;Bielefeldt,11,0,5,0
120113,2006-07-19,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,333
120114,2006-07-13,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120115,2006-06-28,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,300
120116,2006-07-20,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,2,200
120117,2006-07-26,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,300
120118,2006-08-31,z,Hoelzer;Hoevelmann;Eglin,11,-2,5,33
120119,2006-08-31,z,Hoelzer;Hoevelmann;Eglin,11,-2,-1,0
120120,2006-10-04,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,50
120122,2006-08-29,z,Hoelzer;Hoevelmann;Eglin,11,-2,12,67
120123,2006-08-29,z,Hoelzer;Hoevelmann;Eglin,11,-2,11,300
120124,2006-07-24,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,0
120125,2006-07-26,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120127,2006-09-04,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,10,267
120128,2006-07-20,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,300
120129,2006-07-20,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,100
120130,2006-10-05,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,394
120131,2006-08-28,z,Hoelzer;Hoevelmann;Eglin,11,-2,15,314
120132,2006-08-28,z,Hoelzer;Hoevelmann;Eglin,11,-2,15,262
120133,2006-09-06,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,200
120134,2006-09-06,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,10,0
120135,2006-09-07,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,16,200
120136,2006-09-05,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,200
120137,2006-10-03,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,244
120138,2006-10-03,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,8,200
120139,2006-09-18,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,111
120140,2006-09-19,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,5,233
120141,2006-09-25,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,100
120142,2006-09-26,z,Hoelzer;Hoevelmann;Bielefeldt,11,0,-1,-1
120143,2006-09-26,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,100
120144,2006-09-26,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,13,67
120144,2008-07-15,z,Kompa,11,-9,13,67
120145,2006-09-28,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,78
120146,2006-10-02,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,200
120147,2006-09-21,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,18,100
120148,2006-09-12,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120149,2006-09-12,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,18,289
120150,2006-09-11,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,128
120151,2006-09-14,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120153,2006-09-20,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,211
120154,2006-09-13,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,-1,0
120155,2006-09-14,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,111
120156,2006-09-25,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,78
120157,2006-11-28,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,380
120159,2006-11-29,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,194
120160,2006-11-22,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,22
120161,2006-09-05,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,18,122
120161,2008-07-14,z,Kompa,11,-9,18,122
120163,2006-11-20,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,11
120164,2006-11-02,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,11,56
120165,2006-09-13,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,272
120167,2006-09-07,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,17,0
120168,2006-11-02,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,89
120168,2008-07-09,z,Kompa,11,-9,14,89
120169,2006-09-19,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,18,70
120170,2006-08-30,z,Hoelzer;Hoevelmann;Eglin,11,-2,13,329
120181,2006-10-12,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,133
120182,2006-10-26,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,12,6
120183,2006-10-24,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,18,256
120184,2006-11-20,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,256
120185,2006-11-07,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,322
120186,2006-11-16,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,7,200
120187,2006-10-25,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,15,311
120188,2006-11-14,z,Hoelzer;Hoevelmann;Bielefeldt,11,-2,14,11
