bund_nr,team,datum,domstreuart,astreuart,domhumusform_ka6,ahumusform_ka6,domhumusform_ka5,ahumusform_ka5
120053,Hoelzer;Hoevelmann;Bielefeldt,2006-06-21,vn,vbn,-9,-9,moa,-2
120054,Hoelzer;Hoevelmann;Bielefeldt,2006-06-15,vn,vbn,-9,-9,mra,gmo
120055,Hoelzer;Hoevelmann;Bielefeldt,2006-06-15,vn,-2,-9,-9,moa,gmo
120056,Hoelzer;Hoevelmann;Bielefeldt,2006-06-22,vb,-2,-9,-9,mom,moa
120057,Hoelzer;Hoevelmann;Bielefeldt,2006-07-18,vbn,-2,-9,-9,moa,mom
120058,Hoelzer;Hoevelmann;Bielefeldt,2006-07-18,vbn,-2,-9,-9,moa,mom
120059,Hoelzer;Hoevelmann;Bielefeldt,2006-10-10,vgbn,-2,-9,-9,gmo,roa
120060,Hoelzer;Hoevelmann;Bielefeldt,2006-06-07,vn,vbn,-9,-9,moa,mom
120061,Hoelzer;Hoevelmann;Bielefeldt,2006-06-21,vn,vbn,-9,-9,gmo,moa
120062,Hoelzer;Hoevelmann;Bielefeldt,2006-07-17,vbn,vn,-9,-9,gmo,-2
120063,Hoelzer;Hoevelmann;Bielefeldt,2006-10-09,vn,vgbn,-9,-9,moa,roa
120064,-9,1970-01-01,-9,-9,-9,-9,-2,-2
120065,Hoelzer;Hoevelmann;Eglin,2006-06-06,vb,-9,-9,-9,mut,gmo
120066,Hoelzer;Hoevelmann;Bielefeldt,2006-06-07,vn,-2,-9,-9,moa,roa
120067,Hoelzer;Hoevelmann;Bielefeldt,2006-06-12,vn,-2,-9,-9,gmo,-2
120068,Hoelzer;Hoevelmann;Bielefeldt,2006-06-13,vn,-2,-9,-9,gmo,mra
120069,Hoelzer;Hoevelmann;Bielefeldt,2006-06-14,vn,-2,-9,-9,mra,gmo
120070,Hoelzer;Hoevelmann;Bielefeldt,2006-10-09,vgn,-2,-9,-9,gmo,-2
120071,Hoelzer;Damman,2006-05-29,vn,-2,-9,-9,moa,roa
120072,Hoelzer;Damman,2006-05-29,vb,-2,-9,-9,mom,-2
120073,Hoelzer;Hoevelmann;Bielefeldt,2006-06-13,vn,vbn,-9,-9,gmo,-2
120074,Hoelzer;Damman,2006-05-16,vn,vn,-9,-9,gmo,moa
120075,Hoelzer;Hoevelmann;Bielefeldt,2006-06-08,vn,-2,-9,-9,moa,mra
120076,Hoelzer;Hoevelmann;Bielefeldt,2006-06-12,vn,-2,-9,-9,gmo,roa
