bund_nr,bnr,hori,azi,kraft,alter,bhd,oberhoehe
120003,120003,-100,-1,,,,
120004,120004,-100,-1,,,,
120006,120006,-100,-1,,,,
120007,120007,-100,-1,,,,
120008,120008,-100,-1,,,,
120009,120009,-100,-1,,,,
120010,120010,-100,-1,,,,
120011,120011,-100,-1,,,,
120012,120012,-100,-1,,,,
120013,120013,-100,-1,,,,
120014,120014,-100,-1,,,,
120015,120015,-100,-1,,,,
120016,120016,-100,-1,,,,
120017,120017,-100,-1,,,,
120019,120019,-100,-1,,,,
120020,120020,-100,-1,,,,
120021,120021,-100,-1,,,,
120022,120022,-100,-1,,,,
120024,120024,-100,-1,,,,
120025,120025,-100,-1,,,,
120027,120027,-100,-1,,,,
120028,120028,-100,-1,,,,
120029,120029,-100,-1,,,,
120030,120030,-100,-1,,,,
120031,120031,-100,-1,,,,
120032,120032,-100,-1,,,,
120033,120033,-100,-1,,,,
120034,120034,-100,-1,,,,
120035,120035,-100,-1,,,,
120036,120036,-100,-1,,,,
120037,120037,-100,-1,,,,
120038,120038,-100,-1,,,,
120040,120040,-100,-1,,,,
120041,120041,-100,-1,,,,
120042,120042,-100,-1,,,,
120043,120043,-100,-1,,,,
120044,120044,-100,-1,,,,
120045,120045,-100,-1,,,,
120046,120046,-100,-1,,,,
120047,120047,-100,-1,,,,
120048,120048,-100,-1,,,,
120049,120049,-100,-1,,,,
120050,120050,-100,-1,,,,
120051,120051,-100,-1,,,,
120052,120052,-100,-1,,,,
120054,120054,-100,-1,,,,
120055,120055,-100,-1,,,,
120056,120056,-100,-1,,,,
120057,120057,-100,-1,,,,
120058,120058,-100,-1,,,,
120059,120059,-100,-1,,,,
120061,120061,-100,-1,,,,
120062,120062,-100,-1,,,,
120066,120066,-100,-1,,,,
120067,120067,-100,-1,,,,
120069,120069,-100,-1,,,,
120070,120070,-100,-1,,,,
120072,120072,-100,-1,,,,
120073,120073,-100,-1,,,,
120074,120074,-100,-1,,,,
120075,120075,-100,-1,,,,
120076,120076,-100,-1,,,,
120078,120078,-100,-1,,,,
120079,120079,-100,-1,,,,
120080,120080,-100,-1,,,,
120081,120081,-100,-1,,,,
120083,120083,-100,-1,,,,
120084,120084,-100,-1,,,,
120085,120085,-100,-1,,,,
120086,120086,-100,-1,,,,
120088,120088,-100,-1,,,,
120089,120089,-100,-1,,,,
120091,120091,-100,-1,,,,
120092,120092,-100,-1,,,,
120093,120093,-100,-1,,,,
120094,120094,-100,-1,,,,
120095,120095,-100,-1,,,,
120096,120096,-100,-1,,,,
120097,120097,-100,-1,,,,
120098,120098,-100,-1,,,,
120100,120100,-100,-1,,,,
120101,120101,-100,-1,,,,
120102,120102,-100,-1,,,,
120103,120103,-100,-1,,,,
120104,120104,-100,-1,,,,
120105,120105,-100,-1,,,,
120107,120107,-100,-1,,,,
120109,120109,-100,-1,,,,
120111,120111,-100,-1,,,,
120112,120112,-100,-1,,,,
120113,120113,-100,-1,,,,
120114,120114,-100,-1,,,,
120115,120115,-100,-1,,,,
120116,120116,-100,-1,,,,
120118,120118,-100,-1,,,,
120120,120120,-100,-1,,,,
120122,120122,-100,-1,,,,
120123,120123,-100,-1,,,,
120125,120125,-100,-1,,,,
120127,120127,-100,-1,,,,
120128,120128,-100,-1,,,,
120129,120129,-100,-1,,,,
120130,120130,-100,-1,,,,
120131,120131,-100,-1,,,,
120133,120133,-100,-1,,,,
120134,120134,-100,-1,,,,
120135,120135,-100,-1,,,,
120136,120136,-100,-1,,,,
120137,120137,-100,-1,,,,
120138,120138,-100,-1,,,,
120140,120140,-100,-1,,,,
120141,120141,-100,-1,,,,
120142,120142,-100,-1,,,,
120143,120143,-100,-1,,,,
120144,120144,-100,-1,,,,
120145,120145,-100,-1,,,,
120146,120146,-100,-1,,,,
120147,120147,-100,-1,,,,
120149,120149,-100,-1,,,,
120150,120150,-100,-1,,,,
120151,120151,-100,-1,,,,
120153,120153,-100,-1,,,,
120156,120156,-100,-1,,,,
120159,120159,-100,-1,,,,
