bund_nr,othori,uthori,uz,farbe,humus,kalk,hydrooxid,hydrooxidanteil,hydrored,hydroredanteil,geform,aggroesse,pedogen,wurzelintfein,wurzelintgrob,wurzelverteil
120001,0,10,,10YR4/2,h3,c0,e0,-2,r0,-2,ein,-1,-1,wf6,wg2,g
120001,10,20,,10YR3/3,h3,c0,e0,-2,r0,-2,koh,-1,-1,wf3,wg2,u
120001,20,40,,10YR3/4,h2,c0,e0,-2,r0,-2,koh,-1,ko,wf3,wg2,u
120001,40,70,,10YR6/4,h1,c0,e0,-2,r0,-2,ein,-1,ko,wf3,wg3,u
120001,70,90,,10YR7/6,h0,c0,eh,f2,r0,-2,ein,-1,ko,wf1,wg1,u
120001,90,130,,10YR7/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf1,wg1,u
120001,130,177,,10YR7/3,h0,c0,eh,f3,r0,-2,ein,-1,-1,wf0,wg0,z
120001,177,193,True,10YR7/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf0,wg0,z
120002,0,20,,10YR3/4,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120002,20,35,,10YR4/6,h1,c0,e0,-2,r0,-2,koh,-1,-1,wf3,wg2,g
120002,35,40,,10YR4/2,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg4,g
120002,40,55,,10YR7/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg2,u
120002,55,90,,10YR7/3,h0,c0,e0,-2,r0,-2,ein,-1,-9,wf1,wg1,u
120002,90,115,,10YR7/4,h0,c0,eh,f2,r0,-2,ein,-1,-9,wf0,wg0,z
120002,115,125,True,10YR6/6,h0,c0,eh,f3,r0,-2,ein,-1,-9,wf0,wg0,z
120003,0,19,,10YR3/3,h3,c0,e0,-2,r0,-2,koh,-1,-1,wf5,wg2,g
120003,19,45,,10YR4/4,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120003,45,87,,10YR6/6,h0,c0,e0,-2,r0,-2,ein,-1,ko,wf2,wg2,u
120003,87,117,,10YR7/4,h0,c0,eh,f2,rb,f3,ein,-1,ko,wf1,wg1,u
120003,117,170,True,10YR7/4,h0,c0,eh,f2,rb,f2,ein,-1,-9,wf1,wg1,u
120004,0,10,,10YR3/1,h3,c2,e0,-2,r0,-2,ein,-1,-1,wf5,wg4,g
120004,10,45,,10YR6/4,h1,c3,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120004,45,80,,10YR6/2,h0,c4,e0,-2,r0,-2,pol,-1,ko,wf2,wg2,u
120004,80,105,True,10YR6/6,h6,c3,e0,-2,r0,-2,koh,-1,c,wf3,wg2,u
120005,0,30,,10YR4/3,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120005,30,45,,10YR5/6,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg2,u
120005,45,75,,10YR4/6,h0,c4,e0,-2,r0,-2,ein,-1,-1,wf2,wg1,u
120005,75,130,,10YR6/6,h0,c2,e0,-2,r0,-2,ein,-1,-1,wf2,wg1,u
120005,130,170,True,10YR6/4,h0,c3,e0,-2,r0,-2,ein,-1,-1,wf2,wg1,u
120006,0,25,,7.5YR3/3,h3,c0,e0,-2,r0,-2,koh,-1,-9,wf4,wg4,g
120006,25,45,,7.5YR4/6,h2,c0,e0,-2,r0,-2,koh,-1,hu;ko,wf3,wg3,g
120006,45,70,,7.5YR5/6,h1,c0,eo,f5,rb,f2,ein,-1,hu,wf3,wg2,u
120006,70,110,,10YR7/4,h0,c0,eh,f4,rb,f2,ein,-1,hu,wf2,wg2,u
120006,110,165,,10YR7/3,h0,c0,eh,f2,rb,f4,ein,-1,-1,wf1,wg1,u
120006,165,210,,10YR7/4,h0,c0,eo,f2,rb,f5,ein,-1,hu,wf2,wg2,g
120006,210,230,True,10YR6/1,h0,c0,eo,f3,rb,f5,ein,-1,-1,wf1,wg1,u
120007,0,4,,10YR5/1,h3,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120007,4,16,,10YR4/4,h1,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg4,g
120007,16,36,,10YR6/6,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf3,wg3,g
120007,36,58,,10YR6/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg2,f
120007,58,82,,10YR5/8,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg1,u
120007,82,105,,10YR5/6,h0,c1,e0,-2,r0,-2,ein,-1,-1,wf2,wg2,u
120007,105,160,True,10YR7/3,h0,c1,e0,-2,r0,-2,ein,-1,-1,wf1,wg1,u
120008,0,10,,10Y2.5/1,h3,c0,e0,-2,r0,-2,koh,-1,-1,wf2,wg3,g
120008,10,23,,5YR3/3,h1,c0,e0,-2,rb,f2,koh,-1,ko,wf3,wg2,g
120008,23,38,,10YR4/6,h1,c0,e0,-2,r0,-2,koh,-1,ko,wf3,wg1,g
120008,38,70,,10YR6/6,h0,c0,e0,-2,r0,-2,ein,-1,ko,wf2,wg1,u
120008,70,130,,10YR7/4,h0,c0,eh,f2,r0,-2,ein,-1,-1,wf1,wg1,u
120008,130,170,,10YR7/3,h0,c0,eh,f1,r0,-2,ein,-1,vw,wf1,wg2,u
120008,170,195,True,10YR7/2,h0,c0,eo,f1,r0,-2,ein,-1,-1,wf1,wg0,u
120009,0,10,,10YR5/2,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg4,g
120009,10,35,,10YR4/2,h2,c0,e0,-2,r0,-2,ein,-1,ko,wf3,wg3,g
120009,35,70,,10YR4/3,h1,c0,e0,-2,r0,-2,ein,-1,ko;-9,wf2,wg2,g
120009,70,95,,10YR3/2,h3,c0,e0,-2,r0,-2,ein,-1,ko,wf3,wg3,g
120009,95,160,True,10YR5/6,h1,c0,eo,f4,r0,-2,ein,-1,-9,wf2,wg3,g
120010,0,3,,10YR3/1,h3,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120010,3,10,,10YR3/2,h2,c0,e0,-2,r0,-2,koh,-1,-1,wf3,wg2,g
120010,10,20,,10YR4/3,h1,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg2,g
120010,20,34,,10YR5/4,h1,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg2,g
120010,34,65,,10YR7/4,h0,c0,eh,f2,r0,-2,koh,-1,-9,wf3,wg1,u
120010,65,91,,10YR7/3,h0,c0,eh,f3,r0,-2,ein,-1,-9,wf1,wg1,u
120010,91,130,,10YR4/6,h0,c1,eh,f5,r0,-2,koh,-1,-9,wf1,wg1,u
120010,130,170,,10YR6/4,h0,c0,e0,-2,r0,-2,ein,-1,-9,wf2,wg1,u
120010,170,200,True,10YR6/3,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg2,u
120011,0,25,,10YR4/3,h3,c3,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120011,25,55,,10YR8/3,h1,c1,e0,-2,r0,-2,ein,-1,-9,wf3,wg2,g
120011,55,95,,10YR7/4,h0,c0,eo,f2,r0,-2,ein,-1,-1,wf3,wg2,u
120011,95,130,,10YR8/2,h0,c0,eo,f3,r0,-2,ein,-1,-9,wf1,wg1,u
120011,130,170,True,10YR5/6,h0,c0,eo,f2,rb,f4,koh,-1,-9,wf0,wg0,z
120012,0,3,,10YR3/1,h2,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120012,3,15,,10YR4/6,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg4,g
120012,15,40,,10YR7/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120012,40,75,,10YR7/2,h0,c0,eh,f2,r0,-2,ein,-1,-1,wf2,wg3,g
120012,75,105,,10YR8/2,h0,c0,eh,f1,r0,-2,ein,-1,-1,wf1,wg2,u
120012,105,155,,10YR8/2,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf1,wg0,u
120012,155,180,,10YR7/2,h1,c0,e0,-2,rb,f1,ein,-1,-1,wf1,wg0,u
120012,180,205,True,10YR7/3,h0,c0,eh,f1,r0,-2,ein,-1,-1,wf0,wg0,z
120013,0,5,,7.5YR5/2,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120013,5,18,,10YR5/2,h2,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg2,g
120013,18,35,,10YR5/4,h2,c0,e0,-2,r0,-2,koh,-1,-1,wf3,wg2,u
120013,35,70,,10YR6/6,h1,c0,es,f1,r0,-2,ein,-1,vw,wf2,wg2,g
120013,70,110,,10YR7/4,h0,c0,e0,-2,r0,-2,ein,-1,vw,wf2,wg2,u
120013,110,130,,10YR7/3,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg2,u
120013,130,170,,10YR7/4,h0,c0,eh,f1,r0,-2,ein,-1,-1,wf1,wg2,u
120013,170,210,True,10YR7/4,h0,c0,eo,f2,r0,-2,ein,-1,-1,wf0,wg1,u
120014,0,5,,10YR3/3,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg1,g
120014,5,17,,10YR4/4,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg2,g
120014,17,41,,10YR5/6,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg2,g
120014,41,63,,10YR6/6,h0,c0,eo,f5,r0,-2,ein,-1,-1,wf1,wg1,u
120014,63,83,,10YR6/6,h0,c0,ed,f3,r0,-2,ein,-1,-1,wf1,wg1,u
120014,83,170,True,10YR7/3,h0,c0,e0,-2,rb,f9,ein,-1,-1,wf1,wg1,u
120015,0,7,,10YR3/1,h3,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg2,g
120015,7,37,,10YR4/2,h2,c0,eo,f2,rb,f2,koh,-1,-9,wf4,wg3,g
120015,37,60,,10YR6/6,h1,c0,eo,f3,rb,f3,koh,-1,-9,wf3,wg3,g
120015,60,85,,10YR5/8,h0,c0,eo,f6,rb,f2,koh,-1,-9,wf1,wg1,u
120015,85,125,True,10YR6/1,h0,c0,eh,f2,r0,-2,ein,-1,-1,wf0,wg0,z
120016,0,10,,10YR5/2,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg3,g
120016,10,21,,10YR5/3,h1,c0,e0,-2,r0,-2,koh,-1,ko,wf4,wg2,g
120016,21,39,,10YR6/4,h1,c0,e0,-2,r0,-2,ein,-1,ko,wf4,wg3,g
120016,39,72,,10YR6/6,h0,c0,e0,-2,r0,-2,ein,-1,ko,wf3,wg2,g
120016,72,130,,10YR7/2,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf0,wg1,u
120016,130,170,True,10YR7/3,h0,c0,eh,f4,r0,-2,ein,-1,-1,wf0,wg1,u
120017,0,6,,10YR5/3,h3,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg2,g
120017,6,20,,10YR5/4,h2,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120017,20,30,,10YR6/6,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf3,wg2,g
120017,30,45,,7.5YR5/6,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf2,wg1,u
120017,45,85,,10YR6/3,h0,c3,eo,f2,rs,f1,ein,-1,-1,wf1,wg1,u
120017,85,130,,10YR6/4,h0,c1,eo,f3,r0,-2,koh,-1,-1,wf1,wg1,u
120017,130,170,,10YR4/6,h0,c1,e0,-2,r0,-2,koh,-1,-1,wf1,wg2,u
120017,170,190,True,10YR6/6,h0,c0,eo,f3,r0,-2,koh,-1,-1,wf0,wg0,z
120018,0,10,,10YR3/2,h3,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120018,10,23,,10YR4/2,h1,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg4,g
120018,23,40,,10YR4/6,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg4,g
120018,40,70,,10YR6/6,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf3,wg3,u
120018,70,120,,10YR7/3,h0,c0,eo,f4,r0,-2,koh,-1,-1,wf1,wg1,u
120018,120,170,,10YR6/4,h0,c0,eo,f3,r0,-2,ein,-1,-1,wf0,wg0,z
120018,170,190,True,10YR7/3,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf0,wg0,z
120019,0,3,,10YR5/2,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg2,g
120019,3,16,,10YR6/3,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120019,16,50,,10YR6/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg3,g
120019,50,85,,10YR6/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg2,u
120019,85,120,,10YR5/4,h0,c0,e0,-2,rb,f2,ein,-1,-1,wf2,wg3,g
120019,120,155,True,10YR6/2,h0,c0,eh,f3,rb,f5,ein,-1,-1,wf1,wg1,u
120020,0,25,,10YR3/3,h3,c1,e0,-2,r0,-2,koh,-1,-1,wf3,wg2,g
120020,25,50,,10YR4/4,h2,c2,e0,-2,r0,-2,koh,-1,-1,wf2,wg1,g
120020,50,85,,10YR5/4,h1,c1,e0,-2,r0,-2,koh,-1,-1,wf3,wg2,g
120020,85,130,,10YR7/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg2,u
120020,130,170,True,10YR7/4,h0,c0,e0,-2,rb,f2,ein,-1,-1,wf1,wg1,u
120021,0,7,,10YR5/2,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg2,g
120021,7,19,,10YR5/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120021,19,50,,10YR6/6,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg2,g
120021,50,85,,10YR6/4,h0,c0,eh,f1,r0,-2,ein,-1,-1,wf1,wg2,u
120021,85,130,,10YR7/4,h0,c0,eh,f2,r0,-2,ein,-1,-1,wf1,wg1,u
120021,130,170,,10YR6/6,h0,c0,eo,f4,r0,-2,ein,-1,-1,wf1,wg2,u
120021,170,205,True,10YR6/4,h0,c0,eo,f3,r0,-2,ein,-1,-1,wf1,wg1,u
120022,0,6,,10YR5/1,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg1,g
120022,6,20,,10YR5/3,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg2,g
120022,20,55,,10YR6/4,h1,c0,eh,f2,r0,-2,ein,-1,ko,wf3,wg2,g
120022,55,80,,10YR6/4,h1,c0,eh,f2,r0,-2,ein,-1,ko,wf2,wg2,u
120022,80,115,,10YR7/4,h0,c0,e0,-2,rb,f2,ein,-1,-1,wf2,wg2,u
120022,115,155,True,10YR7/2,h0,c0,eh,f2,r0,-2,ein,-1,-1,wf1,wg1,u
120024,0,2,,10YR5/1,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg1,g
120024,2,17,,10YR6/4,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg3,g
120024,17,30,,10YR6/6,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg2,g
120024,30,60,,10YR5/6,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg2,u
120024,60,100,,10YR7/6,h0,c0,eh,f3,r0,-2,ein,-1,-1,wf1,wg2,u
120024,100,130,,10YR6/3,h0,c0,eh,f1,r0,-2,ein,-1,-1,wf1,wg1,u
120024,130,170,,10YR6/4,h0,c0,eh,f2,r0,-2,ein,-1,-1,wf0,wg0,z
120024,170,180,True,10YR6/4,h0,c0,eh,f1,r0,-2,ein,-1,-1,wf0,wg0,z
120025,0,3,,10YR4/1,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg4,g
120025,3,9,,10YR4/3,h2,c0,e0,-2,r0,-2,koh,-1,-1,wf5,wg3,g
120025,9,30,,10YR5/4,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg2,g
120025,30,48,,10YR6/6,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg2,g
120025,48,80,,10YR7/4,h0,c0,eo,f2,r0,-2,ein,-1,-1,wf2,wg2,u
120025,80,110,,10YR6/3,h0,c0,eh,f1,r0,-2,ein,-1,hu,wf1,wg1,u
120025,110,140,,10YR7/4,h0,c0,eo,f3,rb,f3,ein,-1,hu,wf1,wg1,u
120025,140,190,,10YR7/3,h0,c0,eh,f1,rb,f3,ein,-1,hu,wf1,wg1,u
120025,190,205,True,10YR4/4,h0,c0,eo,f2,r0,-2,ein,-1,-1,wf0,wg0,z
120026,0,8,,10YR4/2,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg4,g
120026,8,25,,10YR5/4,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120026,25,50,,10YR6/6,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg3,g
120026,50,83,,10YR7/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg2,u
120026,83,108,,10YR6/4,h0,c0,eh,f3,rb,f2,koh,-1,-1,wf1,wg1,u
120026,108,160,,10YR6/6,h0,c0,eo,f4,rb,f5,pol,-1,-1,wf1,wg1,u
120026,160,185,True,10YR4/4,h0,c0,e0,-2,rb,f2,pol,-1,-1,wf1,wg1,u
120027,0,4,,10YR3/2,h3,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120027,4,18,,10YR4/2,h2,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120027,18,42,,10YR4/4,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf5,wg4,g
120027,42,60,,10YR5/6,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf2,wg2,u
120027,60,90,,10YR6/4,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf2,wg2,u
120027,90,120,,10YR6/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg2,u
120027,120,140,,10YR5/3,h0,c0,eo,f2,rs,f3,ein,-1,-9,wf2,wg3,u
120027,140,160,True,10YR6/6,h0,c0,eo,f4,rs,f2,ein,-1,-1,wf1,wg1,u
120028,0,9,,10YR3/1,h3,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg4,g
120028,9,20,,10YR4/4,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120028,20,45,,10YR5/3,h2,c0,eh,f1,r0,-2,ein,-1,-1,wf3,wg2,g
120028,45,75,,10YR7/3,h0,c0,eh,f3,rs,f1,ein,-1,-1,wf2,wg2,g
120028,75,115,,10YR7/6,h0,c0,eo,f5,rs,f1,ein,-1,-9,wf1,wg1,u
120028,115,140,,10YR7/4,h0,c0,eo,f2,rs,f1,ein,-1,-1,wf1,wg1,u
120028,140,180,,10YR7/4,h0,c0,eh,f3,rs,f1,ein,-1,-1,wf1,wg1,u
120028,180,200,True,10YR6/4,h0,c0,eo,f4,r0,-2,ein,-1,-9,wf0,wg0,z
120029,0,4,,10YR4/1,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120029,4,23,,10YR5/3,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120029,23,50,,10YR5/8,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg3,u
120029,50,78,,10YR6/4,h0,c0,e0,-2,rs,f1,ein,-1,-9,wf2,wg3,u
120029,78,110,,10YR7/3,h0,c0,eh,f1,rs,f2,koh,-1,-9,wf2,wg2,u
120029,110,140,,10YR8/2,h0,c0,eo,f5,rs,f1,ein,-1,-1,wf1,wg1,u
120029,140,160,True,10YR7/2,h0,c0,eh,f2,rs,f1,ein,-1,-1,wf1,wg1,u
120030,0,4,,10YR4/1,h2,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120030,4,22,,10YR4/2,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg4,g
120030,22,40,,10YR5/6,h0,c0,e0,-2,r0,-2,ein,-1,-9,wf3,wg3,g
120030,40,55,,10YR6/8,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg1,u
120030,55,100,,10YR7/3,h0,c0,eo,f5,rs,f1,ein,-1,-1,wf1,wg1,u
120030,100,145,,10YR6/3,h0,c0,eh,f2,r0,-2,ein,-1,-1,wf0,wg0,z
120030,145,155,True,10YR7/3,h0,c1,eh,f1,r0,-2,ein,-1,-1,wf0,wg0,z
120031,0,7,,10YR5/1,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg2,g
120031,7,19,,10YR5/3,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120031,19,50,,10YR7/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg2,g
120031,50,80,,10YR5/4,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf2,wg3,u
120031,80,110,,10YR7/3,h0,c0,eh,f3,rb,f8,koh,-1,-1,wf1,wg1,u
120031,110,130,,10YR4/6,h0,c0,e0,-2,r0,-2,pol,-1,-1,wf1,wg1,u
120031,130,170,,10YR6/6,h0,c2,e0,-2,r0,-2,pol,-1,-1,wf1,wg1,u
120031,170,185,True,10YR5/4,h0,c4,e0,-2,r0,-2,koh,-1,c,wf1,wg1,u
120032,0,10,,10YR4/2,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg2,g
120032,10,25,,10YR4/3,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg2,g
120032,25,43,,10YR4/6,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf3,wg3,g
120032,43,65,,10YR5/8,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg3,g
120032,65,80,,10YR6/4,h0,c0,eo,f2,r0,-2,ein,-1,-1,wf2,wg2,u
120032,80,100,,10YR6/2,h0,c0,eo,f4,r0,-2,ein,-1,-1,wf1,wg1,u
120032,100,130,,10YR6/3,h0,c0,eo,f3,r0,-2,ein,-1,-9,wf0,wg0,z
120032,130,155,True,10YR7/4,h0,c0,eh,f2,r0,-2,ein,-1,-1,wf0,wg0,z
120033,0,10,,10YR4/2,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120033,10,17,,10YR4/3,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
120033,17,35,,10YR4/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg3,g
120033,35,50,,10YR6/4,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf3,wg2,g
120033,50,90,,10YR7/2,h0,c0,eh,f1,r0,-2,ein,-1,hu,wf2,wg2,u
120033,90,130,,10YR7/3,h0,c0,eh,f2,r0,-2,ein,-1,-1,wf1,wg1,u
120033,130,170,,10YR7/4,h0,c0,eh,f4,r0,-2,ein,-1,-9,wf1,wg1,u
120033,170,200,True,10YR7/3,h0,c0,eh,f2,r0,-2,ein,-1,-9,wf0,wg0,z
120034,0,7,,10YR3/1,h3,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg4,g
120034,7,18,,10YR3/4,h2,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120034,18,45,,10YR4/4,h1,c0,e0,-2,r0,-2,koh,-1,-1,wf4,wg3,g
120034,45,70,,10YR5/6,h1,c0,e0,-2,r0,-2,koh,-1,hu,wf3,wg3,u
120034,70,100,,10YR6/6,h0,c0,e0,-2,r0,-2,koh,-1,-1,wf2,wg2,u
120034,100,130,,10YR7/4,h0,c0,eh,f2,r0,-2,koh,-1,-1,wf1,wg1,u
120034,130,170,True,10YR7/3,h0,c0,eo,f1,r0,-2,koh,-1,-1,wf0,wg0,z
120035,0,3,,10YR3/1,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf5,wg4,g
120035,3,9,,10YR5/3,h1,c0,e0,-2,r0,-2,koh,-1,-1,wf5,wg4,g
120035,9,28,,10YR7/6,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg3,g
