bund_nr,team,datum,gruendigkeit,aktuellgrundwstand,scheinbgrundwstand,bodentyp,podsoligkeit,anmerkung,team_mbp,datum_mbp,team_mbc,datum_mbc,anmerkung_mbp,anmerkung_mbc
50050,Dickhof,1990-07-03,170,999,,ss-bb,p1,"GD Archiv-Nr. 276; 
vermutlich ehemals landwirtschaftlich genutzt; 
lockere Lössdecke über dicht gelagerterFließerde",Dickhof,2006-07-24,Dickhof,2006-07-24,,
50051,Dworschak,1991-05-23,140,999,,ssg,p2,"GD Archiv-Nr. 218; 
1991 frisch geflügt mit Naturverjüngung?",Hoffmann,2006-06-28,Hoffmann,2006-06-28,,
50052,Richter,1991-05-08,120,999,,ss-bb,p2,GD Archiv-Nr. 579,Richter,2006-05-23,Richter,2006-05-23,,
50053,Koch,1990-07-17,60,999,,bbn,p2,"GD-Archiv-Nr. 364; 
ehemals landwirtschaftlich genutzt",Koch,2006-09-12,Koch,2006-09-12,,
50054,Richter,1991-07-04,50,999,,ss-bb,p2,Gd-Archiv-Nr.: 587; Biosoil-Nr.: 371;,Richter,2007-06-01,Richter,2007-06-01,,
50055,Richter,1991-06-27,70,999,,ss-bb,p2,GD Archiv-Nr. 585,Richter,2006-06-07,Richter,2006-06-07,,
50056,Richter,1991-06-12,105,999,,bbn,p1,"GD-Archiv-Nr.: 580; Biosoil-Nr.: 354;
wenige kleine Konkretionen und Grauflecken im Bv-Cv;",Richter,2007-05-23,Richter,2007-05-23,,
50057,Dworschak,1991-04-12,65,999,,bbn,p2,"A-Horizont stellenweise schwach podsolig;
GD Archiv-Nr. 228;",Richter,2006-06-21,Richter,2006-06-21,,
50058,Dworschak,1990-09-20,90,130,,bb-gg,p1,"Gd-Archiv-Nr.: 211; Biosoil-Nr.: 300;
Go-Bv-Horizont eventuell Aufschüttung, sehr viele nicht gerundete nordische Geschiebe; Fläche mit zahlreichen nassen Rinen, dort Scirpus; Gr1 gegenüber Gr2 stärker verwittert; Tonmergelstein nur auf Kluftflächen durc",Hoffmann,2006-06-29,Hoffmann,2006-06-29,,
50059,Dickhof,1991-07-23,100,999,,ss-bb,p1,"Gd Archiv-Nr. 320; 
in oberer Fließerde Grus aus Sandstein und Quarzit, tiefer aus Schluff- und Tonstein, 
Aufforstung nach Grünland",Dickhof,2006-07-17,Dickhof,2006-07-17,,
50060,Koch,1990-08-03,90,999,,bbn,p2,GD Archiv-Nr. 373;,Koch,2006-10-09,Koch,2006-10-09,,
50061,Richter,1991-07-25,70,999,,ss-bb,p4,GD Archiv-Nr. 595,Richter,2006-06-09,Richter,2006-06-09,,
50062,Richter,1991-06-25,145,999,,ss-bb,p2,GD Archiv-Nr. 583,Richter,2006-06-20,Richter,2006-06-20,,
50063,Dworschak,1991-04-18,250,240,210,gg-yk,p1,"Gd Archiv-Nr. 221; 
Feinboden kalkfrei;, Skelettanteil kalkhaltig; 
zahlreiche Regenwurmröhren bis > 180cm",Hoffmann,2006-07-04,Hoffmann,2006-07-04,,
50064,Dworschak,1990-04-18,150,999,,pp-bb,-9,Gd Archiv-Nr. 239,Hoffmann,2006-05-17,Hoffmann,2006-05-17,nur Grusantel gemessen,
50065,Koch,1990-08-23,80,999,,bbn,p2,GD-Archiv-Nr.: 379; Biosoil-Nr.: 407;,Koch,2006-11-08,Koch,2006-11-08,,
50066,Koch,1990-05-30,100,999,,bbn,p2,Gd Archiv-Nr. 356;,Koch,2006-10-16,Koch,2006-10-16,,
50067,Koch,1990-05-16,100,999,,bbn,p1,GD-Archiv-Nr.:351; Biosoil-Nr.: 390;,Koch,2006-10-10,Koch,2006-10-10,,
50068,Koch,1990-07-31,60,999,,bbn,p1,Gd-Archiv-Nr.: 371; Biosoil-Nr.: 372;,Koch,2006-08-25,Koch,2006-08-25,,
50069,Dworschak,1990-05-15,200,40,10,ggn,p1,"GD-Archiv-Nr.: 175; Biosoil-Nr.:_ 245;
Ackeraufforstung",Hoffmann,2006-06-26,Hoffmann,2006-06-26,,
50070,Dworschak,1990-04-12,200,999,,ss-bb,p1,"GD Archiv-Nr. 180; Windwurffläche (1989) aufgeforstet, Tiefenlage des Sd-Horizontes schwankt auf der Beprobungsfläche",Hoffmann,2006-08-01,Hoffmann,2006-08-01,,
50071,Koch,1990-09-26,100,999,,bbn,p2,GD Archiv-Nr. 391,Koch,2006-10-12,Koch,2006-10-12,,
50072,Koch,1990-09-18,120,999,,bbn,p2,GD Archiv-Nr. 389,Koch,2006-11-20,Koch,2006-11-20,,
50073,Koch,1990-08-16,60,999,,bbn,p2,GD Archiv-Nr.  376,Koch,2006-11-20,Koch,2006-11-20,,
50074,Dickhof,1991-07-01,35,999,,bbn,p1,"GD Archiv-Nr. 322; 
vermutlich ältere Ackeraufforstung;",Dickhof,2006-07-04,Dickhof,2006-07-04,,
50075,Dickhof,1991-06-26,60,999,,bbn,p1,"Gd Archiv-Nr.: 323; 
Bauernwald, vermutlich hin und wieder beweidet",Hoffmann,2006-08-01,Hoffmann,2006-08-01,,
50076,Koch,1991-07-23,60,999,,bbn,p1,GD Archiv-Nr. 404,Koch,2006-08-21,Koch,2006-08-21,,
50077,Dworschak,1990-07-12,120,999,,bb-ss,p1,GD Archiv-Nr. 195,Hoffmann,2006-05-23,Hoffmann,2006-05-23,,"stark zersetztes Kreidegestein, feucht leicht grabbar, in trockenem Zustand hart wie Festgestein"
50078,Dworschak,1990-07-31,100,200,180,gg-pp,-9,"GD Archiv-Nr. 194; 
Grundwasser von 8 - 13 dm auf 13 - 20 dm abgesenkt; 
Humusform durch Bearbeitung gestört;",Hoffmann,2006-05-12,Hoffmann,2006-05-12,,
50079,Koch,1990-10-04,70,999,,bbn,p2,Gd-Archiv-Nr.: 392; Biosoil-Nr.: 424;,Koch,2006-10-23,Koch,2006-10-23,,
50080,Koch,1990-09-12,100,999,,bbn,p2,GD-Archiv-Nr.: 386; Biosoil-Nr.: 408;,Koch,2006-10-18,Koch,2006-10-18,,
50081,Koch,1990-08-27,100,999,,bbn,p2,GD Archiv-Nr. 380,Koch,2006-11-06,Koch,2006-11-06,,
50082,Koch,1990-06-11,80,999,,bbn,p2,GD-Archiv-Nr.: 361; Biosoil-Nr.: 391;,Koch,2006-10-17,Koch,2006-10-17,,
50083,Koch,1990-07-13,55,999,,bbn,p2,GD Archiv-Nr.: 363;,Koch,2006-11-08,Koch,2006-11-08,,
50084,Dickhof,1991-06-20,35,999,,bbn,p1,"GD-Archiv-Nr.: 328; Biosoil-Nr.: 373;
Oberboden stellenweuise schwach podsolig;",Dickhof,2006-07-12,Dickhof,2006-07-12,,
50085,Koch,1991-06-03,50,999,,bbn,p2,GD Archiv-Nr. 411,Koch,2006-08-18,Koch,2006-08-18,,
50086,Dworschak,1991-06-05,70,999,,ss-bb,p1,"GD-Archiv-Nr.: 229 Biosoil-Nr.: 339;
ab 4 dm Bodentiefe schwach pseudovergleyt; Gestein = Arnsberger Schichten, sandstein Untercarbon;",Koch,2006-08-15,Koch,2006-08-15,,
50087,Dworschak,1990-07-25,85,999,,ss,p1,"GD-Archiv-Nr.: 193; Biosoil-Nr.: 283;
Entwässerungsgräben",Hoffmann,2006-08-03,Hoffmann,2006-08-03,,
50088,Koch,1990-10-08,50,999,,bbn,p1,GD Archiv-Nr. 394,Koch,2006-11-06,Koch,2006-11-06,,
50089,Heilmann,1990-08-07,75,999,,bbn,p2,Gd-Archiv-Nr.: 40,Siegert,2006-07-26,Siegert,2006-07-26,,
50090,Koch,1990-07-26,60,999,,bbn,p2,Gd Archiv-Nr. 369;,Koch,2006-11-14,Koch,2006-11-14,,
50091,Dickhof,1991-06-05,35,999,,bbn,p2,"Gd Archiv-Nr. 331; 
im Bv-Vc-Horizont hangparallel eingeregelte Schluffsteinplatten mit wenig gut durchwurzeltem Feinboden dazwischen;",Dickhof,2006-07-03,Dickhof,2006-07-03,,
50092,Koch,1991-05-28,65,999,,bbn,p2,GD Archiv-Nr. 416,Koch,2006-08-08,Koch,2006-08-08,,
50093,Koch,1991-05-16,60,999,,bbn,p2,GD Archiv-Nr. 417,Koch,2006-08-01,Koch,2006-08-01,,
50094,Heilmann/Koch,1991-06-19,85,999,,ss-bb,p2,GD Archiv-Nr. 73,Siegert,2006-07-27,Siegert,2006-07-27,Grobbbodenbestimmung nur Grusanteil,
50095,Heilmann,1990-07-31,60,999,,bbn,p2,GD Archiv-Nr.49; Biosoil-Nr.; 409;,Siegert,2006-09-29,Siegert,2006-09-29,,
50096,Heilmann,1990-08-06,65,999,,bbn,p2,"GD Archiv-Nr. 52; Oh-Material örtlich in skelettreichen Oberboden eingewaschen,",Siegert,2006-07-18,Siegert,2006-07-18,,
50097,Heilmann,1989-10-26,60,999,,bbn,p2,GD Archiv-Nr.: 17,Siegert,2006-09-06,Siegert,2006-09-06,,
50098,Heilmann,1989-11-08,60,999,,bbn,p1,Gd Archiv-Nr. 20;,Siegert,2006-09-15,Siegert,2006-09-15,Grobbodenmessung nur Grusanteil,
50099,Koch,1991-05-23,80,999,,bbn,p2,GD-Archiv-Nr.:419; Biosoil-Nr.: 357;,Koch,2006-08-09,Koch,2006-08-09,,
50100,Koch,1991-05-27,70,999,,pp-bb,-9,GD Archiv-Nr. 420,Koch,2006-08-03,Koch,2006-08-03,,
50101,Heilmann,1991-06-18,95,999,,ss-bb,p1,GD-Archiv-Nr.: 71; Biosoil-Nr.: 340;,Siegert,2006-09-11,Siegert,2006-09-11,,
50102,Pahlke,1991-09-23,25,999,,bbn,p1,"GD-Archiv-Nr.: 914;
überwiegend flachgründiger wohl umgelagerter Kalksteinverwitterungslehm (/Muschelkalk), örtlich (Satellit 3-4) tiefgründig mit Sandbeimengung;",Milbert,2006-06-27,Milbert,2006-06-27,,
50103,Heilmann,1990-07-31,55,999,,bbn,p1,Gd Archiv-Nr. 54,Siegert,2006-07-20,Siegert,2006-07-20,Grobbodenbestimmung G-Probe  nur für Grusanteil,
50104,Heilmann,1990-08-28,65,999,,bbn,p2,GD Archiv-nr. 58; Oh-Horizont örtlich in Mineralisierung begriffen,Siegert,2006-09-07,Siegert,2006-09-07,Grobbodenmessung nur Grusanteil,
50105,Heilmann,1989-10-23,60,999,,bbn,p1,GD-Archiv-Nr. 15,Siegert,2006-07-05,Siegert,2006-07-05,"Volumen der G-Proben überprüfen, BZE I Stechzylinder für TRD aus Profil bis 60 cm",
50106,Heilmann,1989-11-07,90,999,,bbn,p2,Gd Archiv-Nr. 19,Siegert,2006-07-03,Siegert,2006-07-03,G-Proben nur für Grusanteil,
50107,Koch,1991-05-07,70,999,,bbn,p2,GD Archiv-Nr. 423,Koch,2006-08-14,Koch,2006-08-14,,
50108,Heilmann,1991-06-12,85,999,,bbn,p1,"GD Archiv-Nr: 69; anstehendes Gestein enthält Kalkknollen, in unmittelbarer Nachbarschaft steht Kieselkalk an",Siegert,2006-07-14,Siegert,2006-07-14,,
50109,Pahlke,1991-09-16,55,999,,ss-bb,p4,Gd-Archiv-Nr.: 911;,Milbert,2006-06-28,Milbert,2006-06-28,,
50110,Heilmann,1990-08-22,65,65,,ggn,p1,"GD Archiv-Nr.: 66; Biosoil-Nr.: 375;
Satelliten liegen auf verlängerten Achsen in einem schmalen Siepen",Siegert,2006-10-10,Siegert,2006-10-10,,
50111,Heilmann,1989-10-02,50,999,,bbn,p1,"GD-Archiv_Nr.: 5;
Typische basenarme Braunerde aus Fließerde über Tonstein (Mitteldevon) mit Mullartigem Moder als Humusform",Siegert,2006-08-28,Siegert,2006-08-28,Stechzylinderuntersuchungen der BZE I bis 60 cm aus dem Profil verwenden.,
50112,Heilmann,1990-04-25,32,999,,bbn,p4,Gd-Archiv-Nr.: 29;,Siegert,2006-09-13,Siegert,2006-09-13,,
50113,Pahlke,1990-08-01,40,999,,bbn,p1,"GD-Archiv-Nr.: 863; Biosoil-Nr.:323;
Lößschleier über Residualton über Kalkstein;",Milbert,2006-08-09,Milbert,2006-08-09,,
50114,Heilmann,1990-05-11,50,999,,bbn,p2,GD Archiv-Nr.: 37,Siegert,2006-07-07,Siegert,2006-07-07,G-Probe nur Grusanteil,
50115,Heilmann,1990-04-25,45,999,,bbc,p1,GD Archiv-Nr. 31,Siegert,2006-08-29,Siegert,2006-08-29,G-Proben nur für Grusanteil,
50116,Pahlke,1990-07-30,55,999,,ss-bb,p1,GD-Archiv-Nr.: 862;,Milbert / Gommer,2006-08-01,Milbert / Gommer,2006-08-01,,
50117,Pahlke,1990-07-24,170,999,,bb-ss,p1,GD-Archiv-Nr.:859;,Milbert,2006-08-08,Milbert,2006-08-08,,
50118,Pahlke,1991-09-02,210,140,,ggq,p1,GD-Archiv-Nr.:909;,Milbert / Gommer,2006-08-01,Milbert / Gommer,2006-08-01,,
50119,Heilmann,1990-04-26,92,999,,bbc,p1,GG Archiv-Nr. 26,Siegert,2006-09-04,Siegert,2006-09-04,,
50120,Heilmann,1991-06-11,80,999,,ss-bb,p4,Gd-Archiv-Nr.: 81;,Siegert,2006-09-05,Siegert,2006-09-05,,
50121,Heilmann,1991-06-06,65,999,,bbn,p1,Gd Archiv-Nr. 79; Ap-Horizont vermutlich Schwarzerde-Relikt; zahlreiche sich nach unten öffnende Schrumpfungsrisse,Siegert,2006-07-11,Siegert,2006-07-11,Grobbodenbestimmung nur Grusanteil,
50122,Pahlke,1990-07-26,20,999,,bbh,p1,"GD-Archiv-Nr.:861;
Beprobungsfläche sehr stark gestört, Müll, Hohlwege, Abgrabung, Randeinflüsse",Milbert,2006-08-07,Milbert,2006-08-07,,
50123,Pahlke,1991-06-22,200,140,,pp-yu,-9,"GD-Archiv: 887; 
Bodenbearbeitung (Pflugstreifen) sowie Holzkohenreste im Oberboden",Milbert,2008-08-05,Milbert,2008-08-05,,
50124,Pahlke,1991-06-29,180,999,,ppn,-9,"GD-Archiv-Nr.: 889; Biosoil-Nr.: 286;
Schmelzwassersand über Kalkverwitterungslehm;deutliche Oberbodenstörungen; Fahrspuren",Milbert / Gommer,2006-08-15,Milbert / Gommer,2006-08-15,,
50125,Pahlke,1991-08-28,200,140,,pp-gg,-9,GD-Archiv-Nr.: 907;,Milbert,2006-06-29,Milbert / Gommer,2006-06-29,,
50126,Pahlke,1990-07-18,16,999,,bbn,p1,Gd-Archiv-Nr.: 856;,Koch,2006-11-22,Koch,2006-11-22,,
50127,Pahlke,1991-07-08,130,999,,bbh,p1,"Gd-Archiv: 894; 
Braunerde überlagert gekappte Pseudogley-Parabraunerde (Mittellage)",Koch,2006-11-28,Koch,2006-11-28,,
50128,Pahlke,1991-07-16,35,999,,bbh,p1,"Lößlehm über Sand- und Schluffstein, Keuper; 
GD-Archiv-899",Milbert,2006-08-01,Milbert,2006-08-01,,
50129,Betzer,1990-07-10,170,999,,ss-pp,-9,"Gd-Archiv-Nr.:456; Biosoil-Nr.: 325; Schutt-Podsol
 Mächtigkeit des Bhs stark schwankend; Profil mit großen Blocken durchsetzt; Panterfleckung im Ahe;  örtlich mehrere Oh-Lagen übereinander akkumuliert;",Koch,2006-10-24,Koch,2006-10-24,,
50130,Pahlke,1990-08-14,60,999,,bbn,p1,"GD-Archiv-Nr.: 864; Biosoil-Nr.: 306;
kleinflächiger Wechsel in Verwitterungstiefe und Bodenart;",Koch,2006-10-30,Koch,2006-10-30,,
50131,Pahlke,1990-08-28,100,999,,dd-bb,p1,GD-Archiv-Nr.: 869;,Koch,2006-11-27,Koch,2006-11-27,,
50132,Pahlke,1991-06-25,100,999,,ss,p2,"Gd-Archiv-Nr.: 886, Biosoil-Nr.: 287;",Milbert,2006-07-26,Milbert,2006-07-26,,
50133,Pahlke,1991-07-09,140,999,,ssg,p2,Gd-Archiv-Nr.: 895; Biosoil-Nr. 267;,Milbert,2006-07-24,Milbert,2006-07-24,,
50134,Betzer,1990-07-11,100,999,,ss-bb,p1,GD Archiv-Nr. 457,Koch,2006-08-25,Koch,2006-08-25,,
50135,Pahlke/Koch,1990-08-22,75,999,,bbn,p1,GD-Archiv-Nr.:867,Koch,2006-11-15,Koch,2006-11-15,,
50136,Pahlke,1990-08-30,45,999,,bbn,p1,GD-Archiv-Nr.: 870;,Koch,2006-11-22,Koch,2006-11-22,,
50137,Pahlke,1991-07-03,50,999,,bbn,p1,Gd-Archiv-Nr.:892;,Milbert,2006-07-31,Milbert,2006-07-31,,
50138,Pahlke,1990-09-13,30,999,,bbh,p1,,Koch,2006-11-15,Koch,2006-11-15,,
50139,Pahlke,1990-09-17,55,999,,bbh,p1,GD-Archiv-Nr.: 874; Biosoil-Nr.: 307;,Koch,2006-10-31,Koch,2006-10-31,,
50140,Pahlke,1991-06-11,120,999,,ss-bb,p1,GD-Archiv-Nr.: 881; Biosoil-Nr.: 288;,Milbert,2006-08-02,Milbert,2006-08-02,,
50141,Dickhof,2007-04-18,155,999,,rqn,p1,"GD-Archiv-Nr.: 84; Biosoil-Nr.: 384;
Rekultivierungsfläche, Braunkohlentagebau; lockerer Boden, stark belebt aus 'Forstmischung' örtlich mit einzelnen Tonklumpen und Braunkohlematerial, trotz hoher Basensättigung ist eine rasche Entbasung zu erwarten, au",Dickhof,2007-04-18,Dickhof,2007-04-18,,
50142,Richter,2006-05-30,200,999,,rqn,p1,"GD Archiv-Nr. 87; eingeebneter überdeckter mit Abfällen verunreinigter Bahndamm, Verlegung niícht möglich;",Richter,2006-05-30,Richter,2006-05-30,nur Fein- und Mittelgrus ermittelbar,
50143,Koch,2007-05-18,220,100,80,ggn,p1,"Gd-Archiv-nr.: 85; Biosoil-Nr.: 317;
bis 30 cm vereinzelt Ziegelbröckchen;",Koch,2007-05-18,Koch,2007-05-18,,
50144,Richter,2006-08-15,200,999,,bbn,p1,Gd Archiv-Nr.: 88; Bodenbildung aus Lydit,Richter,2006-08-15,Richter,2006-08-15,nur Fein- und Mittelgrus bei Messung erfasst,
