bund_nr,team,datum,gruendigkeit,aktuellgrundwstand,scheinbgrundwstand,bodentyp,podsoligkeit,anmerkung,team_mbp,datum_mbp,team_mbc,datum_mbc,anmerkung_mbp,anmerkung_mbc
50001,Dickhof,1990-04-25,200,999,,pp-bb,-9,"GD Archiv-Nr. 271; 
Waldbrand, Holzkohlerest in Humusauflage und Oberboden; 
 locker tiefreichend humos, 
Bodenstörung durch Wildschweine;",Dickhof,2006-08-30,Dickhof,2006-08-30,,
50002,Dickhof,1990-04-02,200,999,,pp-bb,-9,"Gd-Archiv-Nr.: 263;
Auf der Fläche Wechsel zwischen BB-PP und PP-BB;",Dickhof,2006-08-22,Dickhof,2006-08-22,,
50003,Hopp,1991-07-24,120,999,,bbn,p1,GD Archiv-Nr. 670,Milbert,2006-10-06,Milbert,2006-10-06,,
50004,Hopp,1990-10-30,100,999,,bb-ss,p2,GD Archiv-Nr. 658;,Milbert,2006-10-19,Milbert,2006-10-19,,
50005,Dickhof,1989-10-30,140,999,,bbn,p1,"GD Archivg-Nr. 256; 
junge Ackeraufforstung, Boden stellenweise durch Bearbeitung tiefreichend gestört; 
Beprobungsfläche stellenweise etwas Stauwasser beeinflusst;",Dickhof,2006-06-30,Dickhof,2006-06-30,,
50006,Dickhof,1989-10-17,160,150,120,bb-gg,p4,GD-Archiv-Nr. 251,Dickhof,2006-08-21,Dickhof,2006-08-21,,
50007,Dickhof,1990-04-17,90,70,60,ss-gg,p1,"GD Arch-Nr.: 268; 
Oberboden stark gestört; Tendenz zu Feuchtmoder; 
Pappelpflanzung seit 1985, 
örtlich Müll und Gartenabfälle",Dickhof,2006-08-28,Dickhof,2006-08-28,,
50008,Milbert,1990-08-27,100,999,,bbn,p1,Gd-Archiv-Nr.: 769;,Milbert,2006-09-07,Milbert,2006-09-07,,
50009,Hopp,1990-10-01,100,999,,bbn,p1,GD Archiv-Nr. 668,Milbert,2006-10-05,Milbert,2006-10-05,,
50010,Hopp,1991-06-04,90,999,,bbn,p1,GD Archiv-Nr. 673,Milbert,2006-10-12,Milbert,2006-10-12,,
50011,Hopp,1991-06-13,60,999,,bbn,p1,Gd-Archiv-Nr.: 675; Biosoil-Nr.: 416;,Milbert,2006-10-17,Milbert,2006-10-17,,
50012,Dickhof,1989-11-13,120,999,,ss,p1,"Gd-Archiv-Nr.: 258; Biosoil-Nr.: 365;
Eiskeile mit sandig-schluffiger Füllung reichebn bis in die Hat-Sedimente und dienen als bevorzugte Wurzelbahnen; Löß auf der Fläche 3-8 dm mächtig",Dickhof,2006-08-23,Dickhof,2006-08-23,,
50013,Dickhof,1989-10-26,140,999,,ss,p1,"GD Archiv-Nr. 254; 
Sew mit vielen Fe-Mn-Konkretionen, zahlreiche Eiskeile",Dickhof,2006-06-29,Dickhof,2006-06-29,,
50014,Dickhof,1990-04-10,200,999,,pp-bb,-9,"GD Archiv-Nr. 266; 
Pflugstreifen, Boden bis 25 cm gestört;; ehemals bis 1o cm mächtige brechbare Oh-Lage, durch Pflugstreifen eingearbeitet, Sandlöß über Fließerde mit Eiskeilen, Sandlössdecke sehr locker und gut durchwurzelt",Dickhof,2006-08-29,Dickhof,2006-08-29,,
50015,Hopp,1991-07-09,50,999,,bbn,p1,GD Archiv-Nr. 655,Milbert,2006-10-04,Milbert,2006-10-04,,
50016,Hopp,1990-10-25,90,999,,bbn,p1,GD Archiv-Nr. 652,Milbert,2006-10-02,Milbert,2006-10-02,,
50017,Hopp,1991-06-21,50,999,,bbn,p1,Gd-Archiv-Nr.: 678;,Milbert,2006-10-11,Milbert,2006-10-11,,
50018,Milbert,1990-08-07,150,180,160,bb-ss,p4,"GD-Archiv-Nr.: 765;
Ah durch ältere Bodenbearbeitung auf ca. 12 cm vertieft; 
im neuen Ah Entwicklung einer schwachen Podsoligkeit; 
Substrat: Umlagerung aus sandigen bis tonigen Sedimenten des Buntsandsteins, 
Boden um Untergrund vergleyt",Milbert,2006-09-11,Milbert,2006-09-11,,
50019,Milbert,1991-07-25,90,999,,bb-ss,p4,"Gd-Archiv-Nr.: 763; Biosoil-Nr.: 448;
Humusfauflage ausgetrocknet, scharfkantig brechbar 
Solifluktionsmaterial der Klerfer Schichten (Unterdevon);",Milbert,2006-09-05,Milbert,2006-09-05,,
50020,Milbert,1990-07-30,60,999,,bbn,p1,"Gd-Archiv-Nr.: 764; 
Proben ab 30 cm aus Kleinschurf, sehr hohe Skelettgehalte, sehr hohe Bleigehalte im Mineralboden,",Milbert,2006-08-03,Milbert,2006-08-03,,
50021,Milbert,1990-07-16,70,999,,bb-rr,p1,GD-Archiv-Nr.: 762;,Milbert,2006-09-13,Milbert,2006-09-13,,
50022,Milbert,1990-06-25,90,999,,ss,p1,GD-Archiv-Nr.:756,Milbert,2006-08-29,Milbert,2006-08-29,,
50023,Milbert,1990-06-11,80,999,,ss-bb,p1,GD-Archiv-Nr.: 754,Milbert,2006-08-31,Milbert,2006-08-31,,
50024,Dickhof,1990-08-21,170,999,,pp-gg,-9,"GD-Archiv-Nr.: 297; Biosoil-Nr.: 350;
Grundwasser > 2 m abgesenkt;",Dickhof,2006-08-16,Dickhof,2006-08-16,,
50025,Dworschak,1990-10-29,200,999,,ss,p1,GD Archiv-Nr. 162,Dickhof,2006-08-15,Dickhof,2006-08-15,nur Grusanteil gemessen,
50026,Dworschak,1989-11-08,200,999,,pp-bb,-9,GD Archiv-Nr.: 179,Hoffmann,2006-04-19,Hoffmann,2006-04-19,nur grusanteil gemessen,
50027,Dworschak,1989-11-08,280,999,,pp-ss,-9,"GD-Archiv-Nr.: 170; Biosoil-Nr.: 315;
Oberboden durch Rabatten stark gestört",Hoffmann,2006-06-08,Hoffmann,2006-06-08,,
50028,Milbert,1991-05-17,90,999,,ss-bb,p1,Gd-Archiv-Nr.: 770;,Milbert,2006-09-13,Milbert,2006-09-13,,
50029,Dickhof,1990-08-08,120,999,,rq,p1,"Gd Archiv-Nr. 293; 
mit Müll bestreut; stellenweise mit Rindenmuilch überdeckt; Bodenmaterial sehr heterogen;",Dickhof,2006-08-09,Dickhof,2006-08-09,,
50030,Dickhof,1990-08-29,60,999,,bbn,p4,"GD Archiv-Nr. 300; 
1990 gekalkt; auf Fläche flach bis tiefgründige Braunerde;",Dickhof,2006-08-07,Dickhof,2006-08-07,,
50031,Dworschak,1989-10-17,160,999,,ss,p4,GD Archiv-Nr. 159; Kalkspiegel zwischen 110 und 130 cm unter GOF schwankend.,Hoffmann,2006-07-06,Hoffmann,2006-07-06,Gesteinsbestimmung aus N-min-Bohrerproben,
50032,Milbert,1991-05-23,105,999,,ss,p1,Gd-Archiv-Nr.: 771;,Milbert,2006-09-20,Milbert,2006-09-20,,
50033,Dickhof,1990-06-08,180,999,,abn,p1,"GD-Archiv-Nr.: 274; Biosoil-Nr.: 403;
Regenwurmgänge bis 15 dm; vereinzelt Ziegel- und Holzkohlenbröckchen im gesamten Profil",Dickhof,2006-08-14,Dickhof,2006-08-14,,
50034,Richter,1990-08-09,170,999,,ss-ll,p1,GD Archiv-Nr. 563,Richter,2006-06-09,Richter,2006-06-09,,
50035,Dworschak,1990-06-11,310,310,280,ss-pp,-9,"Gd-Archiv-Nr.: 183;
im Bhs Ortsteinbrocken, nicht durchgehend; 
Oberboden durch Bodenbearbeitung gestört, ehemals feinrumusreicher Moder oder rohhumusartiger Moder, Oh-Material im Ahe eingearbeitet",Hoffmann,2006-08-03,Hoffmann,2006-08-03,,
50036,Richter,1990-08-29,180,145,,pp-gg,-9,GD Archiv-Nr. 567,Richter,2006-05-16,Richter,2006-05-16,,
50037,Richter,1990-08-23,90,999,,bbn,p1,GD Archiv-Nr. 565,Richter,2006-05-24,Richter,2006-05-24,,
50038,Dickhof,1990-07-30,160,999,,bbn,p2,"GD Archiv-Nr. 289; 
Standort 1989 gekalkt; 
Mineralboden überlagert fossile O-Horizonte, 
Sandsteine in der Fließerde bis zu Blockgröße",Dickhof,2006-07-25,Dickhof,2006-07-25,,
50039,Dickhof,1990-07-31,90,999,,rq,p1,"Gd Archiv-Nr. 290; 
Auftragsboden aus natürlichem Material über Bauschutt und Müll;",Dickhof,2006-08-08,Dickhof,2006-08-08,,
50040,Dworschak,1990-08-23,60,999,,ss,p1,GD-Archiv-Nr.: 207;,Hoffmann,2006-04-27,Hoffmann,2006-04-27,,
50041,Richter,1990-08-23,35,999,,bbn,p1,GD Archiv-Nr. 566;,Richter,2006-05-22,Richter,2006-05-22,,
50042,Dickhof,1990-09-10,130,120,80,ab-gg,p1,"GD Archiv-Nr. 302;
 in M-Horizonten viele Holzkohle- und Zigelbröckchen;",Dickhof,2006-08-03,Dickhof,2006-08-03,,
50043,Dickhof,1990-07-23,45,999,,bbn,p2,"GD-Archiv-Nr.: 286; Biosoil-Nr.: 352;
Boden skelettreich, aus Hangschutt über Tonstein;",Dickhof,2006-07-25,Dickhof,2006-07-25,,
50044,Richter,1990-08-03,140,999,,bbn,p1,GD Archiv-Nr. 562,Richter,2006-05-11,Richter,2006-05-11,,
50045,Dworschak,1990-09-17,150,999,,ss-bb,p4,GD Archiv-Nr. 213:,Hoffmann,2006-04-26,Hoffmann,2006-04-26,,
50046,Richter,1991-04-04,80,999,,ss-bb,p1,"GD-Archiv-Nr.: 577; Biosoil-Nr.: 421;
Fläche vermutlich ehemals Weide",Richter,2007-04-25,Richter,2007-04-25,,
50047,Dickhof,1991-07-30,70,999,,bbn,p2,"GD-Archiv-Nr.: 309; Biosoil-Nr.: 388;
Vorbestand Nadelholz;",Dickhof,2006-07-18,Dickhof,2006-07-18,,
50048,Dickhof,1991-07-10,60,999,,bbn,p1,GD Archiv-Nr. 312;,Dickhof,2006-07-05,Dickhof,2006-07-05,,
50049,Richter,1990-07-12,120,999,,bbn,p2,GD Archiv-Nr. 554,Richter,2006-06-01,Richter,2006-06-01,,
