bund_nr,lfd_nr,otprobe,utprobe,grobb_anteil,grobb_fraktion,grobb_methode,grobb_anz,grobb_vol,probennr_grobb,trd_methode,trd_geschaetzt,trd_anz,trd_vol,probennr_trd,grobb_pr_art,trd_pr_art
120007,3,10,16,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120007,4,16,36,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120007,5,36,58,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120007,6,58,82,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120007,8,105,140,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,4,27,38,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,7,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,8,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,11,170,195,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,9,20,40,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,10,40,80,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,6,70,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,5,38,70,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120008,3,10,27,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120009,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120009,4,35,70,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120009,7,140,160,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120009,6,95,140,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120009,5,70,95,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120009,3,10,35,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120009,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120010,6,65,91,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120010,4,20,34,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120010,5,34,65,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120010,3,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120010,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120010,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120010,9,170,200,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120010,8,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120010,7,91,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120011,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120011,7,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120011,6,95,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120011,5,55,95,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120011,4,25,55,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120011,3,10,25,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120011,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,3,10,15,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,4,15,40,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,5,40,75,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,6,75,105,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,7,105,145,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,8,145,155,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,9,155,180,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120012,10,180,205,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,3,10,18,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,4,18,35,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,5,35,70,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,6,70,110,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,7,110,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,8,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,9,170,210,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,10,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,11,20,40,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120013,12,40,80,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120014,5,41,63,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120014,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120014,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120014,3,10,17,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120014,4,17,41,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120014,6,63,83,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120014,7,83,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120014,8,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120015,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120015,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120015,3,10,37,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120015,4,37,60,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120015,5,60,85,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120015,6,85,125,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120016,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120016,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120016,3,10,21,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120016,4,21,39,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120016,5,39,72,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120016,6,72,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120016,7,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,3,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,4,20,30,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,5,30,45,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,6,45,85,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,7,85,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,8,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,9,170,190,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,10,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,11,20,40,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120017,12,40,80,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,3,10,23,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,4,23,40,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,5,40,70,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,6,70,120,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,7,120,130,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,8,130,170,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,9,170,190,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,10,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,11,20,40,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120018,12,40,80,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120019,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120019,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120019,3,10,16,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120019,4,16,50,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
