bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,anmerkung
50001,Tilo Schindler; Karin Morgenstern,2011-08-26,-9,,,,,,,,,,,,,,,,,1,2,1,4,-2,2,1,1,1,
50002,Tilo Schindler; Karin Morgenstern,2011-08-27,-9,,,,,,,,,,,,,,,,,1,2,1,3,-2,1,1,1,1,
50003,Tilo Schindler; Karin Morgenstern,2012-03-17,-9,,,,,,,,,,,,,,,,,1,3,1,1,-2,2,1,1,2,
50004,Tilo Schindler; Karin Morgenstern,2012-03-15,-9,2,2,4231,109,5035,153,3524,155,,,,,,,,,1,1,1,2,-2,1,1,1,1,
50005,Tilo Schindler; Karin Morgenstern,2011-08-27,-9,3,1,1907,262,241,356,-2,-2,,,,,,,,,1,8,1,2,-2,1,1,1,1,
50006,Tilo Schindler; Karin Morgenstern,2011-08-26,-9,1,1,2676,240,2827,293,-2,-2,,,,,,,,,4,8,1,2,-2,2,1,1,1,
50007,Tilo Schindler; Karin Morgenstern,2011-08-26,-9,2,1,1822,220,2199,347,-2,-2,,,,,,,,,1,8,2,1,5,2,1,1,1,
50008,Tilo Schindler; Karin Morgenstern,2012-03-18,-9,,,,,,,,,,,,,,,,,1,2,1,2,-2,1,1,1,1,
50009,Tilo Schindler; Karin Morgenstern,2012-03-17,-9,3,1,1618,33,1885,294,-2,-2,2,1,3502,84,3030,136,-2,-2,1,1,1,2,-2,1,1,1,1,
50010,Tilo Schindler; Karin Morgenstern,2012-03-15,-9,3,2,3090,225,2306,186,1481,213,,,,,,,,,1,7,1,6,-2,2,1,1,2,
50011,Tilo Schindler; Karin Morgenstern,2012-03-15,-9,,,,,,,,,,,,,,,,,1,5,1,2,-2,2,1,1,1,
50012,KT,2011-11-08,-9,,,,,,,,,,,,,,,,,1,5,2,2,5,2,1,1,1,
50013,KT,2011-11-08,-9,1,1,2684,384,2469,24,-2,-2,,,,,,,,,1,5,1,2,-2,2,1,1,1,
50014,Tilo Schindler; Karin Morgenstern,2011-08-25,-9,2,1,2403,266,2349,347,-2,-2,,,,,,,,,1,5,2,3,6,1,1,1,1,
50015,Tilo Schindler; Karin Morgenstern,2012-03-17,-9,,,,,,,,,,,,,,,,,1,1,1,6,-2,1,1,1,1,
50016,Tilo Schindler; Karin Morgenstern,2012-03-16,-9,,,,,,,,,,,,,,,,,1,4,2,6,6,2,1,1,1,
50017,Tilo Schindler; Karin Morgenstern,2012-03-16,-9,,,,,,,,,,,,,,,,,1,5,1,2,-2,2,1,1,1,
50018,Tilo Schindler; Karin Morgenstern,2012-03-18,-9,,,,,,,,,,,,,,,,,1,3,1,2,-2,2,1,1,2,
50019,Tilo Schindler; Karin Morgenstern,2012-03-18,-9,,,,,,,,,,,,,,,,,1,1,1,3,-2,1,1,1,1,
50020,Tilo Schindler; Karin Morgenstern,2012-03-16,-9,,,,,,,,,,,,,,,,,1,2,4,4,2,2,1,1,1,
50021,Tilo Schindler; Karin Morgenstern,2012-03-18,-9,,,,,,,,,,,,,,,,,1,2,4,3,2,1,1,1,1,
50022,Tilo Schindler; Karin Morgenstern,2012-03-16,-9,,,,,,,,,,,,,,,,,1,2,1,3,-2,2,1,1,1,
50023,Tilo Schindler; Karin Morgenstern,2012-03-19,-9,2,2,3201,1,2911,300,1940,332,,,,,,,,,1,6,2,2,2,2,1,1,1,
50024,Tilo Schindler; Karin Morgenstern,2011-09-30,-9,3,2,3138,244,269,121,643,138,,,,,,,,,1,4,1,2,-2,1,2,1,1,
50025,Tilo Schindler; Karin Morgenstern,2011-09-30,-9,3,1,2549,185,2525,262,-2,-2,,,,,,,,,1,5,1,3,-2,1,1,1,1,
50026,Tilo Schindler; Karin Morgenstern,2011-09-29,-9,1,1,2687,175,2552,102,-2,-2,,,,,,,,,1,4,3,5,1,2,1,1,1,
50027,Tilo Schindler; Karin Morgenstern,2011-09-30,-9,,,,,,,,,,,,,,,,,1,2,1,2,-2,2,1,1,1,
50028,Tilo Schindler; Karin Morgenstern,2012-03-19,-9,,,,,,,,,,,,,,,,,1,7,2,2,6,2,1,1,1,
50029,Tilo Schindler; Karin Morgenstern,2011-10-03,-9,,,,,,,,,,,,,,,,,1,2,1,2,-2,1,1,1,1,
50030,Tilo Schindler; Karin Morgenstern,2011-09-30,-9,,,,,,,,,,,,,,,,,1,4,1,6,-2,2,1,1,1,
50031,Tilo Schindler; Karin Morgenstern,2011-08-25,-9,,,,,,,,,,,,,,,,,1,5,6,2,5,2,1,1,1,
50032,Tilo Schindler; Karin Morgenstern,2012-03-14,-9,3,-9,3092,160,3294,222,1207,202,,,,,,,,,1,1,1,2,-2,1,1,1,1,
50033,Tilo Schindler; Karin Morgenstern,2011-10-04,-9,1,1,3007,113,2681,172,-2,-2,,,,,,,,,1,8,2,2,6,2,1,1,1,
