ld_bze,eu_wze,ld_wze,ld,raster,istre,istho,srid_ist,hoehenn,bund_nr
20006,-9,20006,-9,-9,4585409,5831483,31468,40,120001
20029,-9,20029,-9,-9,4584923,5815202,31468,51,120002
20054,-9,20054,-9,-9,4616933,5814244,31468,41,120003
20081,-9,20081,-9,-9,4600954,5814827,31468,35,120004
88,8088,88,-9,-9,395449,5901308,25833,88,120005
104,8104,104,-9,-9,378291,5886382,25833,57,120006
106,8106,106,-9,-9,346721,5888688,25833,82,120007
115,8115,115,-9,-9,409039,5867937,25833,64,120008
118,8118,118,-9,-9,361138,5871588,25833,43,120009
119,8119,119,-9,-9,345317,5872629,25833,61,120010
120,8120,120,-9,-9,329327,5873988,25833,46,120011
121,8121,121,-9,-9,313328,5875043,25833,70,120012
125,8125,125,-9,-9,423829,5851106,25833,67,120013
126,8126,126,-9,-9,407846,5852134,25833,39,120014
127,8127,127,-9,-9,391943,5853486,25833,38,120015
128,8128,128,-9,-9,375921,5854569,25833,40,120016
139,8139,139,-9,-9,438258,5834072,25833,58,120017
140,8140,140,-9,-9,422237,5834526,25833,126,120018
146,8146,146,-9,-9,326982,5842054,25833,27,120019
153,8153,153,-9,-9,469301,5815639,25833,30,120020
155,8155,155,-9,-9,437207,5818025,25833,55,120021
161,8161,161,-9,-9,341740,5824854,25833,48,120022
-9,-9,-9,-9,-9,-1,-1,31468,-9,120023
170,8170,170,-9,-9,452170,5800581,25833,50,120024
172,8172,172,-9,-9,420122,5803170,25833,39,120025
20173,8173,20173,-9,-9,4608707,5806450,31468,37,120026
185,8185,185,-9,-9,466971,5783419,25833,74,120027
186,8186,186,-9,-9,450968,5785028,25833,44,120028
187,8187,187,-9,-9,434978,5786167,25833,45,120029
188,8188,188,-9,-9,419301,5787296,25833,40,120030
189,8189,189,-9,-9,403235,5788478,25833,59,120031
192,8192,192,-9,-9,355467,5791918,25833,66,120032
194,8194,194,-9,-9,323671,5794252,25833,55,120033
200,8200,200,-9,-9,481298,5766451,25833,41,120034
201,8201,201,-9,-9,465373,5767636,25833,120,120035
204,8204,204,-9,-9,417985,5771438,25833,48,120036
205,8205,205,-9,-9,402097,5772541,25833,71,120037
209,8209,209,-9,-9,338250,5777236,25833,82,120038
210,8210,210,-9,-9,322431,5778280,25833,160,120039
216,8216,216,-9,-9,464547,5751789,25833,74,120040
218,8218,218,-9,-9,432825,5754419,25833,54,120041
234,8234,234,-9,-9,447561,5737297,25833,61,120042
236,8236,236,-9,-9,415768,5739537,25833,65,120043
250,8250,250,-9,-9,478268,5718961,25833,142,120044
251,8251,251,-9,-9,462403,5720167,25833,100,120045
254,8254,254,-9,-9,414673,5723577,25833,110,120046
292,8292,292,-9,-9,412390,5691701,25833,145,120047
1543,-9,1543,-9,-9,436447,5914156,25833,56,120048
1884,-9,1884,-9,-9,426753,5890938,25833,95,120049
1894,-9,1894,-9,-9,386607,5893878,25833,56,120050
1902,-9,1902,-9,-9,355005,5896075,25833,60,120051
1997,-9,1997,-9,-9,418347,5883575,25833,75,120052
2000,-9,2000,-9,-9,402151,5884599,25833,55,120053
2003,-9,2003,-9,-9,386234,5885842,25833,56,120054
2006,-9,2006,-9,-9,370273,5887036,25833,73,120055
2009,-9,2009,-9,-9,354451,5888141,25833,66,120056
2010,-9,2010,-9,-9,350343,5888460,25833,70,120057
2012,-9,2012,-9,-9,338413,5889382,25833,70,120058
2021,-9,2021,-9,-9,290487,5892693,25833,57,120059
2082,-9,2082,-9,-9,441377,5873803,25833,57,120060
2090,-9,2090,-9,-9,409682,5875994,25833,69,120061
2110,-9,2110,-9,-9,329920,5881919,25833,55,120062
2124,-9,2124,-9,-9,273959,5885933,25833,20,120063
-9,-9,-9,-9,-9,345642,5876739,25833,87,120064
2174,-9,2174,-9,-9,416932,5867507,25833,88,120065
2177,-9,2177,-9,-9,400969,5868422,25833,57,120066
2183,-9,2183,-9,-9,369128,5871097,25833,55,120067
2186,-9,2186,-9,-9,357282,5871873,25833,51,120068
2189,-9,2189,-9,-9,337225,5873294,25833,61,120069
2198,-9,2198,-9,-9,289426,5876813,25833,27,120070
2251,-9,2251,-9,-9,424375,5858989,25833,35,120071
2255,-9,2255,-9,-9,408411,5860082,25833,64,120072
2267,-9,2267,-9,-9,360646,5863540,25833,42,120073
2344,-9,2344,-9,-9,415835,5851587,25833,37,120074
2350,-9,2350,-9,-9,383919,5854017,25833,38,120075
2353,-9,2353,-9,-9,367943,5855242,25833,49,120076
2446,-9,2446,-9,-9,439327,5842295,25833,30,120077
2448,-9,2448,-9,-9,431104,5842725,25833,130,120078
2452,-9,2452,-9,-9,415210,5843621,25833,70,120079
2454,-9,2454,-9,-9,407136,5844492,25833,48,120080
