bund_nr,status,pk_dist,pk_azi
120001,-1,-9,-9
120002,1,-9,-9
120003,1,-9,-9
120004,1,-9,-9
120005,-1,-9,-9
120006,-1,-9,-9
120007,1,-9,-9
120008,1,-9,-9
120009,1,-9,-9
120010,1,-9,-9
120011,1,-9,-9
120012,1,-9,-9
120013,1,-9,-9
120014,1,-9,-9
120015,1,-9,-9
120016,1,-9,-9
120017,1,-9,-9
120018,-1,-9,-9
120019,1,-9,-9
120020,1,-9,-9
120021,-1,-9,-9
120022,1,-9,-9
120023,-1,-9,-9
120024,1,-9,-9
120025,1,-9,-9
120026,1,-9,-9
120027,1,-9,-9
120028,1,-9,-9
120029,1,-9,-9
120030,1,-9,-9
120031,-1,-9,-9
120032,1,-9,-9
120033,1,-9,-9
120034,1,-9,-9
120035,1,-9,-9
120036,1,-9,-9
120037,1,-9,-9
120038,1,-9,-9
120039,1,-9,-9
120040,1,-9,-9
120041,1,-9,-9
120042,1,-9,-9
120043,1,-9,-9
120044,1,-9,-9
120045,1,-9,-9
120046,1,-9,-9
120047,1,-9,-9
120048,-1,-9,-9
120049,1,-9,-9
120050,-1,-9,-9
120051,-1,-9,-9
120052,1,-9,-9
120053,1,-9,-9
120054,1,-9,-9
120055,1,-9,-9
120056,1,-9,-9
120057,1,-9,-9
120058,1,-9,-9
120059,1,-9,-9
120060,-1,-9,-9
120061,1,-9,-9
120062,1,-9,-9
120063,1,-9,-9
120064,-1,-9,-9
120065,1,-9,-9
120066,1,-9,-9
120067,1,-9,-9
120068,1,-9,-9
120069,1,-9,-9
120070,1,-9,-9
120071,1,-9,-9
120072,-1,-9,-9
120073,1,-9,-9
120074,1,-9,-9
120075,-1,-9,-9
120076,1,-9,-9
120077,1,-9,-9
120078,-1,-9,-9
120079,1,-9,-9
120080,-1,-9,-9
120081,1,-9,-9
120082,-1,-9,-9
120083,1,-9,-9
120084,1,-9,-9
120085,1,-9,-9
120086,1,-9,-9
120087,-1,-9,-9
120088,1,-9,-9
120089,1,-9,-9
120090,-1,-9,-9
120091,1,-9,-9
120092,1,-9,-9
120093,1,-9,-9
120094,1,-9,-9
120095,1,-9,-9
120096,1,-9,-9
120097,1,-9,-9
120098,1,-9,-9
120099,1,-9,-9
120100,1,-9,-9
120101,1,-9,-9
120102,1,-9,-9
120103,1,-9,-9
120104,1,-9,-9
120105,1,-9,-9
120106,1,-9,-9
120107,1,-9,-9
120108,1,-9,-9
120109,1,-9,-9
120110,1,-9,-9
120111,1,-9,-9
120112,1,-9,-9
120113,1,-9,-9
120114,1,-9,-9
120115,1,-9,-9
120116,1,-9,-9
120117,-1,-9,-9
120118,1,-9,-9
120119,1,-9,-9
120120,1,-9,-9
120121,-1,-9,-9
120122,1,-9,-9
120123,1,-9,-9
120124,1,-9,-9
120125,1,-9,-9
120126,-1,-9,-9
120127,-1,-9,-9
120128,1,-9,-9
120129,1,-9,-9
120130,1,-9,-9
120131,1,-9,-9
120132,1,-9,-9
120133,1,-9,-9
120134,1,-9,-9
120135,1,-9,-9
120136,1,-9,-9
120137,1,-9,-9
120138,-1,-9,-9
120139,1,-9,-9
120140,1,-9,-9
120141,1,-9,-9
120142,1,-9,-9
120143,1,-9,-9
120144,1,-9,-9
120145,1,-9,-9
120146,1,-9,-9
120147,-1,-9,-9
120148,1,-9,-9
120149,1,-9,-9
120150,1,-9,-9
120151,1,-9,-9
120152,-1,-9,-9
120153,1,-9,-9
120154,1,-9,-9
120155,1,-9,-9
120156,1,-9,-9
120157,2,-9,-9
120158,-1,-9,-9
120159,1,-9,-9
120160,-1,-9,-9
120161,1,-9,-9
120162,-1,-9,-9
120163,1,-9,-9
120164,-1,-9,-9
120165,1,-9,-9
120166,-1,-9,-9
120167,1,-9,-9
120168,1,-9,-9
120169,1,-9,-9
120170,1,-9,-9
120181,1,-9,-9
120182,1,-9,-9
120183,1,-9,-9
120184,1,-9,-9
120185,1,-9,-9
120186,1,-9,-9
120187,1,-9,-9
120188,1,-9,-9
