bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
120020,10,25,phg,,3
120020,25,50,phg,,4
120020,50,85,phg,,5
120020,85,130,phg,,6
120020,130,170,phg,,7
120020,10,20,ftg,EU,8
120020,40,80,ftg,EU,9
120020,20,40,ftg,EU,10
120021,0,5,ftg,,1
120021,5,10,ftg,,2
120021,10,19,phg,,3
120021,19,50,phg,,4
120021,50,85,phg,,5
120021,85,130,phg,,6
120021,130,170,phg,,7
120021,170,205,phg,,8
120021,10,20,ftg,EU,9
120021,20,40,ftg,EU,10
120021,40,80,ftg,EU,11
120022,0,5,ftg,,1
120022,5,10,ftg,,2
120022,10,20,phg,,3
120022,20,55,phg,,4
120022,55,80,phg,,5
120022,80,115,phg,,6
120022,115,145,phg,,7
120022,145,155,phg,,8
120022,10,20,ftg,EU,9
120022,20,40,ftg,EU,10
120022,40,80,ftg,EU,11
120024,0,5,ftg,,1
120024,5,10,ftg,,2
120024,10,17,phg,,3
120024,17,30,phg,,4
120024,30,60,phg,,5
120024,60,100,phg,,6
120024,100,130,phg,,7
120024,130,170,phg,,8
120024,170,180,phg,,9
120024,10,20,ftg,EU,10
120024,20,40,ftg,EU,11
120024,40,80,ftg,EU,12
120025,0,5,ftg,,1
120025,5,10,ftg,,2
120025,10,30,phg,,3
120025,30,48,phg,,4
120025,48,80,phg,,5
120025,80,110,phg,,6
120025,110,140,phg,,7
120025,140,160,phg,,8
120025,160,190,phg,,9
120025,190,205,phg,,10
120025,10,20,ftg,EU,11
120025,20,40,ftg,EU,12
120025,40,80,ftg,EU,13
120026,0,5,ftg,,1
120026,5,10,ftg,,2
120026,10,25,phg,,3
120026,25,50,phg,,4
120026,50,83,phg,,5
120026,83,108,phg,,6
120026,108,140,phg,,7
120026,140,160,phg,,8
120026,160,180,phg,,9
120026,10,20,ftg,EU,10
120026,20,40,ftg,EU,11
120026,40,80,ftg,EU,12
120027,0,5,ftg,,1
120027,5,10,ftg,,2
120027,10,18,phg,,3
120027,18,42,phg,,4
120027,42,60,phg,,5
120027,60,90,phg,,6
120027,90,120,phg,,7
120027,120,140,phg,,8
120027,140,160,phg,,9
120027,10,20,ftg,EU,10
120027,40,80,ftg,EU,11
120027,20,40,ftg,EU,12
120028,0,5,ftg,,1
120028,5,10,ftg,,2
120028,10,20,phg,,3
120028,20,45,phg,,4
120028,45,75,phg,,5
120028,75,115,phg,,6
120028,115,140,phg,,7
120028,140,160,phg,,8
120028,160,180,phg,,9
120028,180,200,phg,,10
120028,10,20,ftg,EU,11
120028,20,40,ftg,EU,12
120028,40,80,ftg,EU,13
120029,0,5,ftg,,1
120029,5,10,ftg,,2
120029,10,23,phg,,3
120029,23,50,phg,,4
120029,50,78,phg,,5
120029,78,110,phg,,6
120029,110,140,phg,,7
120029,140,160,phg,,8
120029,10,20,ftg,EU,9
120029,20,40,ftg,EU,10
120029,40,80,ftg,EU,11
120030,0,5,ftg,,1
120030,5,10,ftg,,2
120030,10,22,phg,,3
120030,22,40,phg,,4
120030,40,55,phg,,5
120030,55,100,phg,,6
120030,100,145,phg,,7
120030,145,155,phg,,8
120030,10,20,ftg,EU,9
120030,20,40,ftg,EU,10
120030,40,80,ftg,EU,11
120031,0,5,ftg,,1
120031,5,10,ftg,,2
120031,10,19,phg,,3
120031,19,50,phg,,4
120031,50,80,phg,,5
120031,80,110,phg,,6
120031,110,130,phg,,7
120031,130,170,phg,,8
120031,170,185,phg,,9
120031,10,20,ftg,EU,10
120031,20,40,ftg,EU,11
120031,40,80,ftg,EU,12
120032,0,5,ftg,,1
120032,5,10,ftg,,2
120032,10,25,phg,,3
120032,25,43,phg,,4
120032,43,65,phg,,5
120032,65,80,phg,,6
120032,80,100,phg,,7
120032,100,130,phg,,8
120032,130,145,phg,,9
120032,145,155,phg,,10
120032,10,20,ftg,EU,11
120032,20,40,ftg,EU,12
120032,40,80,ftg,EU,13
120033,0,5,ftg,,1
120033,5,10,ftg,,2
120033,10,17,phg,,3
120033,17,35,phg,,4
120033,35,50,phg,,5
120033,50,90,phg,,6
120033,90,130,phg,,7
120033,130,170,phg,,8
120033,170,200,phg,,9
120033,10,20,ftg,EU,10
120033,20,40,ftg,EU,11
120033,40,80,ftg,EU,12
120034,0,5,ftg,,1
120034,5,10,ftg,,2
120034,10,18,phg,,3
120034,18,45,phg,,4
120034,45,70,phg,,5
120034,70,100,phg,,6
120034,100,130,phg,,7
120034,130,170,phg,,8
120034,10,20,ftg,EU,9
120034,20,40,ftg,EU,10
120034,40,80,ftg,EU,11
120035,0,5,ftg,,1
120035,5,10,ftg,,2
120035,10,28,phg,,3
120035,28,55,phg,,4
120035,55,75,phg,,5
120035,75,95,phg,,6
120035,95,130,phg,,7
120035,130,170,phg,,8
120035,170,185,phg,,9
120035,10,20,ftg,EU,11
120035,20,40,ftg,EU,12
120035,40,80,ftg,EU,13
120036,0,5,ftg,,1
120036,5,10,ftg,,2
120036,10,30,phg,,3
120036,30,55,phg,,4
120036,55,80,phg,,5
120036,80,120,phg,,6
120036,120,180,phg,,7
120036,180,200,phg,,8
120036,20,40,ftg,EU,9
120036,40,80,ftg,EU,10
120036,10,20,ftg,EU,11
120037,0,5,ftg,,1
120037,5,10,ftg,,2
120037,10,30,phg,,3
120037,30,60,phg,,4
120037,60,80,phg,,5
120037,80,100,phg,,6
120037,100,140,phg,,7
120037,10,20,ftg,EU,8
120037,20,40,ftg,EU,9
120037,40,80,ftg,EU,10
120038,0,5,ftg,,1
120038,5,10,ftg,,2
120038,10,35,phg,,3
120038,35,65,phg,,4
120038,65,100,phg,,5
120038,100,140,phg,,6
120038,140,160,phg,,7
120038,160,185,phg,,8
120038,10,20,ftg,EU,9
120038,20,40,ftg,EU,10
120038,40,80,ftg,EU,11
120039,0,5,ftg,,1
120039,5,10,ftg,,2
120039,10,25,phg,,3
120039,25,55,phg,,4
120039,55,90,phg,,5
120039,90,130,phg,,6
120039,130,170,phg,,7
120039,170,210,phg,,8
120039,10,20,ftg,EU,9
120039,20,40,ftg,EU,10
120039,40,80,ftg,EU,11
120040,0,5,ftg,,1
120040,5,10,ftg,,2
120040,10,17,phg,,3
120040,17,35,phg,,4
120040,35,55,phg,,5
120040,55,95,phg,,6
120040,95,115,phg,,7
120040,115,140,phg,,8
120040,140,160,phg,,9
120040,160,180,phg,,10
120040,10,20,ftg,EU,11
120040,20,40,ftg,EU,12
120040,40,80,ftg,EU,13
120041,0,5,ftg,,1
120041,5,10,ftg,,2
120041,10,35,phg,,3
120041,35,45,phg,,4
120041,45,65,phg,,5
120041,65,95,phg,,6
120041,95,135,phg,,7
120041,135,165,phg,,8
120041,10,20,ftg,EU,9
120041,20,40,ftg,EU,10
120041,40,80,ftg,EU,11
120042,0,5,ftg,,1
120042,5,10,ftg,,2
120042,10,19,phg,,3
120042,19,42,phg,,4
120042,42,85,phg,,5
120042,85,120,phg,,6
120042,120,145,phg,,7
120042,145,155,phg,,8
120042,10,20,ftg,EU,9
120042,20,40,ftg,EU,10
