ICode;kurzd;langd;kurze;lange;ug;og;zu_icp_code;begin;ende;zu_bze1_2
-9;fehlt;Merkmal vergessen, nicht rekonstruierbar oder unbekannt;-9;Characteristic forgotten, not reconstructable or unknown;;;;01.01.1989;;-9
-2;nicht ausgeprägt;Merkmal nicht ausgeprägt/nicht vorhanden;-2;Characteristic not pronounced/not available;;;;01.01.1989;;-2
-1;nicht erhoben;Merkmal nicht erhoben;-1;Characteristic not surveyed;;;;01.01.2006;;-1
1;N;Nord (337,5 - <22,5 Grad bzw. 375 - <25 Gon);N;North;-25;25;1;01.01.2006;;NN
2;NO;Nord-Ost (22,5 - <67,5 Grad bzw. 25 - <75 Gon);NE;North-east;25;75;2;01.01.2006;;NO
3;O;Ost (67,5 - <112,5 Grad bzw. 75 - <125 Gon);E;East;75;125;3;01.01.2006;;OO
4;SO;Süd-Ost (112,5 - <157,5 Grad bzw. 125 - <175 Gon);SE;South-east;125;175;4;01.01.2006;;SO
5;S;Süd (157,5 - <202,5 Grad bzw. 175 - <225 Gon);S;South;175;225;5;01.01.2006;;SS
6;SW;Süd-West (202,5 - <247,5 Grad bzw. 225 - <275 Gon);SW;South-west;225;275;6;01.01.2006;;SW
7;W;West (247,5 - <292,5 Grad bzw. 275 - <325 Gon);W;West;275;325;7;01.01.2006;;WW
8;NW;Nord-West (292,5 - <337,5 Grad bzw. 325 - <375 Gon);NW;North-West;325;375;8;01.01.2006;;NW
9;FLA;flach;FLA;Flat;;;9;01.01.2006;;FLA
