id,kurz,lang,gueltig_ab,gueltig_bis
018.006.002,018.006.002,,1989-01-01,
018.006.003,018.006.003,,1989-01-01,
018.006.999,018.006.999,,1989-01-01,
018.007.001,018.007.001,,1989-01-01,
018.008.001,018.008.001,,1989-01-01,
019.001.001,019.001.001,,1989-01-01,
019.001.002,019.001.002,,1989-01-01,
019.001.003,019.001.003,,1989-01-01,
019.001.004,019.001.004,,1989-01-01,
019.001.999,019.001.999,,1989-01-01,
019.002.001,019.002.001,,1989-01-01,
019.003.001,019.003.001,,1989-01-01,
019.003.002,019.003.002,,1989-01-01,
019.003.003,019.003.003,,1989-01-01,
019.003.004,019.003.004,,1989-01-01,
019.003.005,019.003.005,,1989-01-01,
019.003.006,019.003.006,,1989-01-01,
019.003.007,019.003.007,,1989-01-01,
019.003.008,019.003.008,,1989-01-01,
019.003.009,019.003.009,,1989-01-01,
019.003.010,019.003.010,,1989-01-01,
019.003.011,019.003.011,,1989-01-01,
019.003.012,019.003.012,,1989-01-01,
019.003.013,019.003.013,,1989-01-01,
019.003.014,019.003.014,,1989-01-01,
019.003.015,019.003.015,,1989-01-01,
019.003.016,019.003.016,,1989-01-01,
019.003.017,019.003.017,,1989-01-01,
019.003.018,019.003.018,,1989-01-01,
019.003.019,019.003.019,,1989-01-01,
019.003.020,019.003.020,,1989-01-01,
019.003.999,019.003.999,,1989-01-01,
020.001.001,020.001.001,,1989-01-01,
021.001.001,021.001.001,,1989-01-01,
022.001.001,022.001.001,,1989-01-01,
022.002.001,022.002.001,,1989-01-01,
023.001.001,023.001.001,,1989-01-01,
023.001.002,023.001.002,,1989-01-01,
023.001.003,023.001.003,,1989-01-01,
023.001.004,023.001.004,,1989-01-01,
023.001.005,023.001.005,,1989-01-01,
023.001.999,023.001.999,,1989-01-01,
023.002.001,023.002.001,,1989-01-01,
023.002.002,023.002.002,,1989-01-01,
023.002.999,023.002.999,,1989-01-01,
024.001.001,024.001.001,,1989-01-01,
025.001.001,025.001.001,,1989-01-01,
025.001.002,025.001.002,,1989-01-01,
025.001.999,025.001.999,,1989-01-01,
026.001.001,026.001.001,,1989-01-01,
026.001.002,026.001.002,Küsten-Tanne,1989-01-01,
026.001.003,026.001.003,,1989-01-01,
026.001.004,026.001.004,,1989-01-01,
026.001.005,026.001.005,,1989-01-01,
026.001.006,026.001.006,Weiß-Tanne,1989-01-01,
026.001.007,026.001.007,,1989-01-01,
026.001.008,026.001.008,,1989-01-01,
026.001.009,026.001.009,,1989-01-01,
026.001.999,026.001.999,Tanne,1989-01-01,
026.001.999.dl,026.001.999.DL,Tanne,1989-01-01,2021-01-01
026.002.001,026.002.001,Douglasie,1989-01-01,
026.003.001,026.003.001,,1989-01-01,
026.003.002,026.003.002,,1989-01-01,
026.003.999,026.003.999,,1989-01-01,
026.004.001,026.004.001,Gewöhnliche Fichte,1989-01-01,
026.004.002,026.004.002,,1989-01-01,
026.004.003,026.004.003,,1989-01-01,
026.004.004,026.004.004,,1989-01-01,
026.004.005,026.004.005,,1989-01-01,
026.004.006,026.004.006,Sitka-Fichte,1989-01-01,
026.004.007,026.004.007,,1989-01-01,
026.004.999,026.004.999,Fichte,1989-01-01,
026.004.999.dl,026.004.999.DL,Fichte,1989-01-01,2021-01-01
026.005.001,026.005.001,Japan-Lärche,1989-01-01,
026.005.002,026.005.002,Europäische Lärche,1989-01-01,
026.005.003,026.005.003,,1989-01-01,
026.005.004,026.005.004,,1989-01-01,
026.005.999,026.005.999,Lärche,1989-01-01,
026.005.999.dl,026.005.999.DL,Lärche,1989-01-01,2021-01-01
026.006.001,026.006.001,,1989-01-01,
026.006.002,026.006.002,,1989-01-01,
026.006.999,026.006.999,,1989-01-01,
026.007.001,026.007.001,,1989-01-01,
026.007.002,026.007.002,,1989-01-01,
026.007.003,026.007.003,,1989-01-01,
026.007.004,026.007.004,,1989-01-01,
026.007.005,026.007.005,,1989-01-01,
026.007.006,026.007.006,Schwarz-Kiefer,1989-01-01,
026.007.007,026.007.007,Gewöhnliche Kiefer,1989-01-01,
026.007.008,026.007.008,,1989-01-01,
026.007.009,026.007.009,,1989-01-01,
026.007.010,026.007.010,,1989-01-01,
026.007.012,026.007.012,,1989-01-01,
026.007.013,026.007.013,,1989-01-01,
026.007.014,026.007.014,,1989-01-01,
026.007.015,026.007.015,,1989-01-01,
026.007.016,026.007.016,,1989-01-01,
026.007.017,026.007.017,,1989-01-01,
026.007.018,026.007.018,,1989-01-01,
026.007.999,026.007.999,Kiefer,1989-01-01,
026.007.999.dl,026.007.999.DL,Kiefer,1989-01-01,2021-01-01
027.001.001,027.001.001,,1989-01-01,
027.002.001,027.002.001,,1989-01-01,
027.003.001,027.003.001,,1989-01-01,
027.004.001,027.004.001,,1989-01-01,
028.001.001,028.001.001,,1989-01-01,
028.001.002,028.001.002,,1989-01-01,
028.001.003,028.001.003,,1989-01-01,
028.001.004,028.001.004,,1989-01-01,
028.001.999,028.001.999,,1989-01-01,
028.002.001,028.002.001,,1989-01-01,
028.003.001,028.003.001,,1989-01-01,
028.003.999,028.003.999,,1989-01-01,
028.004.001,028.004.001,,1989-01-01,
028.005.001,028.005.001,,1989-01-01,
028.005.002,028.005.002,,1989-01-01,
028.005.003,028.005.003,,1989-01-01,
028.005.004,028.005.004,,1989-01-01,
028.005.005,028.005.005,,1989-01-01,
028.005.006,028.005.006,,1989-01-01,
028.005.007,028.005.007,,1989-01-01,
028.005.008,028.005.008,,1989-01-01,
028.005.009,028.005.009,,1989-01-01,
028.005.010,028.005.010,,1989-01-01,
028.005.011,028.005.011,,1989-01-01,
028.005.999,028.005.999,,1989-01-01,
029.001.001,029.001.001,,1989-01-01,
030.001.001,030.001.001,,1989-01-01,
030.001.002,030.001.002,,1989-01-01,
030.001.003,030.001.003,,1989-01-01,
030.001.004,030.001.004,,1989-01-01,
030.001.999,030.001.999,,1989-01-01,
031.001.001,031.001.001,,1989-01-01,
031.001.002,031.001.002,,1989-01-01,
031.001.003,031.001.003,,1989-01-01,
031.001.004,031.001.004,,1989-01-01,
031.001.005,031.001.005,,1989-01-01,
031.001.006,031.001.006,,1989-01-01,
031.001.007,031.001.007,,1989-01-01,
031.001.008,031.001.008,,1989-01-01,
031.001.009,031.001.009,,1989-01-01,
031.001.010,031.001.010,,1989-01-01,
031.001.011,031.001.011,,1989-01-01,
031.001.012,031.001.012,,1989-01-01,
031.001.013,031.001.013,,1989-01-01,
031.001.014,031.001.014,,1989-01-01,
031.001.015,031.001.015,,1989-01-01,
031.001.016,031.001.016,,1989-01-01,
031.001.017,031.001.017,,1989-01-01,
031.001.018,031.001.018,,1989-01-01,
031.001.019,031.001.019,,1989-01-01,
031.001.020,031.001.020,,1989-01-01,
031.001.021,031.001.021,,1989-01-01,
