icode;kurzd;langd;genus;species;zu_bart_flora;laub_nadel;zu_icp_code;zu_bartgr_wze;zu_ba_bwi;anmerkung;bze_al;beginn;ende
154;Tu;Tulpenbaum;Liriodendron;tulipifera;64.001.001;LB;247;30011;SLB;;WAHR;;
156;WEs;Weißesche;Fraxinus;americana;;LB;226;30011;ES;;FALSCH;;
157;WAp;Wildapfel;Malus;sylvestris;80.027.003;LB;220;30011;SLB;;WAHR;31. Dez 13;
158;WBi;Wildbirne;Pyrus;pyraster;80.026.004;LB;253;30011;SLB;;WAHR;;
159;WZw;Wildzwetschge;Prunus;cerasifera;80.035.007;LB;232;30011;KIR;;FALSCH;;
160;ZEi;Zerreiche;Quercus;cerris;36.004.008;LB;41;30011;EI;;WAHR;31. Dez 05;
161;AsH;Aspenhybriden;Populus;hybrides;;LB;33;30011;PA;;FALSCH;;01. Jan 00
162;Edl;Edellaubholz;alii;frons noble;;LB;99;30011;SLB;;FALSCH;;
163;Ei;Eiche;Quercus;robur x petraea;036.004.999.DL;LB;98;30013;EI;;WAHR;31. Dez 86;
164;WPa;Weisspappel;Populus;alba;31.022.001;LB;31;30011;PA;;FALSCH;;
165;WWE;Weißweide;Salix;alba;31.001.003;LB;57;30011;SLB;;FALSCH;31. Dez 03;
166;WDe;Eingriffeliger Weißdorn;Crataegus;monogyna;80.034.014;LB;90;30011;SLB;;FALSCH;;
167;WDs;Weißdorn;Crataegus;spp.;080.034.999.DL;LB;217;30011;SLB;;FALSCH;;01. Jan 00
168;HPa;Hybrid Pappel;Populus;hybrides;;LB;33;30011;PA;;WAHR;31. Dez 05;
199;sLb;sonstige Laubbaeume;alii;frons;999.999.001.DL;LB;99;30011;SLB;;WAHR;31. Dez 86;
200;Ta;Tanne;Abies;spp.;026.001.999.DL;NB;198;30012;TA;;WAHR;31. Dez 04;
201;WTa;Weiß-Tanne;Abies;alba;26.001.006;NB;100;30012;TA;;WAHR;31. Dez 86;
202;KTa;Kuesten-Tanne;Abies;grandis;26.001.002;NB;103;30012;TA;;WAHR;31. Dez 04;
203;Lae;Laerche;Larix;spp.;026.005.999.DL;NB;197;30012;LAE;;WAHR;31. Dez 86;
204;ELa;Europaeische Laerche;Larix;decidua;26.005.002;NB;116;30012;ELA;;WAHR;31. Dez 86;
205;JLa;Japanische Laerche;Larix;kaempferi ;26.005.001;NB;117;30012;JLA;(L. leptolepis);WAHR;31. Dez 86;
206;Fi;Fichte;Picea;spp.;026.004.999.DL;NB;199;30012;FI;;FALSCH;;01. Jan 00
207;GFi;Gewoehnliche Fichte;Picea;abies ;26.004.001;NB;118;30014;FI;(P. excelsa);WAHR;31. Dez 86;
208;SFi;Sitka-Fichte;Picea;sitchensis;26.004.006;NB;120;30012;FI;;WAHR;31. Dez 86;
209;Ki;Kiefer;Pinus;spp.;026.007.999.DL;NB;199;30015;KI;;FALSCH;;31. Dez 08
210;SKi;Schwarz-Kiefer;Pinus;nigra;26.007.006;NB;129;30012;KI;;WAHR;31. Dez 89;
211;GKi;Gewoehnliche Kiefer;Pinus;sylvestris;26.007.007;NB;134;30015;KI;;WAHR;31. Dez 86;
212;Dgl;Douglasie;Pseudotsuga;menziestii;26.002.001;NB;136;30012;DGL;;WAHR;31. Dez 86;
213;KiB;Bankskiefer;Pinus;banksiana;26.007.004;NB;153;30012;KI;;WAHR;;
214;BKi;Bergkiefer;Pinus;mugo;26.007.008;NB;128;30012;KI;;WAHR;31. Dez 05;
215;SZy;Scheinzypresse;Chamaecyparis;lawsoniana;28.002.001;NB;140;30012;SNB;;FALSCH;;
216;STa;Silbertanne;Abies;concolor;;NB;199;30012;TA;;FALSCH;;
217;DKi;Drehkiefer;Pinus;contorta;26.007.001;NB;124;30012;KI;;FALSCH;;
218;ETa;Edeltanne;Abies;procera;26.001.001;NB;106;30012;TA;;WAHR;31. Dez 05;
219;Eib;Eibe;Taxus;baccata;29.001.001;NB;137;30012;EIB;;WAHR;;
220;HTa;Hemlocktanne;Tsuga;spp.;;NB;139;30012;SNB;;WAHR;31. Dez 04;
221;HLä;Hybridlaerche;Larix;eurolepis;;NB;150;30012;LAE;;FALSCH;;
222;Ara;Japantanne;Araucaria;araucana;;NB;157;30012;SNB;;FALSCH;;
223;Le;Lebensbaum;Thuja;spp.;;NB;138;30012;SNB;;WAHR;31. Dez 07;
224;LTa;Lowes Tanne;abies;…;;NB;199;30012;TA;;FALSCH;;
225;Mes;Urweltmammutbaum;Metasequoia;glyptostroboides;;NB;160;30012;SNB;;FALSCH;;
226;NTa;Nordmannstanne;Abies;nordmanniana;26.001.005;NB;104;30012;TA;;WAHR;31. Dez 04;
227;OFi;Omorika Fichte;Picea;omorika;;NB;119;30012;FI;;FALSCH;;
228;PKi;Pechkiefer;Pinus;rigida;;NB;155;30012;KI;;FALSCH;;
229;PTa;Purpurtanne;Abies;amabilis;;NB;147;30012;TA;;FALSCH;;
230;RZy;Rauchzypresse;Calocedrus;decurrens;;NB;158;30012;SNB;;FALSCH;;
231;RFi;Rotfichte;Picea;abies;26.004.001;NB;118;30014;FI;;FALSCH;;01. Jan 00
232;Se;Riesenmammutbaum;Sequoiadendron;giganteum;27.002.001;NB;161;30012;SNB;;FALSCH;;
233;TaS;Sicheltanne;Cryptomeria;japonica;27.004.001;NB;159;30012;SNB;;FALSCH;;
234;FiS;Stechfichte;Picea;pungens;26.004.005;NB;152;30012;FI;;FALSCH;;
235;Str;Strobe;Pinus;strobus;26.007.018;NB;133;30012;WEY;;WAHR;31. Dez 86;
236;SLä;Sumpflaerche;Larix;laricina;;NB;199;30012;LAE;;FALSCH;;01. Jan 00
237;VTa;Veits Tanne;Abies;veitchii;;NB;149;30012;TA;;FALSCH;;
238;WFi;Weißfichte;Picea;glauca;26.004.003;NB;151;30012;FI;;FALSCH;;
239;ZKi;Zirbelkiefer;Pinus;cembra;26.007.014;NB;123;30012;KI;;WAHR;31. Dez 16;
299;sNd;sonstige Nadelbaeume;alii;acus;999.999.002.DL;NB;199;30012;SNB;;WAHR;31. Dez 86;
303;SWa;Stinkende Wacholder;Juniperus;foetidissima;28.005.008;NB;145;30012;SNB;;FALSCH;;
304;KFi;Kaukasus-Fichte;Picea;orientalis;26.004.002;NB;146;30012;FI;;FALSCH;;
305;LZe;Libanon-Zeder;Cedrus;libani;;NB;143;30012;SNB;;FALSCH;;
306;CTa;Kilikische Tanne;Abies;cilicica;;NB;142;30012;TA;;FALSCH;;
307;GWa;Gemeiner Wacholder;Juniperus;communis;28.005.002;NB;111;30012;SNB;;FALSCH;;
308;FrA;Französische Ahorn;Acer;monspessulanum;95.001.013;LB;2;30011;AH;;WAHR;;
309;SbA;Schneeball-Ahorn;Acer;opalus;95.001.008;LB;3;30011;AH;;WAHR;;
310;KAp;Kulturapfel;Malus;domestica;80.027.006;LB;27;30011;SLB;;FALSCH;;
311;KBi;Kulturbirne;Pyrus;communis;80.026.013;LB;40;30011;SLB;;WAHR;;
312;HEr;"Herzblättrige Erle
";Alnus;cordata ;34.002.005;LB;6;30011;ERL;;FALSCH;;
313;ÖEb;Östliche Erdbeerbaum;Arbutus;andrachne;132.012.002;LB;74;30011;SLB;;FALSCH;;
314;WEb;Westlicher Erdbeerbaum;Arbutus;unedo;132.012.001;LB;73;30011;SLB;;FALSCH;;
315;OBu;Orient-Buche;Fagus;orientalis;;LB;19;30011;BU;;FALSCH;;
316;BSl;Breitblättrige Steinlinde;Phillyrea;latifolia;139.008.002;LB;82;30011;SLB;;FALSCH;;
317;WPi;Wilde Pistazie;Pistacia;lentiscus;94.003.004;LB;84;30011;SLB;;FALSCH;;
318;Eri;Erikagewächs Strauch;Erica;manipuliflora;132.001.012;LB;79;30011;SLB;;FALSCH;;
319;EWa;Griechischer Wacholder;Juniperus;excelsa;28.005.009;NB;144;30012;SNB;;FALSCH;;
320;OWa;Stech-Wacholder;Juniperus;oxycedrus;28.005.003;NB;112;30012;SNB;;FALSCH;;
321;PWa;Phönizische Wacholder;Juniperus;phoenicea;28.005.006;NB;113;30012;SNB;;FALSCH;;
322;SaW;Stink-Wacholder/Sadebaum;Juniperus;sabina;28.005.010;NB;114;30012;SNB;;FALSCH;;
323;TWa;Spanischer Wacholder;Juniperus;thurifera;28.005.007;NB;115;30012;SNB;;FALSCH;;
324;HZw;Hauszwetschge;Prunus;domestica;?;LB;233;30011;KIR;;FALSCH;06. Mai 20;
325;GBu;Gewöhnliche Buchsbaum;Buxus;sempervirens;;LB;12;30011;SLB;;FALSCH;01. Jan 20;
326;Ohb;Orientalische Hainbuche;Carpinus;orientalis;;LB;14;30011;HBU;;WAHR;01. Jan 20;
327;HaN;Haselnussstrauch;Corylus;avellana;;LB;16;30011;SLB;;FALSCH;01. Jan 20;
328;Euk;Eukalypten;Eucalyptus;spp.;;LB;17;30011;SLB;;FALSCH;01. Jan 20;
329;FaM;? Fagus moesiaca;Fagus;moesiaca;;LB;18;30011;BU;;FALSCH;01. Jan 20;
330;SbE;Schmalblättrige Esche;Fraxinus;angustifolia spp. Oxycarpa;;LB;21;30011;ES;;FALSCH;01. Jan 20;
331;MaE;Manna-Esche;Fraxinus;ornus;;LB;23;30011;ES;;FALSCH;01. Jan 20;
332;ESt;Europäische Stechpalme;Ilex;aquifolium;;LB;24;30011;SLB;;FALSCH;01. Jan 20;
333;EOe;Echtem Ölbaum;Olea;europaea;;LB;28;30011;SLB;;FALSCH;01. Jan 20;
334;HoB;Hopfenbuche;Ostrya;carpinifolia;;LB;29;30011;SLB;;FALSCH;01. Jan 20;
335;OPl;Orientalische Platane;Platanus;orientalis;;LB;30;30011;SLB;;FALSCH;01. Jan 20;
336;MaB;Mandelbaum;Prunus;dulcis;;LB;37;30011;KIR;;FALSCH;01. Jan 20;
337;StE;Stech-/Kermes-Eiche;Quercus;coccifera;;LB;42;30011;EI;;FALSCH;01. Jan 20;
338;PoE;Portugiesische-/Zen-Eiche;Quercus;faginea;;LB;43;30011;EI;;FALSCH;01. Jan 20;
339;UnE;Ungarische Eiche;Quercus;frainetto;;LB;44;30011;EI;;FALSCH;01. Jan 20;
340;GaE;Gallen-/Färber-Eiche;Quercus;fruticosa;;LB;45;30011;EI;;FALSCH;01. Jan 20;
341;SeE;Steineiche;Quercus;ilex;;LB;46;30011;EI;Blätter: 7-14 Paar Seitennerven, lanzettlich;FALSCH;01. Jan 20;
342;VaE;Valonia Eiche;Quercus;macrolepis;;LB;47;30011;EI;;FALSCH;01. Jan 20;
343;FlE;Flaumeiche;Quercus;pubescens;;LB;49;30011;EI;;FALSCH;01. Jan 20;
345;PyE;Pyrenäen-Eiche;Quercus;pyrenaica;;LB;50;30011;EI;;FALSCH;01. Jan 20;
346;SiE;Steineiche;Quercus;rotundifolia;;LB;52;30011;EI;Blätter: 5-8 Paar Seitennerven, rund-eliptisch;FALSCH;01. Jan 20;
347;KoE;Korkeiche;Quercus;suber;;LB;54;30011;EI;;FALSCH;01. Jan 20;
348;MzE;Mazedonische Eiche;Quercus;trojana;;LB;55;30011;EI;;FALSCH;01. Jan 20;
349;AaW;Asch-Weide;Salix;cinerea;;LB;59;30011;SLB;;FALSCH;01. Jan 20;
350;LaW;Lavendel-Weide;Salix;eleagnos;;LB;60;30011;SLB;;FALSCH;01. Jan 20;
351;AfT;Afrikanische Tamariske;Tamarix;africana;;LB;67;30011;SLB;;FALSCH;01. Jan 20;
352;Jbb;Johannisbrotbaum;Ceratonia;siliqua;;LB;75;30011;SLB;;FALSCH;01. Jan 20;
353;GJb;Gewöhnliche Judasbaum;Cercis;siliquastrum;;LB;76;30011;SLB;;FALSCH;01. Jan 20;
354;BHe;Baumheide;Erica;arborea;;LB;77;30011;SLB;;FALSCH;01. Jan 20;
355;SHe;Spanische Besen-Heide;Erica;scoparia;;LB;78;30011;SLB;;FALSCH;01. Jan 20;
356;ELo;Echte Lorbeer;Laurus;nobilis;;LB;80;30011;SLB;;FALSCH;01. Jan 20;
357;GMy;Gemeine Myrte;Myrtus;communis;;LB;81;30011;SLB;;FALSCH;01. Jan 20;
358;SSL;Steinlinde;Phillyrea;angustifolia;;LB;83;30011;SLB;;FALSCH;01. Jan 20;
359;TPi;Terpentin-Pistazie;Pistacia;terebinthus;;LB;85;30011;SLB;;FALSCH;01. Jan 20;
360;SWd;Schwarzer Weißdorn;Rhamnus;oleoides;;LB;86;30011;SLB;;FALSCH;01. Jan 20;
361;SKd;Stechpalmen-Kreuzdorn;Rhamnus;alaternus;;LB;87;30011;SLB;;FALSCH;01. Jan 20;
362;FjB;Fjellbirke;Betula;tortuosa;;LB;88;30011;BI;Deutschen Namen prüfen;FALSCH;01. Jan 20;
363;KaS;Kanarische Stechpalme;Ilex;canariensis;;LB;91;30011;SLB;;FALSCH;01. Jan 20;
364;AzL;Azoren-Lorbeer;Laurus;canariensis;;LB;92;30011;SLB;wahrscheinlich Laurus azorica;FALSCH;01. Jan 20;
365;GaB;Gagelbaum;Myrica;faya;;LB;93;30011;SLB;;FALSCH;01. Jan 20;
366;ZAE;Zentralanatolische Eichen;Quercus;?;;LB;94;30011;EI;;FALSCH;01. Jan 20;
367;BTa;Bulgarische Tanne;Abies;borisii-regis;;NB;101;30012;TA;;FALSCH;01. Jan 20;
368;GTa;Griechische Tanne;Abies;cephalonica;;NB;102;30012;TA;;FALSCH;01. Jan 20;
369;SpT;Spanische Tanne;Abies;pinsapo;;NB;105;30012;TA;;FALSCH;01. Jan 20;
370;AtZ;Atlas-Zeder;Cedrus;atlantica;;NB;107;30012;SNB;;FALSCH;01. Jan 20;
371;HiZ;Himalaya-Zeder;Cedrus;deodara;;NB;108;30012;SNB;;FALSCH;01. Jan 20;
372;WZe;Weiße Zeder;Cupressus;lusitanica;;NB;109;30012;SNB;;FALSCH;01. Jan 20;
373;MZy;Mittelmeerzypresse;Cupressus;sempervirens;;NB;110;30012;SNB;;FALSCH;01. Jan 20;
374;KKi;Kalabrische Kiefer;Pinus;brutia;;NB;121;30012;KI;;FALSCH;01. Jan 20;
375;KaK;Kanarische Kiefer;Pinus;canariensis;;NB;122;30012;KI;;FALSCH;01. Jan 20;
376;AKi;Aleppo-Kiefer;Pinus;halepensis;;NB;125;30012;KI;;FALSCH;01. Jan 20;
377;ScK;Schlangenhaut-Kiefer;Pinus;heldreichii;;NB;126;30012;KI;= 378 ?;FALSCH;01. Jan 20;
378;ShK;Schlangenhaut-Kiefer;Pinus;leucodermis;;NB;127;30012;KI;= 377 ?;FALSCH;01. Jan 20;01. Jan 21
379;SeK;See-Kiefer;Pinus;pinaster;;NB;130;30012;KI;;FALSCH;01. Jan 20;
380;ISK;Italienische Steinkiefer;Pinus;pinea;;NB;131;30012;KI;;FALSCH;01. Jan 20;
381;MoK;Monterey-Kiefer;Pinus;radiata;;NB;132;30012;KI;;FALSCH;01. Jan 20;
382;ZyZ;Zypern-Zeder;Cedrus;brevifolia;;NB;141;30012;SNB;;FALSCH;01. Jan 20;
383;Hei;Hartwiss-Eiche;Quercus;hartwissiana;;LB;201;30011;EI;;FALSCH;01. Jan 20;
384;KEi;Kasnak-Eiche;Quercus;vulcanica;;LB;202;30011;EI;;FALSCH;01. Jan 20;
385;AEi;Aleppo-Eiche;Quercus;infectoria;;LB;203;30011;EI;;FALSCH;01. Jan 20;
386;PEi;Persische Eiche;Quercus;macranthera;;LB;204;30011;EI;;FALSCH;01. Jan 20;
387;LEi;Libanon-Eiche;Quercus;libani;;LB;205;30011;EI;;FALSCH;01. Jan 20;
388;BEi;Brant'sche Eiche;Quercus;brantii;;LB;206;30011;EI;;FALSCH;01. Jan 20;
389;MEi;Mount Tabor-Eiche;Quercus;ithaburensis;;LB;207;30011;EI;;FALSCH;01. Jan 20;
390;AuE;Auchers Eiche;Quercus;aucheri;;LB;208;30011;EI;;FALSCH;01. Jan 20;
391;ArE;Armenische Eiche;Quercus;pontica;;LB;209;30011;EI;;FALSCH;01. Jan 20;
392;EAh;Eschen-Ahorn / Eschenblättriger Ahorn;Acer;negundo;;LB;222;30011;AH;;FALSCH;01. Jan 21;
393;ScA;Schneeball-Ahorn / Schneeballblättriger Ahorn;Acer;obtusatum;;LB;223;30011;AH;;FALSCH;01. Jan 21;
394;SiA;Silber-Ahorn;Acer;saccharinum;;LB;224;30011;AH;;FALSCH;01. Jan 21;
395;TSA;Tatarische Steppen-Ahorn;Acer;tataricum;;LB;225;30011;AH;;FALSCH;01. Jan 21;
396;GöB;Götterbaum;Ailanthus;altissima;;LB;242;30011;SLB;;FALSCH;01. Jan 21;
398;PMB; Papiermaulbeerbaum;Broussonetia;papyrifera;;LB;243;30011;SLB;;FALSCH;01. Jan 21;
399;SHi;Schindelborkige Hickorynuss / Schuppenrinden-Hickorynus;Carya;ovata;;LB;244;30011;SLB;;FALSCH;01. Jan 21;
400;BHa;Baum-Hasel, auch Tärkische Hasel;Corylus;colurna;;LB;245;30011;SLB;;FALSCH;01. Jan 21;
401;ZgW; Zweigriffelige Weißdorn;Crataegus;laevigata;;LB;246;30011;SLB;;FALSCH;01. Jan 21;
403;AGR;Alpen-Goldregen;Laburnum;alpinum;;LB;228;30011;SLB;;FALSCH;01. Jan 21;
404;GGR;Gewöhnlicher Goldregen;Laburnum;anagyroides;;LB;229;30011;SLB;;FALSCH;01. Jan 21;
406;BGB;Blauglockenbaum;Paulownia;tomentosa;;LB;249;30011;SLB;Syn.: Paulownia imperialis;FALSCH;01. Jan 21;
407;PET;Petterie;Petteria;ramentacea;;LB;250;30011;SLB;;FALSCH;01. Jan 21;
408;BSt;Breitblättrige Steinlinde;Phillyrea;media;;LB;251;30011;SLB;;FALSCH;01. Jan 21;
409;RuK;Rumelische Kiefer, Mazedonische Kiefer oder Balkankiefe;Pinus;peuce;;NB;154;30012;KI;;FALSCH;01. Jan 21;
410;TäK;Tränenkiefer;Pinus;wallichiana;;NB;156;30012;KI;;FALSCH;01. Jan 21;
411;APl;Ahornblättrige Platane/Bastard-Platane, Gewöhnliche Pla;Platanus;x acerifolia;;LB;252;30011;SLB;Platanus x hispanica, Syn.: Platanus x acerifolia,;FALSCH;01. Jan 21;
412;KSP;Kanadische Schwarz-Pappel oder Rosenkranz-Pappel;Populus;deltoides;;LB;231;30011;PA;;FALSCH;01. Jan 21;
413;LoK;Lorbeerkirsche/Pontische Lorbeer-Kirsche und Kirschlorb;Prunus;laurocerasus;;LB;234;30011;KIR;;FALSCH;01. Jan 21;
414;StW;Steinweichsel, Felsen-oder Weichselkirsche;Prunus;mahaleb;;LB;235;30011;KIR;;FALSCH;01. Jan 21;
415;ScD;Schlehdorn, Schwarzdorn;Prunus;sppinosa;;LB;236;30011;KIR;;FALSCH;01. Jan 21;
416;GbE;Gestieltblätige Eiche;Quercus;pedunculiflora;;LB;238;30011;EI;Stieleiche Quercus robur (in der Unterart peduncul;FALSCH;01. Jan 21;
417;PuW;Purpurweide / Bachweide;Salix;purpurea;;LB;239;30011;SLB;;FALSCH;01. Jan 21;
418;MaW;Mandelweide;Salix;triandra;;LB;240;30011;SLB;;FALSCH;01. Jan 21;
419;KoW;Korb-Weide / Hanf-Weide;Salix;viminalis;;LB;241;30011;SLB;;FALSCH;01. Jan 21;
420;ÖMb;Ostalpen-Mehlbeere, Alpen-Mehlbeere und Alpen-Oxelbirne;Sorbus;austriaca;;LB;254;30011;VB;;FALSCH;01. Jan 21;
421;SoT;Sommertamariske;Tamarix;ramosissima;;LB;162;30011;SLB;;FALSCH;01. Jan 21;
422;ESZ;Echte Sumpfzypresse;Taxodium;distichum;;LB;163;30011;SLB;;FALSCH;01. Jan 21;
423;SiL;Silber-Linde;Tilia;tomentosa;;LB;255;30011;LI;;FALSCH;01. Jan 21;
424;HLT;Kanadische Hemlocktanne / Kanadische Schierlingstanne;Tsuga;canadensis;;NB;164;30012;SNB;;FALSCH;01. Jan 21;
425;FUE;Flatterulme / Flatterrüster;Ulmus;laevis;;LB;71;30011;UL;;WAHR;01. Jan 21;01. Jan 21
426;FeU;Feldulme / Iper;Ulmus;minor;;LB;72;30011;UL;;FALSCH;01. Jan 21;
