MoMoK_Nr;Name;Bundeland;Datum_Aufnahme;Nr_PK;BNr;ZW;St;Baumart (Code);Baumart;Schi;Kraft;Alt;Alt-Meth;BHD [mm];BHD Hoehe [cm];Permanent-Maßband;BHD Stufen;Hoehe [dm];Kronenansatz [dm];Azimut [Gon];Azimut [°];Distanz [cm];Bemerkung
33300;Buchenhorst;MV;;;1;;0;511;RER;1;3;;1;160;130;;;128;87;2;1,35;49;
33300;Buchenhorst;MV;;;2;;0;511;RER;1;2(1);;1;254;130;;;169;73;60;54;46;
33300;Buchenhorst;MV;;;3;;0;511;RER;1;4;;1;129;130;;;105;92;92;82,8;77;
33300;Buchenhorst;MV;;;4;;0;511;RER;1;4;;1;106;130;;;74;59;97;87,3;124;
33300;Buchenhorst;MV;;;5;;0;511;RER;1;4;;1;102;130;;;89;81;99;89,1;109;
33300;Buchenhorst;MV;;;6;;0;511;RER;1;4;;1;82;130;;;60;44;100;90;117;
33300;Buchenhorst;MV;;;7;;0;511;RER;1;3;;1;173;130;;;142;98;101;90,9;106;
33300;Buchenhorst;MV;;;8;;0;511;RER;1;3;;1;157;130;;;124;100;103;92,7;67;
33300;Buchenhorst;MV;;;9;;0;511;RER;1;3;;1;143;130;;;116;103;116;104,4;96;
33300;Buchenhorst;MV;;;10;;0;511;RER;1;4;;1;86;130;;;85;72;116;104,4;114;
33300;Buchenhorst;MV;;;11;;0;511;RER;1;4;;1;115;130;;;107;96;117;105,3;119;
33300;Buchenhorst;MV;;;12;;0;511;RER;1;4;;1;81;130;;;83;73;124;111,6;126;
33300;Buchenhorst;MV;;;13;;0;511;RER;1;2;;1;201;130;;;155;91;131;117,9;106;
33300;Buchenhorst;MV;;;14;;0;511;RER;1;4;;1;128;130;;;113;103;131;117,9;120;
33300;Buchenhorst;MV;;;15;1;0;511;RER;1;4;;1;146;130;;;133;100;135;121,5;19;
33300;Buchenhorst;MV;;;16;1;0;511;RER;1;2;;1;181;130;;;143;89;135;121,5;21;
33300;Buchenhorst;MV;;;17;;0;511;RER;1;1;;1;257;130;;;177;97;135;121,5;88;
33300;Buchenhorst;MV;;;18;;0;511;RER;1;4;;1;96;130;;;96;77;149;134,1;100;
33300;Buchenhorst;MV;;;19;;0;511;RER;1;4;;1;104;130;;;115;98;151;135,9;93;
33300;Buchenhorst;MV;;;20;;0;511;RER;1;4;;1;101;130;;;102;88;156;140,4;122;
33300;Buchenhorst;MV;;;21;;0;511;RER;1;1;;1;267;130;;;170;95;162;145,8;97;
33300;Buchenhorst;MV;;;22;;0;511;RER;1;2;;1;197;130;;;157;121;166;149,4;63;
