MoMoK_Nr;Name;Bundeland;Datum;Nr_VJ_PK;Lage;Distanz MB [cm];pk_maxdist [cm];LfdNr;Baumart (Code);Baumart ;Hoehe [cm];grklasse
32020;Postluch/Britz;BB;15.02.2022;S;Süd;1000;471;8;;RER;660;2
32020;Postluch/Britz;BB;15.02.2022;S;Süd;1000;471;9;;RER;920;1
32020;Postluch/Britz;BB;15.02.2022;S;Süd;1000;471;10;;RER;69;1
32020;Postluch/Britz;BB;15.02.2022;W;West;1000;224;1;;RER;680;1
32020;Postluch/Britz;BB;15.02.2022;W;West;1000;224;2;;RER;330;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;350;1;451;Ebs;83;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;350;2;451;Ebs;87;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;350;3;451;Ebs;65;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;350;4;451;Ebs;76;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;350;5;451;Ebs;94;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;O;Ost;1000;370;1;511;Fi;300;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;O;Ost;1000;370;2;511;Fi;360;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;S;Süd;1000;380;1;511;Fi;24;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;S;Süd;1000;380;2;412;MBi;23;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;S;Süd;1000;380;3;511;Fi;20;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;W;West;1000;190;1;451;Ebs;23;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;1;451;Ebs;113;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;2;451;Ebs;73;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;3;451;Ebs;69;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;4;451;Ebs;91;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;5;511;Fi;55;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;6;451;Ebs;53;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;7;511;Fi;30;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;8;511;Fi;60;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;9;511;Fi;33;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;N;Nord;1000;280;10;511;Fi;21;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;O;Ost;1000;400;1;511;Fi;29;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;O;Ost;1000;400;2;451;Ebs;58;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;O;Ost;1000;400;3;511;Fi;67;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;O;Ost;1000;400;4;511;Fi;37;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;O;Ost;1000;400;5;511;Fi;315;1
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;O;Ost;1000;400;6;451;Ebs;47;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;S;Süd;1000;290;1;451;Ebs;21;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;S;Süd;1000;290;2;451;Ebs;20;0
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;13.10.2021;W;West;1000;350;1;451;Ebs;37;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;S;Süd;800;445;1;;RER;52;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;S;Süd;800;445;2;;RER;59;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;N;Nord;800;409;1;;RER;47;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;N;Nord;800;409;2;;RER;77;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;N;Nord;800;409;3;;RER;70;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;N;Nord;800;409;4;;RER;160;1
32010;Buxpfuhl/Melchow;BB;20.04.2022;N;Nord;800;409;5;;SHO;126;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;E;Ost;800;489;1;;RER;51;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;E;Ost;800;489;2;;RER;22;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;E;Ost;800;489;3;;RER;95;0
32010;Buxpfuhl/Melchow;BB;20.04.2022;E;Ost;800;489;4;;RER;180;1
32010;Buxpfuhl/Melchow;BB;20.04.2022;E;Ost;800;489;5;;RER;310;1
32010;Buxpfuhl/Melchow;BB;20.04.2022;W;West;800;125;1;;RER;102;1
32050;Stromtrasse/Spechti;BB;05.05.2022;N;Nord;1000;389;1;;MBI;430;2
32050;Stromtrasse/Spechti;BB;05.05.2022;N;Nord;1000;389;2;;MBI;460;3
32050;Stromtrasse/Spechti;BB;05.05.2022;N;Nord;1000;389;3;;MBI;160;1
32050;Stromtrasse/Spechti;BB;05.05.2022;N;Nord;1000;389;4;;MBI;156;1
32050;Stromtrasse/Spechti;BB;05.05.2022;N;Nord;1000;389;5;;MBI;225;1
32050;Stromtrasse/Spechti;BB;05.05.2022;N;Nord;1000;389;6;;MBI;480;2
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;1;;MBI;230;1
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;2;;MBI;430;1
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;3;;MBI;230;1
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;4;;MBI;315;1
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;5;;MBI;188;1
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;6;;MBI;315;1
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;7;;MBI;350;1
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;8;;MBI;185;1
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;9;;MBI;380;1
32050;Stromtrasse/Spechti;BB;05.05.2022;E;Ost;1000;320;10;;MBI;670;3
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;1;;MBI;375;1
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;2;;MBI;330;1
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;3;;MBI;420;1
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;4;;MBI;500;2
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;5;;MBI;250;1
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;6;;MBI;740;3
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;7;;MBI;730;3
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;8;;MBI;138;1
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;9;;MBI;305;1
32050;Stromtrasse/Spechti;BB;05.05.2022;S;Süd;1000;461;10;;MBI;290;1
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;1;;MBI;67;0
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;2;;MBI;185;1
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;3;;MBI;220;1
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;4;;MBI;115;0
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;5;;MBI;110;0
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;6;;MBI;220;1
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;7;;MBI;220;1
