MoMoK_Nr;Name;Bundeland;Datum;Nr_VJ_PK;Lage;Distanz MB [cm];pk_maxdist [cm];LfdNr;Baumart (Code);Baumart ;Hoehe [cm];grklasse
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;3;;GFI;20;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;4;;GFI;30;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;5;;GFI;35;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;6;;GFI;30;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;7;;GFI;20;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;8;;GFI;20;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;9;;GFI;20;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;10;;GFI;30;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;E;Ost;1000;215;1;;EB;30;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;E;Ost;1000;215;2;;EB;30;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;E;Ost;1000;215;3;;EB;20;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;E;Ost;1000;215;4;;EB;45;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;E;Ost;1000;215;5;;EB;30;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;E;Ost;1000;215;6;;EB;30;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;1;;GFI;65;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;2;;GFI;80;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;3;;EB;80;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;4;;EB;55;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;5;;EB;50;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;6;;EB;55;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;7;;WTA;20;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;8;;WTA;20;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;9;;EB;150;1
34040;Milchbach/Erlabrunn;SN;14.09.2022;S;Süd;1000;217;10;;EB;130;1
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;1;;EB;60;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;2;;EB;160;1
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;3;;GFI;40;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;4;;EB;60;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;5;;GFI;40;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;6;;GFI;40;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;7;;GFI;40;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;8;;GFI;60;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;9;;GFI;20;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;W;West;1000;312;10;;EB;115;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;1;;BKI;220;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;2;;BKI;100;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;3;;BKI;400;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;4;;BKI;270;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;5;;BKI;80;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;6;;BKI;300;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;7;;BKI;300;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;8;;BKI;170;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;9;;BKI;260;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;N;Nord;1000;278;10;;BKI;140;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;1;;BKI;105;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;2;;BKI;95;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;3;;BKI;140;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;4;;BKI;45;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;5;;BKI;70;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;6;;BKI;85;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;7;;BKI;105;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;8;;BKI;50;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;9;;BKI;155;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;E;Ost;1000;84;10;;BKI;175;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;1;;BKI;400;3
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;2;;BKI;110;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;3;;BKI;120;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;4;;BKI;230;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;5;;BKI;105;0
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;6;;BKI;140;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;7;;BKI;350;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;8;;BKI;160;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;9;;BKI;200;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;S;Süd;1000;280;10;;BKI;400;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;1;;BKI;250;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;2;;BKI;340;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;3;;BKI;130;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;4;;BKI;150;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;5;;BKI;150;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;6;;BKI;180;1
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;7;;BKI;310;3
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;8;;BKI;310;2
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;9;;BKI;380;2
34020;Friedrichsheider Hochmoor/Erlabrunn;SN;13.09.2022;W;West;1000;263;10;;BKI;270;1
33040;Drewensee/Priepert;MV;07.09.2022;N;Nord;1000;500;1;;RER;145;1
33040;Drewensee/Priepert;MV;07.09.2022;N;Nord;1000;500;2;;RER;70;0
33040;Drewensee/Priepert;MV;07.09.2022;N;Nord;1000;500;3;;RER;110;0
33040;Drewensee/Priepert;MV;07.09.2022;N;Nord;1000;500;4;;RER;175;1
33040;Drewensee/Priepert;MV;07.09.2022;N;Nord;1000;500;5;;RER;205;1
33040;Drewensee/Priepert;MV;07.09.2022;N;Nord;1000;500;6;;RER;145;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;1;;GFI;55;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;2;;GFI;35;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;3;;GFI;30;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;4;;GFI;30;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;5;;GFI;35;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;6;;GFI;75;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;7;;GFI;35;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;8;;GFI;25;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;9;;RER;110;0
33040;Drewensee/Priepert;MV;07.09.2022;E;Ost;1000;411;10;;RER;95;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;1;;GFI;30;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;2;;GFI;105;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;3;;GFI;115;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;4;;GFI;110;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;5;;GFI;75;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;6;;GFI;30;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;7;;RER;60;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;8;;RER;60;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;9;;RER;60;0
33040;Drewensee/Priepert;MV;07.09.2022;S;Süd;1000;493;10;;RBU;65;0
33040;Drewensee/Priepert;MV;07.09.2022;W;West;1000;483;1;;RER;125;0
33040;Drewensee/Priepert;MV;07.09.2022;W;West;1000;483;2;;RER;65;0
33040;Drewensee/Priepert;MV;07.09.2022;W;West;1000;483;3;;RER;170;1
33040;Drewensee/Priepert;MV;07.09.2022;W;West;1000;483;4;;RER;70;0
33040;Drewensee/Priepert;MV;07.09.2022;W;West;1000;483;5;;RER;90;0
33040;Drewensee/Priepert;MV;07.09.2022;W;West;1000;483;6;;RER;80;0
33040;Drewensee/Priepert;MV;07.09.2022;W;West;1000;483;7;;GFI;30;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;N;Nord;1000;498;1;;GFI;60;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;N;Nord;1000;498;2;;GFI;30;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;N;Nord;1000;498;3;;GFI;20;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;N;Nord;1000;498;4;;GFI;25;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;N;Nord;1000;498;5;;GFI;50;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;N;Nord;1000;498;6;;GFI;50;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;1;;GFI;20;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;2;;GFI;25;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;3;;GFI;40;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;4;;GFI;25;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;5;;GFI;35;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;6;;GFI;45;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;7;;GFI;60;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;8;;GFI;55;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;9;;GFI;30;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;E;Ost;1000;244;10;;GFI;65;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;S;Süd;1000;492;1;;GFI;95;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;S;Süd;1000;492;2;;GFI;125;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;S;Süd;1000;492;3;;GFI;300;2
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;S;Süd;1000;492;4;;GFI;75;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;S;Süd;1000;492;5;;GFI;170;1
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;S;Süd;1000;492;6;;GFI;230;1
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;S;Süd;1000;492;7;;GFI;180;1
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;S;Süd;1000;492;8;;GFI;490;3
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;W;West;1000;358;1;;GFI;85;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;W;West;1000;358;2;;GFI;310;1
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;W;West;1000;358;3;;GFI;380;2
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;W;West;1000;358;4;;GFI;20;0
29080;Filzwald/Klingbrunn Bhf;BY;12.10.2022;W;West;1000;358;5;;GFI;80;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;1;;MKI;225;3
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;2;;MKI;180;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;3;;MKI;260;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;4;;MKI;140;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;5;;MKI;420;3
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;6;;MKI;305;2
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;7;;MKI;240;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;8;;MKI;230;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;9;;MKI;340;2
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;N;Nord;1000;352;10;;GFI;95;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;1;;MKI;140;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;2;;MKI;300;3
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;3;;MKI;140;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;4;;MKI;220;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;5;;MKI;100;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;6;;MKI;155;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;7;;MKI;145;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;8;;MKI;105;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;9;;MKI;305;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;E;Ost;1000;295;10;;MKI;135;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;1;;MKI;120;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;2;;MKI;440;3
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;3;;MKI;220;2
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;4;;MKI;95;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;5;;MKI;125;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;6;;MKI;115;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;7;;MKI;330;3
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;8;;MKI;310;2
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;9;;MKI;45;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;S;Süd;1000;275;10;;MKI;90;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;1;;MKI;310;2
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;2;;MKI;135;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;3;;MKI;100;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;4;;MKI;165;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;5;;MKI;250;1
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;6;;MKI;100;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;7;;MKI;280;3
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;8;;MKI;45;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;9;;MKI;85;0
29090;Klosterfilz/Skt. Oswald;BY;11.10.2022;W;West;1000;375;10;;MKI;110;0
35500;Jävenitzer Moor/Gardelegen;ST;19.10.2022;E;Ost;1000;462;1;;MBI;70;0
35500;Jävenitzer Moor/Gardelegen;ST;19.10.2022;E;Ost;1000;462;2;;MBI;65;0
35500;Jävenitzer Moor/Gardelegen;ST;19.10.2022;W;West;1000;100;1;;MBI;115;0
;;;;;;;;;;;;
