bund_nr,othori,uthori,uz,farbe,humus,kalk,hydrooxid,hydrooxidanteil,hydrored,hydroredanteil,geform,aggroesse,pedogen,wurzelintfein,wurzelintgrob,wurzelverteil
140001,0,6,,10YR4/4,h3,c0,-1,-1,-1,-1,kru,gre2,-1,wf5,wg3,g
140001,6,10,,10YR4/6,h2,c0,-1,-1,-1,-1,kru,gre2,-1,wf5,wg2,g
140001,10,65,,10YR6/6,h1,c0,-1,-1,-1,-1,sub,gre2,-1,wf3,wg1,g
140001,65,90,True,10YR5/6,h1,c0,-1,-1,-1,-1,sub,gre2,-1,wf1,wg1,g
140002,0,10,,10YR2/2,h4,c0,-1,-1,-1,-1,kru,gre2,-1,wf5,wg3,g
140002,10,30,,10YR3/3,h2,c0,-1,-1,-1,-1,kru,gre2,-1,wf4,wg2,g
140002,30,55,,10YR3/4,h1,c0,-1,-1,-1,-1,sub,gre2,-1,wf3,wg3,g
140002,55,65,True,10YR4/4,h1,c0,-1,-1,-1,-1,kru,gre2,-1,wf1,wg1,g
140003,0,3,,10YR4/3,h3,c0,-1,-1,-1,-1,sub,gre3,-1,wf3,wg2,g
140003,3,35,,10YR5/6,h1,c0,es,f2,-1,-1,sub,gre3,-1,wf2,wg1,g
140003,35,70,,10YR6/4,h1,c0,ed,f3,rb,f5,sub,gre3,-1,wf1,wg1,g
140003,70,80,True,10YR4/6,h1,c0,ed,f6,rb,f3,-9,-1,-1,wf0,wg0,z
140004,0,5,,10YR3/3,h3,c0,-1,-1,-1,-1,sub,gre2,-1,wf4,wg3,g
140004,5,20,,10YR5/6,h1,c0,-1,-1,-1,-1,sub,gre2,-1,wf2,wg1,g
140004,20,25,,-1,h0,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1
140005,0,2,,10YR3/2,h3,c0,-1,-1,-1,-1,sub,gre2,-1,wf3,wg2,g
140005,2,25,,10YR6/4,h2,c0,ed,f3,rb,f7,sub,gre3,-1,wf2,wg1,g
140005,25,85,True,10YR7/1,h0,c0,eo,f7,rb,f5,pri,gre5,-1,wf1,wg1,k
140006,0,7,,10YR5/2,h3,c0,-1,-1,-1,-1,ein,-1,-1,wf3,wg2,g
140006,7,38,,5YR5/8,h1,c0,-1,-1,-1,-1,ein,-1,-1,wf2,wg2,g
140006,38,60,,7.5YR7/4,h1,c0,es,f1,-1,-1,ein,-1,-1,wf2,wg2,g
140006,60,110,,2.5YR7/2,h1,c0,ed,f5,rb,f5,ein,-1,-1,wf0,wg1,g
140006,110,160,,10YR5/2,h1,c0,-1,-1,rb,f8,ein,-1,-1,wf0,wg0,g
140006,160,180,,10YR5/2,h1,c0,eh,f3,-1,-1,ein,-1,-1,wf0,wg0,g
140006,180,181,True,10YR5/2,h1,c0,-1,-1,rb,f8,ein,-1,-1,-1,-1,-1
140007,0,3,,10YR5/3,h2,c0,-1,-1,-1,-1,ein,-1,-1,wf3,wg1,g
140007,3,18,,10YR5/4,h1,c0,ed,f3,-1,-1,ein,-1,-1,wf3,wg1,g
140007,18,50,,2.5Y6/3,h1,c0,eh,f5,rb,f6,pol,gre4,-1,wf1,wg1,g
140007,50,90,,7.5YR5/6,h1,c0,ed,f6,rb,f5,pol,gre4,-1,wf1,wg1,g
140008,0,16,,10YR4/2,h3,c0,-1,-1,-1,-1,ein,-1,oh,wf4,wg3,g
140008,16,65,,10YR6/6,h1,c0,-1,-1,-1,-1,ein,-1,-1,wf3,wg2,g
140008,65,90,,10YR6/8,h1,c0,-1,-1,-1,-1,ein,-1,-1,wf1,wg1,g
140008,90,190,True,10YR7/3,h1,c0,-1,-1,-1,-1,ein,-1,-1,wf1,wg1,g
140009,0,3,,10YR4/2,h3,c0,-1,-1,-1,-1,ein,-1,-1,wf2,wg1,g
140009,3,20,,10YR4/3,h2,c0,-1,-1,-1,-1,ein,-1,-1,wf2,wg1,g
