bund_nr,labor,labornr,otprobe,utprobe
140001,100,0613182,0,5
140001,100,0613183,5,10
140001,100,1101201,10,65
140001,100,1101202,65,90
140001,160,3848,0,5
140001,160,3849,5,10
140001,160,3850,10,30
140001,160,3851,30,60
140001,220,200600502,0,5
140001,220,200600503,5,10
140001,220,200600504,10,30
140001,220,200600505,30,60
140001,220,200600506,60,90
140001,220,200600507,10,65
140001,220,200600508,65,90
140002,100,0613184,0,5
140002,100,0613185,5,10
140002,100,1101203,10,30
140002,100,1101204,30,55
140002,100,1101205,55,65
140002,160,3853,0,5
140002,160,3854,5,10
140002,220,200600509,0,5
140002,220,200600510,5,10
140002,220,200600511,10,30
140002,220,200600512,30,60
140002,220,200600513,10,30
140002,220,200600514,30,55
140002,220,200600515,55,65
140003,100,0613186,0,5
140003,100,0613187,5,10
140003,100,1101206,10,35
140003,100,1101207,35,70
140003,100,1101208,70,90
140003,160,3858,0,5
140003,160,3859,5,10
140003,160,3860,10,30
140003,160,3861,30,60
140003,160,3862,60,90
140003,160,G00821,10,30
140003,160,G00831,30,60
140003,160,G00841,30,60
140003,220,200600516,0,5
140003,220,200600517,5,10
140003,220,200600518,10,30
140003,220,200600519,30,60
140003,220,200600520,60,90
140003,220,200600521,10,35
140003,220,200600522,35,70
140003,220,200600523,70,90
140004,100,0613188,0,5
140004,100,0613189,5,10
140004,100,1101209,10,20
140004,160,3793,0,5
140004,160,3794,5,10
140004,160,3795,10,30
140004,160,3796,30,60
140004,160,3797,60,90
140004,220,200600524,0,5
140004,220,200600525,5,10
140004,220,200600526,10,30
140004,220,200600527,30,60
140004,220,200600528,60,90
140004,220,200600529,10,20
140005,100,0613190,0,5
140005,100,0613191,5,10
140005,100,1101210,10,25
140005,100,1101211,25,65
140005,160,3734,0,5
140005,160,3735,5,10
140005,160,3736,10,30
140005,160,3737,30,60
140005,160,3738,60,90
140005,220,200600495,0,5
140005,220,200600496,5,10
140005,220,200600497,10,30
140005,220,200600498,30,60
140005,220,200600499,60,90
140005,220,200600500,10,25
140005,220,200600501,25,65
140006,100,0613192,0,5
140006,100,0613193,5,10
140006,100,1101212,10,30
140006,100,1101213,38,60
140006,100,1101214,60,90
140006,100,1101215,90,140
140006,100,1101216,140,200
140006,160,3643,0,5
140006,160,3644,5,10
140006,160,3645,10,30
140006,160,3646,30,60
140006,160,3647,60,90
140006,220,200600672,0,5
140006,220,200600673,5,10
140006,220,200600674,10,30
140006,220,200600675,30,60
140006,220,200600676,60,90
140006,220,200600677,90,140
140006,220,200600678,140,200
140006,220,200600679,10,38
140006,220,200600680,38,60
140006,220,200600681,60,90
140006,220,200600682,90,140
140006,220,200600683,140,200
140006,220,200600684,0,10
140006,220,200600685,10,20
140006,220,200600686,20,40
140006,220,200600687,40,80
140007,100,0613194,0,5
140007,100,0613195,5,10
140007,100,1101217,10,18
140007,100,1101218,18,50
140007,100,1101219,50,90
140007,160,3638,0,5
140007,160,3639,5,10
140007,160,3640,10,30
140007,160,3641,30,60
140007,160,3642,60,90
140007,220,200600711,0,5
140007,220,200600712,5,10
140007,220,200600713,10,30
140007,220,200600714,30,60
140007,220,200600715,60,90
140007,220,200600716,10,18
140007,220,200600717,18,50
140007,220,200600718,50,90
140008,-9,S04411,10,30
140008,-9,S04421,10,30
140008,-9,S04431,30,60
140008,-9,S04441,60,90
140008,-9,S04461,90,140
140008,100,0613196,0,5
140008,100,0613197,5,10
140008,100,1101220,10,16
140008,100,1101221,16,65
140008,100,1101222,65,90
140008,100,1101223,90,140
140008,100,1101224,140,200
140008,160,3651,0,5
140008,160,3652,5,10
140008,160,3653,10,30
140008,160,3654,30,60
140008,160,3655,60,90
140008,220,200600695,0,5
140008,220,200600696,5,10
140008,220,200600697,10,30
140008,220,200600698,30,60
140008,220,200600699,60,90
140008,220,200600700,90,140
140008,220,200600701,140,200
140008,220,200600702,10,16
140008,220,200600703,16,65
140008,220,200600704,65,90
140008,220,200600705,90,140
140008,220,200600706,140,200
140008,220,200600707,0,10
140008,220,200600708,10,20
140008,220,200600709,20,40
140008,220,200600710,40,80
140009,-9,S04721,5,10
140009,-9,S04731,30,60
140009,-9,S04741,60,90
140009,100,0613198,0,5
140009,100,0613199,5,10
140009,100,1101225,10,20
140009,100,1101226,20,55
140009,100,1101227,55,90
140009,100,1101228,90,140
140009,100,1101229,140,200
140009,160,3713,0,5
140009,160,3714,5,10
140009,160,3715,10,30
140009,160,3716,30,60
140009,160,3717,60,90
140009,220,200600590,0,5
