bund_nr,bnr,hori,azi,kraft,alter,bhd,oberhoehe,anmerkung
140021,3,1455,20,,,,,
140022,1,599,315,,,,,
140022,2,866,70,,,,,
140022,3,129,107,,,,,
140022,4,329,14,,,,,
140022,5,2302,63,,,,,
140022,6,2745,76,,,,,
140024,1,1079,30,,,,,
140024,2,1294,72,,,,,
140024,3,538,89,,,,,
140025,1,714,190,,,,,
140025,2,790,349,,,,,
140025,3,580,375,,,,,
140026,1,,,,,,,
140026,2,,,,,,,
140027,1,1143,192,,,,,
140027,2,1037,269,,,,,
140027,3,1078,38,,,,,
140028,1,,,,,,,
140029,1,1528,128,,,,,
140029,2,629,143,,,,,
140029,3,373,23,,,,,
140029,4,3044,63,,,,,
140029,5,2785,75,,,,,
140029,6,826,80,,,,,
140029,7,1128,250,,,,,
140029,8,908,280,,,,,
140029,9,1499,100,,,,,
140030,1,1177,25,,,,,
140030,2,863,47,,,,,
140030,3,464,103,,,,,
140031,1,1292,98,,,,,
140031,2,1055,130,,,,,
140031,3,412,153,,,,,
140032,1,2026,83,,,,,
140032,2,1220,182,,,,,
140032,3,1425,114,,,,,
140032,4,,,,,,,
140032,5,,,,,,,
140033,1,861,47,,,,,
140033,2,1052,68,,,,,
140033,3,412,305,,,,,
140034,1,376,98,,,,,
140034,2,631,115,,,,,
140034,3,272,3,,,,,
140035,1,694,247,,,,,
140035,2,530,361,,,,,
140035,3,229,2,,,,,
140035,4,,,,,,,
140036,1,591,268,,,,,
140036,2,1161,394,,,,,
140036,3,934,14,,,,,
140037,1,550,180,,,,,
140037,2,1026,188,,,,,
140037,3,381,240,,,,,
140038,1,523,256,,,,,
140038,2,624,236,,,,,
140038,3,926,26,,,,,
140039,1,1239,134,,,,,
140039,2,1736,194,,,,,
140039,3,842,292,,,,,
140040,1,548,281,,,,,
140040,2,278,355,,,,,
140040,3,346,97,,,,,
140041,1,1882,340,,,,,
140041,2,1510,348,,,,,
140041,3,573,94,,,,,
140041,4,,,,,,,
140042,1,974,5,,,,,
140042,2,1070,47,,,,,
140042,3,979,66,,,,,
140043,1,1233,73,,,,,
140043,2,1206,308,,,,,
140043,3,982,233,,,,,
140043,4,364,356,,,,,
140043,5,766,65,,,,,
140043,6,294,137,,,,,
140044,1,1166,205,,,,,
140044,2,509,81,,,,,
140044,3,872,108,,,,,
140045,1,916,89,,,,,
140045,2,572,242,,,,,
140045,3,1066,49,,,,,
140046,1,606,350,,,,,
140046,2,386,328,,,,,
140046,3,526,5,,,,,
140047,1,964,399,,,,,
140047,2,1416,5,,,,,
140047,3,614,26,,,,,
140048,1,1136,61,,,,,
140048,2,1400,105,,,,,
140048,3,1537,166,,,,,
140049,1,661,169,,,,,
140049,2,543,360,,,,,
140049,3,808,44,,,,,
140050,1,684,177,,,,,
140050,2,326,389,,,,,
140050,3,893,69,,,,,
140051,1,1109,280,,,,,
140051,2,838,311,,,,,
140051,3,758,380,,,,,
140052,1,984,285,,,,,
140052,2,1172,346,,,,,
140052,3,960,209,,,,,
140053,1,823,317,,,,,
140053,2,600,362,,,,,
140053,3,701,387,,,,,
140053,4,1676,171,,,,,
140053,5,2088,195,,,,,
140053,6,1957,164,,,,,
140054,1,912,344,,,,,
140054,2,904,68,,,,,
140054,3,494,287,,,,,
140055,1,882,310,,,,,
140055,2,546,348,,,,,
140055,3,637,110,,,,,
140056,1,747,88,,,,,
140056,2,1261,107,,,,,
140056,3,760,113,,,,,
140056,4,,,,,,,
140056,5,,,,,,,
140057,1,970,48,,,,,
140057,2,1252,75,,,,,
140057,3,1050,104,,,,,
140058,1,549,149,,,,,
140058,2,568,207,,,,,
140058,3,906,218,,,,,
140059,1,2068,367,,,,,
140059,2,1120,42,,,,,
140059,3,1864,162,,,,,
140059,4,,,,,,,
140060,1,311,149,,,,,
140060,2,481,348,,,,,
140060,3,596,36,,,,,
140060,4,1624,148,,,,,
140060,5,2180,351,,,,,
140060,6,1733,105,,,,,
140061,1,1960,340,,,,,
140061,2,618,20,,,,,
140061,3,1762,170,,,,,
140061,4,1257,294,,,,,
140061,5,937,59,,,,,
140061,6,115,203,,,,,
140062,1,691,74,,,,,
140062,2,994,89,,,,,
140062,3,476,247,,,,,
140063,1,1187,44,,,,,
140063,2,948,79,,,,,
140063,3,1560,310,,,,,
140064,1,441,335,,,,,
140064,2,471,19,,,,,
140064,3,711,182,,,,,
140065,1,458,91,,,,,
140065,2,583,132,,,,,
140065,3,583,132,,,,,
140066,1,340,169,,,,,
140066,2,1362,293,,,,,
140066,3,542,228,,,,,
140067,1,512,289,,,,,
140067,2,812,306,,,,,
140067,3,1061,346,,,,,
140068,1,368,373,,,,,
140068,2,193,134,,,,,
140068,3,403,185,,,,,
140089,1,1356,4,,,,,
140089,2,652,78,,,,,
140089,3,925,205,,,,,
140102,1,20,730,,,,,
140102,2,96,335,,,,,
140102,3,328,830,,,,,
140175,1,885,277,,,,,
140175,2,609,286,,,,,
140175,3,941,102,,,,,
140175,4,,,,,,,
140187,1,666,108,,,,,
140187,2,1119,302,,,,,
140187,3,1003,263,,,,,
140187,4,2251,152,,,,,
140187,5,2263,51,,,,,
140187,6,1161,24,,,,,
140234,1,1285,81,,,,,
140234,2,1229,104,,,,,
140234,3,1146,125,,,,,
140252,1,926,76,,,,,
140252,2,573,303,,,,,
140252,3,988,36,,,,,
140254,1,1500,360,,,,,
140254,2,1500,217,,,,,
140254,3,1500,262,,,,,
140315,1,621,196,,,,,
140315,2,1153,257,,,,,
140315,3,861,282,,,,,
140316,1,682,251,,,,,
140316,2,593,191,,,,,
140316,3,432,117,,,,,
