bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
140029,90,140,pts,200600324,6
140029,140,155,pts,200600325,7
140030,0,5,ftg,200600343,1
140030,5,10,ftg,200600344,2
140030,10,30,ftg,200600345,3
140030,30,60,ftg,200600346,4
140031,0,5,ftg,200600330,1
140031,5,10,ftg,200600331,2
140031,10,30,ftg,200600332,3
140031,30,60,ftg,200600333,4
140031,60,90,ftg,200600334,5
140032,0,5,ftg,200600362,1
140032,5,10,ftg,200600363,2
140032,10,30,ftg,200600364,3
140032,30,60,ftg,200600365,4
140032,60,90,ftg,200600366,5
140033,0,5,ftg,200600247,1
140033,5,10,ftg,200600248,2
140033,10,30,ftg,200600249,3
140033,30,60,ftg,200600250,4
140033,60,90,ftg,200600251,5
140034,0,5,ftg,200600258,1
140034,5,10,ftg,200600259,2
140034,10,30,ftg,200600260,3
140034,30,60,pts,200600261,4
140034,60,90,pts,200600262,5
140035,0,5,ftg,200600272,1
140035,5,10,ftg,200600273,2
140035,10,30,ftg,200600274,3
140035,30,60,ftg,200600275,4
140035,60,90,pts,200600276,5
140036,0,5,ftg,200600279,1
140036,5,10,ftg,200600280,2
140036,10,30,ftg,200600281,3
140036,30,60,ftg,200600282,4
140037,0,5,ftg,200600265,1
140037,5,10,ftg,200600266,2
140037,10,30,ftg,200600267,3
140037,30,60,ftg,200600268,4
140037,60,75,pts,200600269,5
140038,0,5,ftg,200600212,1
140038,5,10,ftg,200600213,2
140038,10,30,ftg,200600214,3
140038,30,60,ftg,200600215,4
140038,60,90,ftg,200600216,5
140039,0,5,ftg,200600183,1
140039,5,10,ftg,200600184,2
140039,10,30,ftg,200600185,3
140039,30,60,pts,200600186,4
140039,60,90,pts,200600187,5
140040,0,5,ftg,200600135,1
140040,5,10,ftg,200600136,2
140040,10,30,ftg,200600137,3
140040,30,60,ftg,200600138,4
140040,60,80,pts,200600139,5
140041,0,5,ftg,200600142,1
140041,5,10,ftg,200600143,2
140041,10,30,ftg,200600144,3
140041,30,60,ftg,200600145,4
140041,60,90,pts,200600146,5
140042,0,5,ftg,200600054,1
140042,5,10,ftg,200600055,2
140042,10,30,ftg,200600056,3
140042,30,60,pts,200600057,4
140043,0,5,ftg,200600156,1
140043,5,10,ftg,200600157,2
140043,10,30,ftg,200600158,3
140043,30,60,pts,200600159,4
140043,60,90,pts,200600160,5
140043,90,140,pts,200600161,6
140043,140,160,pts,200600162,7
140044,0,5,ftg,200600038,1
140044,5,10,ftg,200600039,2
140044,10,30,ftg,200600040,3
140044,30,60,ftg,200600041,4
140044,60,90,ftg,200600042,5
140045,0,5,ftg,200600031,1
140045,5,10,ftg,200600032,2
140045,10,30,ftg,200600033,3
140045,30,60,pts,200600034,4
140046,0,5,ftg,200600149,1
140046,5,10,ftg,200600150,2
140046,10,30,ftg,200600151,3
140046,30,60,pts,200600152,4
140046,60,85,pts,200600153,5
140047,0,5,ftg,200600045,1
140047,5,10,ftg,200600046,2
140047,10,30,ftg,200600047,3
140047,30,60,ftg,200600048,4
140047,60,90,ftg,200600049,5
140048,0,5,ftg,200600126,1
140048,5,10,ftg,200600127,2
140048,10,30,ftg,200600128,3
140048,30,60,ftg,200600129,4
140048,60,90,pts,200600130,5
140049,0,5,ftg,200600069,1
140049,5,10,ftg,200600070,2
140049,10,30,ftg,200600071,3
140049,30,60,ftg,200600072,4
140049,60,90,ftg,200600073,5
140050,0,5,ftg,200600104,1
140050,5,10,ftg,200600105,2
140050,10,30,ftg,200600106,3
140050,30,60,pts,200600107,4
140050,60,80,pts,200600108,5
140051,0,5,ftg,200600076,1
140051,5,10,ftg,200600077,2
140051,10,30,ftg,200600078,3
140051,30,60,pts,200600079,4
140051,60,90,pts,200600080,5
140052,0,5,ftg,200600084,1
140052,5,10,ftg,200600085,2
140052,10,30,ftg,200600086,3
140052,30,60,pts,200600087,4
140052,60,77,pts,200600088,5
140053,0,5,ftg,200600111,1
140053,5,10,ftg,200600112,2
140053,10,30,ftg,200600113,3
140053,30,60,pts,200600114,4
140053,60,80,pts,200600115,5
140054,0,5,ftg,200600488,1
140054,5,10,ftg,200600489,2
140054,10,30,ftg,200600490,3
140054,30,60,ftg,200600491,4
140054,60,90,ftg,200600492,5
140055,0,5,ftg,200600192,1
140055,5,10,ftg,200600193,2
140055,10,30,ftg,200600194,3
140055,30,60,ftg,200600195,4
140055,60,90,ftg,200600196,5
140056,0,5,ftg,200600175,1
140056,5,10,ftg,200600176,2
140056,10,30,ftg,200600177,3
