bund_nr,labor,labornr,methode,parameter,messnr,datum,wert,nwg,laboreinheit,methcode1,methcode2,methcode3,atyp,lab_quelle
140001,220,200600504,11,13,1,2007-01-16,-2.0,0.0134733941149037,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600505,11,13,1,2007-01-16,-2.0,0.0134733941149037,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600506,11,13,1,2007-01-16,-2.0,0.0134733941149037,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600507,11,13,1,2007-01-16,-2.0,0.0134733941149037,mmolc/kg,2200320000,11341099,0400000,30,2
140001,220,200600508,11,13,1,2007-01-16,-2.0,0.0134733941149037,mmolc/kg,2200320000,11341099,0400000,30,2
140001,220,200600502,11,16,1,2007-01-16,2.527,0.0818372461766662,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600503,11,16,1,2007-01-16,1.166,0.0818372461766662,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600504,11,16,1,2007-01-16,1.381,0.0818372461766662,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600505,11,16,1,2007-01-16,1.003,0.0818372461766662,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600506,11,16,1,2007-01-16,0.931,0.0818372461766662,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600507,11,16,1,2007-01-16,0.675,0.0818372461766662,mmolc/kg,2200320000,11341099,0100000,30,2
140001,220,200600508,11,16,1,2007-01-16,0.951,0.0818372461766662,mmolc/kg,2200320000,11341099,0100000,30,2
140001,220,200600502,11,17,1,2007-01-16,5.349,0.00877734348213673,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600503,11,17,1,2007-01-16,1.231,0.00877734348213673,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600504,11,17,1,2007-01-16,0.872,0.00877734348213673,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600505,11,17,1,2007-01-16,0.234,0.00877734348213673,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600506,11,17,1,2007-01-16,0.138,0.00877734348213673,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600507,11,17,1,2007-01-16,0.109,0.00877734348213673,mmolc/kg,2200320000,11341099,0400000,30,2
140001,220,200600508,11,17,1,2007-01-16,0.142,0.00877734348213673,mmolc/kg,2200320000,11341099,0400000,30,2
140001,220,200600502,11,18,1,2007-05-25,0.719,0.000970791316271676,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600503,11,18,1,2007-05-25,1.679,0.000970791316271676,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600504,11,18,1,2007-05-25,1.969,0.000970791316271676,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600505,11,18,1,2007-05-25,0.69,0.000970791316271676,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600506,11,18,1,2007-05-25,0.574,0.000970791316271676,mmolc/kg,2200320000,11341099,0400000,10,2
140001,220,200600507,11,18,1,2008-04-03,0.588,0.000970791316271676,mmolc/kg,2200320000,11341099,0400000,30,2
140001,220,200600508,11,18,1,2008-04-03,0.699,0.000970791316271676,mmolc/kg,2200320000,11341099,0400000,30,2
140001,220,200600502,11,20,1,2007-01-16,0.505,0.0579967347838317,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600503,11,20,1,2007-01-16,0.418,0.0579967347838317,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600504,11,20,1,2007-01-16,0.383,0.0579967347838317,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600505,11,20,1,2007-01-16,0.313,0.0579967347838317,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600506,11,20,1,2007-01-16,0.348,0.0579967347838317,mmolc/kg,2200320000,11341099,0100000,10,2
140001,220,200600507,11,20,1,2007-01-16,0.383,0.0579967347838317,mmolc/kg,2200320000,11341099,0100000,30,2
140001,220,200600508,11,20,1,2007-01-16,0.365,0.0579967347838317,mmolc/kg,2200320000,11341099,0100000,30,2
140001,220,200630187,19,1,1,2006-10-03,11.363341548839,0.05929989,mmolc/kg,1200220000,19000000,0421902,31,2
140001,220,200630188,19,1,1,2006-10-03,125.419268758223,0.05929989,mmolc/kg,1200220000,19000000,0421902,31,2
