bund_nr,horikombi,flaeche,anzahl,probennr
130010,l+of+oh,225,16,130010 FHS L  Of + Oh
130013,l,50,32,13013/FHS/L
130013,of+oh,50,32,13013/FHS/Of
130014,l,50,32,130014 L
130014,of+oh,50,32,130014 Of
130017,l+of,225,8,51
130022,l+of+oh,225,8,28
130023,l+of,225,8,130023 FHS L +Of
130023,oh,225,8,130023 FHS Oh
130026,l+of,625,8,130026 FHS L + Of
130027,l+of+oh,225,8,130027 FHS L + Of + Oh
130028,l,50,32,13028 FHS L
130028,of,50,32,13028 FHS Of
130028,oh,50,32,13028 FHS Oh
130029,l+of,150,8,39
130029,oh,150,8,40
130032,l+of+oh,225,8,17
130033,l+of+oh,225,8,6
130036,l,225,16,130036 FHS L
130036,of+oh,225,8,130036 FHS Of + Oh
130037,l+of,150,8,62
130037,oh,150,8,63
130039,l,350,8,13039 FHS L
130039,of,350,8,13039 FHS Of
130039,oh,350,8,13039 FHS Oh
130042,l+of+oh,225,8,130042 FHS L+Of+Oh
130044,l+of+oh,225,8,130044 FHS L+ Of+ Oh
130046,l+of+oh,225,8,130046 FHS l+ Of + Oh
130047,l+of,225,8,130047 FHS L + Of
130047,oh,225,8,130047 FHS Oh
130048,l,200,8,13048 FHS L
130048,of,200,8,13048 FHS Of
130050,l,225,24,130050 FHS L
130050,of+oh,225,16,130050 FHS Of + Oh
130051,l+of+oh,225,8,130051 FHS L+Of+Oh
130052,l+of+oh,225,8,130052 FHS L + Of + Oh
130056,l,225,16,130056 FHS L
130056,of+oh,225,8,130056 FHS Of+Oh
130057,l,225,8,130057 FHS L
130057,of+oh,225,8,130057 FHS Of + Oh
130059,l+of+oh,225,8,13059  FHS L+ Of + Oh
130060,l,225,8,13060/FHS/L
130060,of,225,8,13060/FHS/Of
130060,oh,225,8,13060/FHS/Oh
130061,l,200,8,13064 FHS L
130061,of,200,8,13064 FHS Of
130061,oh,200,8,13064 FHS Oh
130064,l+of+oh,225,8,13064 FHS L + Of + Oh
130068,l,225,8,13068/FHS/L
130068,of,225,8,13068/FHS/Of
130068,oh,225,8,130068/FHS/Oh
130069,l+of,100,8,130069; FHA; L+Of
130070,l,1600,8,130070; FHA; L
130071,l+of,100,8,130071; FHA; L+Of
130072,l,100,8,130072; FHA; L
130073,l,100,8,130073; FHA; L
130073,of+oh,100,8,130073; FHA; Of+Oh
130074,l+of,100,8,130074; FHA; L+Of
130076,l,100,8,130076; FHA; L
130076,of,100,8,130076; FHA; Of
130076,oh,100,8,130076; FHA; Oh
130077,l+of,200,8,130077; FHA; L+Of
130078,l+of,400,8,130078; FHA; L+Of
130079,l,200,8,130079; FHA; L
130079,of+oh,100,8,130079; FHA; Of+Oh
130080,l,100,8,130080; FHA; L
130080,of,100,8,130080; FHA; Of
130080,oh,100,8,130080; FHA; Oh
130081,l,100,8,130081; FHA; L
130081,of,100,8,130081; FHA; Of
130081,oh,100,8,130081; FHA; Oh
130082,l,400,8,130082; FHA; L
130082,of,200,8,130082; FHA; Of
130082,oh,200,8,130082; FHA; Oh
130083,l+of,200,8,130083; FHA; L+Of
130084,l+of,100,8,130084; FHA; L+Of
130088,l+of,100,8,130088; FHA; L+Of
