bund_nr,lfd_nr,otprobe,utprobe,grobb_anteil,grobb_fraktion,grobb_methode,grobb_anz,grobb_vol,probennr_grobb,trd_methode,trd_geschaetzt,trd_anz,trd_vol,probennr_trd,grobb_pr_art,trd_pr_art
130010,1,0,5,0,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130010 TRD 0 - 5,-9,-9
130010,2,5,10,0,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130010 TRD5 - 10,-9,-9
130010,3,10,30,0,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130010 TRD 10 - 30,-9,-9
130010,4,30,60,0,63,2,-9,-9.0,-9,4,-1.0,5,100.0,130010 TRD 30 - 60,-9,-9
130010,5,60,90,0,63,2,-9,-9.0,-9,4,-1.0,5,100.0,130010 TRD 60 - 90,-9,-9
130013,1,0,5,0,63,2,-9,-9.0,-9,4,-1.0,8,100.0,13013 TRD 0- 5,-9,-9
130013,2,5,10,0,63,2,-9,-9.0,-9,4,-1.0,8,100.0,13013 TRD5 - 10,-9,-9
130013,3,10,30,0,63,2,-9,-9.0,-9,4,-1.0,8,100.0,13013 TRD 10 - 30,-9,-9
130013,4,30,60,0,63,2,-9,-9.0,-9,4,-1.0,5,100.0,13013 TRD 30 - 60,-9,-9
130013,5,60,90,2,63,2,-9,-9.0,-9,4,-1.0,5,100.0,13013 TRD 60 - 90,-9,-9
130014,1,0,5,0,20,2,-9,-9.0,-9,4,-1.0,8,100.0,13014 TRD 0 - 5,-9,-9
130014,2,5,10,0,20,2,-9,-9.0,-9,4,-1.0,8,100.0,13014 TRD 5 - 10,-9,-9
130014,3,10,30,0,20,2,-9,-9.0,-9,4,-1.0,8,100.0,13014 TRD 10 - 30,-9,-9
130014,4,30,60,0,20,2,-9,-9.0,-9,4,-1.0,5,100.0,13014 TRD 30 - 60,-9,-9
130014,5,60,90,0,20,2,-9,-9.0,-9,4,-1.0,5,100.0,13014 TRD 60 - 90,-9,-9
130017,1,0,5,5,20,7,-9,-9.0,-9,4,-1.0,8,100.0,46,-9,-9
130017,2,5,10,5,20,7,-9,-9.0,-9,4,-1.0,8,100.0,47,-9,-9
130017,3,10,30,10,20,7,-9,-9.0,-9,4,-1.0,8,100.0,48,-9,-9
130017,4,30,60,5,20,7,-9,-9.0,-9,4,-1.0,5,100.0,49,-9,-9
130017,5,60,90,5,20,7,-9,-9.0,-9,4,-1.0,5,100.0,50,-9,-9
130022,1,0,5,0,20,7,-9,-9.0,-9,4,-1.0,8,100.0,23,-9,-9
130022,2,5,10,0,20,7,-9,-9.0,-9,4,-1.0,8,100.0,24,-9,-9
130022,3,10,30,0,20,7,-9,-9.0,-9,4,-1.0,8,100.0,25,-9,-9
130022,4,30,60,0,20,7,-9,-9.0,-9,4,-1.0,5,100.0,26,-9,-9
130022,5,60,90,0,20,7,-9,-9.0,-9,4,-1.0,5,100.0,27,-9,-9
130023,1,0,5,0,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130023 TRD 0 - 5,-9,-9
130023,2,5,10,0,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130023 TRD 5 - 10,-9,-9
130023,3,10,30,0,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130023 TRD 10 - 30,-9,-9
130023,4,30,60,0,63,2,-9,-9.0,-9,4,-1.0,5,100.0,130023 TRD 30 - 60,-9,-9
130023,5,60,90,0,63,2,-9,-9.0,-9,4,-1.0,5,100.0,130023 TRD 60 - 90,-9,-9
130026,1,0,5,2,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130026 TRD 0 - 5,-9,-9
130026,2,5,10,2,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130026 TRD 5 - 10,-9,-9
130026,3,10,30,2,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130026 TRD 10 - 30,-9,-9
130026,4,30,60,2,63,2,-9,-9.0,-9,4,-1.0,5,100.0,130026 TRD 30 - 60,-9,-9
130026,5,60,90,5,63,2,-9,-9.0,-9,4,-1.0,5,100.0,130026 TRD 60 - 90,-9,-9
130027,1,0,5,2,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130027 TRD 0 - 5,-9,-9
130027,2,5,10,2,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130027 TRD 5 - 10,-9,-9
130027,3,10,30,5,63,2,-9,-9.0,-9,4,-1.0,8,100.0,130027 TRD 10 - 30,-9,-9
130027,4,30,60,10,63,2,-9,-9.0,-9,4,-1.0,5,100.0,130027 TRD 30 - 60,-9,-9
130027,5,60,90,0,63,2,-9,-9.0,-9,4,-1.0,5,100.0,130027 TRD 60 - 90,-9,-9
130028,1,0,5,1,63,2,-9,-9.0,-9,4,-1.0,8,100.0,13028 TRD 0 - 5,-9,-9
130028,2,5,10,1,63,2,-9,-9.0,-9,4,-1.0,8,100.0,13028 TRD 5 - 10,-9,-9
130028,3,10,30,1,63,2,-9,-9.0,-9,4,-1.0,8,100.0,13028 TRD 10 - 30,-9,-9
130028,4,30,60,1,63,2,-9,-9.0,-9,4,-1.0,5,100.0,13028 TRD 30 - 60,-9,-9
130028,5,60,90,0,63,2,-9,-9.0,-9,4,-1.0,5,100.0,13028 TRD 60 - 90,-9,-9
130029,1,0,5,0,20,2,-9,-9.0,-9,4,-1.0,8,100.0,34,-9,-9
130029,2,5,10,0,20,2,-9,-9.0,-9,4,-1.0,8,100.0,35,-9,-9
130029,3,10,30,0,20,2,-9,-9.0,-9,4,-1.0,8,100.0,36,-9,-9
130029,4,30,60,0,20,2,-9,-9.0,-9,4,-1.0,5,100.0,37,-9,-9
130029,5,60,90,0,20,2,-9,-9.0,-9,4,-1.0,5,100.0,38,-9,-9
