bund_nr,horizont,lfd_nr,param,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8
130001,s,,streuart,-9,-9,-9,-9,-9,-9,-9,-9
130001,s,,hackschn_maechtigkeit,,,,,,,,
130001,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130001,ol,,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130001,ol,,lagerung,-9,-9,-9,-9,-9,-9,-9,-9
130001,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130001,of,1,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130001,of,1,durchwurz,-9,-9,-9,-9,-9,-9,-9,-9
130001,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130001,oh,1,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130001,oh,1,durchwurz,-9,-9,-9,-9,-9,-9,-9,-9
130001,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130001,a,,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130001,a,,gefuege,-9,-9,-9,-9,-9,-9,-9,-9
130001,h,,humusform_ka5,-9,-9,-9,-9,-9,-9,-9,-9
130001,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
130002,s,,streuart,-9,-9,-9,-9,-9,-9,-9,-9
130002,s,,hackschn_maechtigkeit,,,,,,,,
130002,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130002,ol,,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130002,ol,,lagerung,-9,-9,-9,-9,-9,-9,-9,-9
130002,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130002,of,1,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130002,of,1,durchwurz,-9,-9,-9,-9,-9,-9,-9,-9
130002,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130002,oh,1,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130002,oh,1,durchwurz,-9,-9,-9,-9,-9,-9,-9,-9
130002,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130002,a,,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130002,a,,gefuege,-9,-9,-9,-9,-9,-9,-9,-9
130002,h,,humusform_ka5,-9,-9,-9,-9,-9,-9,-9,-9
130002,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
130004,s,,streuart,-9,-9,-9,-9,-9,-9,-9,-9
130004,s,,hackschn_maechtigkeit,,,,,,,,
130004,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130004,ol,,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130004,ol,,lagerung,-9,-9,-9,-9,-9,-9,-9,-9
130004,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130004,of,1,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130004,of,1,durchwurz,-9,-9,-9,-9,-9,-9,-9,-9
130004,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130004,oh,1,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130004,oh,1,durchwurz,-9,-9,-9,-9,-9,-9,-9,-9
130004,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130004,a,,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130004,a,,gefuege,-9,-9,-9,-9,-9,-9,-9,-9
130004,h,,humusform_ka5,-9,-9,-9,-9,-9,-9,-9,-9
130004,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
130009,s,,streuart,-9,-9,-9,-9,-9,-9,-9,-9
130009,s,,hackschn_maechtigkeit,,,,,,,,
130009,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130009,ol,,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130009,ol,,lagerung,-9,-9,-9,-9,-9,-9,-9,-9
130009,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130009,of,1,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130009,of,1,durchwurz,-9,-9,-9,-9,-9,-9,-9,-9
130009,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130009,oh,1,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130009,oh,1,durchwurz,-9,-9,-9,-9,-9,-9,-9,-9
130009,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130009,a,,maechtigkeit,-9,-9,-9,-9,-9,-9,-9,-9
130009,a,,gefuege,-9,-9,-9,-9,-9,-9,-9,-9
130009,h,,humusform_ka5,-9,-9,-9,-9,-9,-9,-9,-9
130009,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
130010,s,,streuart,vb,vb,vb,vb,vb,vb,vb,vb
130010,s,,hackschn_maechtigkeit,,,,,,,,
130010,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130010,ol,,maechtigkeit,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
130010,ol,,lagerung,lo,lo,lo,lo,lo,lo,lo,lo
130010,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130010,of,1,maechtigkeit,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5
130010,of,1,durchwurz,3,4,4,4,4,4,4,2
130010,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130010,oh,1,maechtigkeit,0.5,0.5,0,0,0,0,0,0
130010,oh,1,durchwurz,3,3,-2,-2,-2,-2,-2,-2
130010,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130010,a,,maechtigkeit,8,6,6,7,6,4,3,5
130010,a,,gefuege,ein,ein,ein,ein,ein,ein,ein,ein
130010,h,,humusform_ka5,mom,mom,muo,muo,muo,muo,muo,muo
130010,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
130013,s,,streuart,vb,vb,vb,vb,vb,vb,vb,vb
130013,s,,hackschn_maechtigkeit,,,,,,,,
130013,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130013,ol,,maechtigkeit,2,2,2,2,2,2,2,2
130013,ol,,lagerung,lo,lo,lo,lo,lo,lo,lo,lo
130013,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130013,of,1,maechtigkeit,1,2,2,3,3,0.5,1,1
130013,of,1,durchwurz,4,4,4,4,4,4,4,4
130013,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130013,oh,1,maechtigkeit,0.2,0.2,0.2,0.2,0.2,0,0,0
130013,oh,1,durchwurz,4,4,4,4,4,-2,-2,-2
130013,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130013,a,,maechtigkeit,5,6,5,5,6,6,6,6
130013,a,,gefuege,kru,kru,kru,kru,kru,kru,kru,kru
130013,h,,humusform_ka5,mom,mom,mom,mom,mom,muo,muo,muo
130013,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
130014,s,,streuart,vbn,vbn,vbn,vbn,vbn,vbn,vbn,vbn
130014,s,,hackschn_maechtigkeit,,,,,,,,
130014,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130014,ol,,maechtigkeit,1.5,1,1,2,1,2,0.5,0.5
130014,ol,,lagerung,lo,lo,lo,lo,lo,lo,lo,lo
130014,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130014,of,1,maechtigkeit,2,2,1,3,1,2,1,1
130014,of,1,durchwurz,4,4,4,4,4,4,4,4
130014,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
130014,oh,1,maechtigkeit,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
130014,oh,1,durchwurz,4,4,4,4,4,4,4,4
130014,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
