bund_nr,uthori,grus,kies,stein,bodenart,humifizierung,grobanteil,genese,gestein_1,gestein_2,gestein_3
130010,10,-2,6,0,su2,-2,-9,931,-2,-2,-2
130010,60,-2,6,0,su2,-2,-9,931,-2,-2,-2
130010,90,-2,6,0,su2,-2,-9,931,-2,-2,-2
130013,7,-2,1,0,su2,-2,-1,969,-2,-2,-2
130013,50,-2,1,0,su2,-2,-1,969,-2,-2,-2
130013,60,-2,1,0,sl3,-2,-1,969,-2,-2,-2
130013,90,-2,1,0,sl3,-2,-1,969,-2,-2,-2
130014,7,-2,0,0,fsms,-2,0,941,-2,-2,-2
130014,12,-2,0,0,fsms,-2,0,941,-2,-2,-2
130014,38,-2,0,0,fsms,-2,0,941,-2,-2,-2
130014,45,-2,0,0,fsms,-2,0,928,-2,-2,-2
130014,60,-2,0,0,fsms,-2,0,928,-2,-2,-2
130014,90,-2,0,0,fsms,-2,0,928,-2,-2,-2
130017,25,-2,6,6,sl2,-2,-9,931,-2,-2,-2
130017,50,-2,6,17,sl2,-2,-9,931,-2,-2,-2
130017,85,-2,6,6,sl2,-2,-9,931,-2,-2,-2
130017,90,-2,37,6,sl3,-2,-9,931,-2,-2,-2
130022,10,-2,0,0,fs,-2,0,941,-2,-2,-2
130022,20,-2,0,0,fs,-2,0,941,-2,-2,-2
130022,25,-2,0,0,fs,-2,0,941,-2,-2,-2
130022,60,-2,0,0,fs,-2,0,928,-2,-2,-2
130022,90,-2,1,0,fs,-2,-1,928,-2,-2,-2
130023,8,-2,0,0,fs,-2,0,923,-2,-2,-2
130023,12,-2,0,0,fs,-2,0,923,-2,-2,-2
130023,20,-2,0,0,fs,-2,0,923,-2,-2,-2
130023,60,-2,0,0,fs,-2,0,923,-2,-2,-2
130023,90,-2,0,0,fs,-2,0,923,-2,-2,-2
130026,7,-2,6,1,msgs,-2,-9,830,-2,-2,-2
130026,40,-2,6,1,msgs,-2,-9,830,-2,-2,-2
130026,60,-2,17,1,sl2,-2,-9,830,-2,-2,-2
130026,90,-2,17,1,gs,-2,-9,830,-2,-2,-2
130027,12,-2,0,0,su2,-2,0,928,-2,-2,-2
130027,70,-2,0,0,su2,-2,0,928,-2,-2,-2
130027,90,-2,0,0,su2,-2,0,928,-2,-2,-2
130028,7,-2,6,1,msgs,-2,-9,830,-2,-2,-2
130028,60,-2,6,1,msgs,-2,-9,830,-2,-2,-2
130028,90,-2,1,0,msfs,-2,-1,830,-2,-2,-2
130029,6,-2,0,0,fsms,-2,0,941,-2,-2,-2
130029,20,-2,0,0,fsms,-2,0,941,-2,-2,-2
130029,24,-2,0,0,fsms,-2,0,941,-2,-2,-2
130029,50,-2,0,0,fsms,-2,0,941,-2,-2,-2
130029,90,-2,0,0,fsms,-2,0,941,-2,-2,-2
130032,7,-2,1,1,sl2,-2,-9,969,-2,-2,-2
130032,20,-2,1,1,sl2,-2,-9,969,-2,-2,-2
130032,70,-2,1,1,sl2,-2,-9,969,-2,-2,-2
130032,90,-2,1,1,sl2,-2,-9,969,-2,-2,-2
130033,15,-2,0,0,fs,-2,0,923,-2,-2,-2
130033,17,-2,0,0,fs,-2,0,923,-2,-2,-2
130033,22,-2,0,0,fs,-2,0,923,-2,-2,-2
130033,90,-2,0,0,fs,-2,0,923,-2,-2,-2
130033,110,-2,0,0,fs,-2,0,923,-2,-2,-2
130036,2,-2,6,1,msfs,-2,-9,928,-2,-2,-2
130036,20,-2,6,1,msfs,-2,-9,928,-2,-2,-2
130036,30,-2,6,6,msfs,-2,-9,928,-2,-2,-2
130036,60,-2,6,6,msfs,-2,-9,928,-2,-2,-2
130036,80,-2,17,6,gs,-2,-9,829,-2,-2,-2
130036,100,-2,0,0,fs,-2,0,829,-2,-2,-2
130036,101,-2,17,6,gs,-2,-9,829,-2,-2,-2
130037,5,-2,1,0,fsms,-2,-1,941,-2,-2,-2
130037,25,-2,1,0,fsms,-2,-1,941,-2,-2,-2
130037,50,-2,1,6,fsms,-2,-9,928,-2,-2,-2
130037,90,-2,1,0,fsms,-2,-1,928,-2,-2,-2
130039,3,-2,1,1,fsms,-2,-9,928,-2,-2,-2
130039,11,-2,1,1,fsms,-2,-9,928,-2,-2,-2
130039,90,-2,1,1,fsms,-2,-9,928,-2,-2,-2
130042,2,-2,0,0,fsms,-2,0,928,-2,-2,-2
130042,20,-2,0,0,fsms,-2,0,928,-2,-2,-2
130042,60,-2,6,0,fsms,-2,-9,928,-2,-2,-2
130042,90,-2,6,0,fsms,-2,-9,928,-2,-2,-2
130044,2,-2,6,0,msfs,-2,-9,928,-2,-2,-2
130044,25,-2,6,0,msgs,-2,-9,928,-2,-2,-2
130044,50,-2,17,0,gs,-2,-9,830,-2,-2,-2
130044,90,-2,1,0,gs,-2,-1,830,-2,-2,-2
130046,2,-2,1,0,msfs,-2,-1,969,-2,-2,-2
130046,20,-2,1,0,msfs,-2,-1,969,-2,-2,-2
130046,30,-2,6,1,msfs,-2,-9,969,-2,-2,-2
130046,75,-2,6,1,msfs,-2,-9,969,-2,-2,-2
130046,90,-2,37,6,msgs,-2,-9,830,-2,-2,-2
130047,4,-2,17,6,msfs,-2,-9,928,-2,-2,-2
130047,15,-2,17,6,msfs,-2,-9,928,-2,-2,-2
130047,75,-2,17,6,msfs,-2,-9,928,-2,-2,-2
130047,85,-2,17,6,sl2,-2,-9,928,-2,-2,-2
130047,90,-2,17,6,ms,-2,-9,928,-2,-2,-2
130048,10,-2,6,0,su2,-2,-9,928,-2,-2,-2
130048,35,-2,6,1,su2,-2,-9,928,-2,-2,-2
130048,60,-2,6,0,msfs,-2,-9,928,-2,-2,-2
130048,90,-2,6,0,msfs,-2,-9,928,-2,-2,-2
130050,3,-2,0,0,fsms,-2,0,931,-2,-2,-2
130050,60,-2,0,0,fsms,-2,0,931,-2,-2,-2
130050,80,-2,0,0,fsms,-2,0,931,-2,-2,-2
130050,90,-2,0,0,fs,-2,0,931,-2,-2,-2
130051,5,-2,1,0,fs,-2,-1,941,-2,-2,-2
130051,15,-2,1,0,fs,-2,-1,941,-2,-2,-2
130051,30,-2,1,0,fs,-2,-1,941,-2,-2,-2
130051,50,-2,1,0,fs,-2,-1,941,-2,-2,-2
130051,60,-2,1,0,fs,-2,-1,928,-2,-2,-2
130051,90,-2,1,0,fs,-2,-1,928,-2,-2,-2
130052,12,-2,0,0,su2,-2,0,931,-2,-2,-2
130052,30,-2,0,0,su2,-2,0,931,-2,-2,-2
130052,90,-2,0,0,su2,-2,0,931,-2,-2,-2
130056,10,-2,6,0,su2,-2,-9,969,-2,-2,-2
130056,60,-2,6,6,su2,-2,-9,969,-2,-2,-2
130056,90,-2,17,6,msfs,-2,-9,969,-2,-2,-2
130057,5,-2,6,0,msfs,-2,-9,928,-2,-2,-2
130057,45,-2,6,0,msfs,-2,-9,928,-2,-2,-2
130057,90,-2,6,1,ms,-2,-9,928,-2,-2,-2
130059,3,-2,0,1,fsms,-2,-9,931,-2,-2,-2
