bund_nr,nachbar,distanz,exposition
130014,12,4000,n
130023,15,150,o
130033,13,30,o
130048,13,500,s
130059,13,400,s
130060,12,3000,o
130072,1,600,so
130077,15,30,no
130078,15,25,no
130082,13,1000,w
130083,1,500,n
