bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung
130001,1,1,2,-9,14,56,4
130001,2,4,2,-9,40,2,4
130001,3,1,2,-9,17,89,4
130001,4,1,2,-9,16,18,4
130001,5,1,2,-9,10,9,3
130001,6,4,2,-9,19,2,4
130001,7,1,2,-9,8,18,5
130001,8,4,2,-9,57,2,4
130001,9,4,1,-9,43,2,2
130001,10,1,2,-9,10,33,2
130001,11,1,2,-9,7,28,2
130001,12,4,2,-9,22,2,4
130001,13,4,2,-9,18,1,4
130001,14,4,2,-9,18,3,4
130001,15,4,1,-9,42,2,2
130001,16,4,2,-9,16,1,2
130001,17,1,2,-9,10,34,2
130001,18,4,2,-9,18,2,4
130001,19,1,1,-9,11,13,4
130001,20,2,2,-9,13,189,2
130001,21,2,2,-9,12,150,2
130002,1,1,3,-9,8,13,4
130002,2,4,1,-9,11,3,3
130002,3,4,1,-9,11,1,4
130002,4,4,1,-9,11,1,3
130002,5,4,1,-9,16,1,3
130002,6,4,1,-9,42,2,4
130002,7,4,1,-9,11,2,3
130002,8,4,1,-9,19,1,4
130002,9,4,1,-9,11,1,4
130002,10,4,1,-9,14,1,4
130002,11,4,1,-9,29,1,4
130002,12,4,1,-9,26,1,4
130002,13,4,1,-9,23,3,2
130003,1,5,1,-9,7,91,2
130003,2,1,2,-9,20,3,4
130003,3,4,2,-9,28,3,4
130003,4,1,2,-9,25,7,4
130003,5,1,2,-9,20,14,4
130003,6,1,2,-9,22,6,4
130003,7,1,2,-9,18,7,4
130003,8,1,2,-9,16,31,4
130003,9,4,2,-9,33,1,4
130003,10,4,2,-9,22,1,4
130003,11,4,2,-9,26,2,4
130003,12,4,2,-9,36,2,4
130003,13,4,2,-9,27,2,4
130003,14,4,2,-9,12,4,4
130003,15,1,2,-9,11,6,4
130003,16,4,2,-9,33,1,4
130003,17,4,2,-9,22,2,4
130003,18,1,2,-9,13,30,4
130003,19,4,2,-9,45,2,4
130003,20,4,2,-9,24,3,4
130003,21,4,2,-9,11,1,5
130003,22,4,1,-9,29,2,4
130003,23,4,1,-9,38,3,4
130003,24,1,1,-9,11,25,5
130003,25,1,1,-9,8,15,2
130003,26,1,1,-9,9,5,5
130003,27,2,2,-9,12,69,2
130003,28,4,2,-9,17,3,4
130003,29,4,2,-9,11,1,4
130006,1,1,2,-9,11,54,4
130006,2,4,1,-9,63,3,2
130006,3,4,1,-9,36,1,3
130006,4,4,1,-9,47,4,2
130006,5,4,2,-9,18,2,2
130006,6,4,1,-9,69,3,2
130006,7,1,2,-9,15,17,4
130006,8,4,2,-9,16,1,4
130006,9,1,2,-9,10,65,4
130006,10,1,2,-9,12,22,4
130006,11,1,2,-9,10,8,4
130006,12,1,2,-9,9,3,4
