bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
130010,0,5,ftg,130010 FTS 0 -5,1
130010,5,10,ftg,130010 FTS 5 - 10,2
130010,10,30,ftg,130010 FTS 10 - 30,3
130010,30,60,ftg,130010 FTS 30 - 60,4
130010,60,90,ftg,130010 FTS 60 - 90,5
130013,0,5,ftg,13013 FTS 0 - 5,1
130013,5,10,ftg,13013 FTS 5 -10,2
130013,10,30,ftg,13013 FTS 10 - 30,3
130013,30,60,ftg,13013 FTS 30 - 60,4
130013,60,90,ftg,13013 FTS 60 - 90,5
130014,0,5,ftg,13014 FTS 0 - 5,1
130014,5,10,ftg,13014 FTS 5 - 10,2
130014,10,30,ftg,13014 FTS 10 - 30,3
130014,30,60,ftg,13014 FTS 30 - 60,4
130014,60,90,ftg,13014 FTS 60 - 90,5
130017,0,5,ftg,52,1
130017,5,10,ftg,53,2
130017,10,30,ftg,54,3
130017,30,60,ftg,55,4
130017,60,90,ftg,56,5
130022,0,5,ftg,29,1
130022,5,10,ftg,30,2
130022,10,30,ftg,31,3
130022,30,60,ftg,32,4
130022,60,90,ftg,33,5
130023,0,5,ftg,130023 FTS 0 - 5,1
130023,5,10,ftg,130023 FTS 5 - 10,2
130023,10,30,ftg,130023 FTS 10 - 30,3
130023,30,60,ftg,130023 FTS 30 - 60,4
130023,60,90,ftg,130023 FTS 60 - 90,5
130026,0,5,ftg,130026 FTS 0 - 5,1
130026,5,10,ftg,130026 FTS 5 - 10,2
130026,10,30,ftg,130026 FTS 10 - 30,3
130026,30,60,ftg,130026 FTS 30 - 60,4
130026,60,90,ftg,130026 FTS 60 - 90,5
130027,0,5,ftg,130027 FTS 0 - 5,1
130027,5,10,ftg,130027 FTS 0 - 5,2
130027,10,30,ftg,130027 FTS 0 - 5,3
130027,30,60,ftg,130027 FTS 0 - 5,4
130027,60,90,ftg,130027 FTS 0 - 5,5
130028,0,5,ftg,13028 FTS 0 - 5,1
130028,5,10,ftg,13028 FTS 5 - 10,2
130028,10,30,ftg,13028 FTS 10 - 30,3
130028,30,60,ftg,13028 FTS 30 - 60,4
130028,60,90,ftg,13028 FTS 60 - 90,5
130029,0,5,ftg,41,1
130029,5,10,ftg,42,2
130029,10,30,ftg,43,3
130029,30,60,ftg,44,4
130029,60,90,ftg,45,5
130032,0,5,ftg,18,1
130032,5,10,ftg,19,2
130032,10,30,ftg,20,3
130032,30,60,ftg,21,4
130032,60,90,ftg,22,5
130033,0,5,ftg,7,1
130033,5,10,ftg,8,2
130033,10,30,ftg,9,3
130033,30,60,ftg,10,4
130033,60,90,ftg,11,5
130036,0,5,ftg,130036 FTS 0 - 5,1
130036,5,10,ftg,130036 FTS 5 - 10,2
130036,10,20,ftg,130036 FTS10 - 20,3
130036,30,60,ftg,130036 FTS30 - 60,4
130036,60,90,ftg,130036 FTS60 - 90,5
130036,20,30,ftg,130036 FTS 20-30,6
130037,0,5,ftg,64,1
130037,5,10,ftg,65,2
130037,10,30,ftg,66,3
130037,30,60,ftg,67,4
130037,60,90,ftg,68,5
130039,0,5,ftg,13039 FTS 0 - 5,1
130039,5,10,ftg,13039 FTS 5 - 10,2
130039,10,30,ftg,13039 FTS 10 - 30,3
130039,30,60,ftg,13039 FTS 30 - 60,4
130039,60,90,ftg,13039 FTS 60 - 90,5
130042,0,5,ftg,130042 FTS  0 - 5,1
130042,5,10,ftg,130042 FTS  5 - 10,2
130042,10,20,ftg,130042 FTS  10 - 20,3
130042,20,30,ftg,130042 FTS  20 - 30,4
130042,30,60,ftg,130042 FTS  30 - 60,5
130042,60,90,ftg,130042 FTS  60 - 90,6
130044,0,5,ftg,130044 FTS 0 - 5,1
130044,5,10,ftg,130044 FTS 5 - 10,2
130044,10,30,ftg,130044 FTS 10 - 30,3
130044,30,60,ftg,130044 FTS 030 - 60,4
130044,60,90,ftg,130044 FTS 60 - 90,5
130046,0,5,ftg,130046 FTS 0 - 5,1
130046,5,10,ftg,130046 FTS 5 - 10,2
130046,10,20,ftg,130046 FTS 10 - 20,3
130046,20,30,ftg,130046 FTS 20 - 30,4
130046,30,60,ftg,130046 FTS 30 - 60,5
130046,60,75,ftg,130046 FTS 60 - 75,6
130046,75,90,ftg,130046 FTS 75 - 90,7
130047,0,5,ftg,130047 FTS 0 - 5,1
130047,5,10,ftg,130047 FTS 5 - 10,2
130047,10,20,ftg,130047 FTS 10 - 30,3
130047,30,60,ftg,130047 FTS 30 - 60,4
130047,60,90,ftg,130047 FTS 60 - 90,5
130047,20,30,ftg,130047 FTS 20-30,9
130048,0,5,ftg,13048 FTS 0 - 5,1
130048,5,10,ftg,13048 FTS 0 - 5,2
130048,10,30,ftg,13048 FTS 0 - 5,3
130048,30,60,ftg,13048 FTS 0 - 5,4
130048,60,90,ftg,13048 FTS 0 - 5,5
130050,0,5,ftg,130050 FTS 0 - 5,1
130050,5,10,ftg,130050 FTS 5 - 10,2
130050,10,30,ftg,130050 FTS 10 - 30,3
130050,30,60,ftg,130050 FTS 30 - 60,4
130050,60,80,ftg,130050 FTS 60 - 80,5
130050,80,90,ftg,130050 FTS 80 - 90,6
130051,0,5,ftg,130051 FTS 0 - 5,1
130051,5,10,ftg,130051 FTS 5 - 10,2
130051,10,30,ftg,130051 FTS 10 - 30,3
130051,30,60,ftg,130051 FTS 30 - 60,4
130051,60,90,ftg,130051 FTS 60 - 90,5
130052,0,5,ftg,130052 FTS 0 - 5,1
130052,5,10,ftg,130052 FTS 5 - 10,2
130052,10,30,ftg,130052 FTS 10 - 30,3
130052,30,60,ftg,130052 FTS 30 - 60,4
130052,60,90,ftg,130052 FTS 60 - 90,5
130056,0,5,ftg,130056 FTS 0 - 5,1
130056,5,10,ftg,130056 FTS 5 - 10,2
130056,10,30,ftg,130056 FTS 10 - 30,3
130056,30,60,ftg,130056 FTS 30 - 60,4
130056,60,90,ftg,130056 FTS 60 - 90,5
130057,0,5,ftg,130057 FTS 0 - 5,1
130057,5,10,ftg,130057 FTS 5 - 10,2
130057,10,30,ftg,130057 FTS 10 - 30,3
130057,30,45,ftg,130057 FTS 30 - 45,4
130057,45,60,ftg,130057 FTS 45 - 60,5
130057,60,90,ftg,130057 FTS 60 - 90,6
130059,0,5,ftg,13059 FTS 0 - 5,1
130059,5,10,ftg,13059 FTS 5 - 10,2
130059,10,30,ftg,13059 FTS 10 - 30,3
130059,30,60,ftg,13059 FTS 30 - 60,4
130059,60,90,ftg,13059 FTS 60 - 90,5
130060,0,5,ftg,13060/FTS/0-5,1
130060,5,10,ftg,13060/FTS/5-10,2
130060,10,30,ftg,13060/FTS/10-30,3
130060,30,60,ftg,13060/FTS/30-60,4
130060,60,90,ftg,13060/FTS/60-90,5
130061,0,5,ftg,13061 FTS 0 - 5,1
130061,5,10,ftg,13061 FTS 5 - 10,2
130061,10,30,ftg,13061 FTS 10 - 30,3
130061,30,60,ftg,13061 FTS 30 - 60,4
130061,60,90,ftg,13061 FTS 60 - 90,5
130064,0,5,ftg,13064 FTS 0 - 5,1
130064,5,10,ftg,13064 FTS 5 - 10,2
130064,10,30,ftg,13064 FTS 10 - 30,3
130064,30,60,ftg,13064 FTS 30 - 60,4
130064,60,90,ftg,13064 FTS 60 - 90,5
130068,0,5,ftg,13068/FTS/0-5,1
130068,5,10,ftg,13068/FTS/5-10,2
130068,10,30,ftg,13068/FTS/20-30,3
130068,30,60,ftg,13068/FTS/30-60,4
130068,60,90,ftg,13068/FTS/60-90,5
130069,0,5,ftg,130069; FTG; 0 - 5,1
130069,5,10,ftg,130069; FTG; 5 - 10,2
130069,10,30,ftg,130069; FTG; 10 - 30,3
130069,30,60,ftg,130069; FTG; 30 - 60,4
130069,60,90,ftg,130069; FTG; 60 - 90,5
130070,0,5,ftg,130070; FTG; 0 - 5,1
130070,5,10,ftg,130070; FTG; 5 - 10,2
130070,10,30,ftg,130070; FTG; 10 - 30,3
130070,30,60,ftg,130070; FTG; 30 - 60,4
130070,60,90,ftg,130070; FTG; 60 - 90,5
130071,0,5,ftg,130071; FTG; 0 - 5,1
130071,5,10,ftg,130071; FTG; 5 - 10,2
130071,10,30,ftg,130071; FTG; 10 - 30,3
130071,30,60,ftg,130071; FTG; 30 - 60,4
130071,60,90,ftg,130071; FTG; 60 - 90,5
130072,0,5,ftg,130072; FTG; 0 - 5,1
130072,5,10,ftg,130072; FTG; 5 - 10,2
130072,10,30,ftg,130072; FTG; 10 - 30,3
130072,30,60,ftg,130072; FTG; 30 - 60,4
130072,60,90,ftg,130072; FTG; 60 - 90,5
130073,0,5,ftg,130073; FTG; 0 - 5,1
130073,5,10,ftg,130073; FTG; 5 - 10,2
130073,10,30,ftg,130073; FTG; 10 - 30,3
130073,30,60,ftg,130073; FTG; 30 - 60,4
130073,60,90,ftg,130073; FTG; 60 - 90,5
130074,0,5,ftg,130074; FTG; 0 - 5,1
130074,5,10,ftg,130074; FTG; 5 - 10,2
130074,10,30,ftg,130074; FTG; 10 - 30,3
130074,30,60,ftg,130074; FTG; 30 - 60,4
130074,60,90,ftg,130074; FTG; 60 - 90,5
130075,0,5,ftg,130075; FTG; 0 - 5,1
130075,5,10,ftg,130075; FTG; 5 - 10,2
130075,10,30,ftg,130075; FTG; 10 - 30,3
130075,30,60,ftg,130075; FTG; 30 - 60,4
130075,60,90,ftg,130075; FTG; 60 - 90,5
130076,0,5,ftg,130076; FTG; 0 - 5,1
130076,5,10,ftg,130076; FTG; 5 - 10,2
130076,10,30,ftg,130076; FTG; 10 - 30,3
130076,30,60,ftg,130076; FTG; 30 - 60,4
130076,60,90,ftg,130076; FTG; 60 - 90,5
130077,0,5,ftg,130077; FTG; 0 - 5,1
130077,5,10,ftg,130077; FTG; 5 - 10,2
130077,10,30,ftg,130077; FTG; 10 - 30,3
130077,30,60,ftg,130077; FTG; 30 - 60,4
130077,60,90,ftg,130077; FTG; 60 - 90,5
130078,0,5,ftg,130078; FTG; 0 - 5,1
130078,5,10,ftg,130078; FTG; 5 - 10,2
130078,10,30,ftg,130078; FTG; 10 - 30,3
130078,30,60,ftg,130078; FTG; 30 - 60,4
130078,60,90,ftg,130078; FTG; 60 - 90,5
130079,0,5,ftg,130079; FTG; 0 - 5,1
130079,5,10,ftg,130079; FTG; 5 - 10,2
130079,10,30,ftg,130079; FTG; 10 - 30,3
130079,30,60,ftg,130079; FTG; 30 - 60,4
130079,60,90,ftg,130079; FTG; 60 - 90,5
130080,0,5,ftg,130080; FTG; 0 - 5,1
