bund_nr,ort,b1,b2,ss,ks,ms,bos,ls
130010,z,95.0,10.0,20.0,70.0,0.0,-9.0,-9.0
130013,z,100.0,1.0,1.0,20.0,0.0,-9.0,-9.0
130014,z,60.0,40.0,70.0,80.0,1.0,-9.0,-9.0
130017,z,80.0,10.0,5.0,100.0,0.0,-9.0,-9.0
130022,z,80.0,0.0,0.0,100.0,80.0,-9.0,-9.0
130023,z,70.0,10.0,20.0,100.0,60.0,-9.0,-9.0
130026,z,70.0,95.0,1.0,64.0,0.0,-9.0,-9.0
130027,z,40.0,90.0,20.0,55.0,20.0,-9.0,-9.0
130028,z,60.0,70.0,50.0,70.0,5.0,-9.0,-9.0
130029,z,100.0,0.0,1.0,20.0,100.0,-9.0,-9.0
130032,z,50.0,80.0,1.0,7.0,0.0,-9.0,-9.0
130033,z,70.0,0.0,5.0,100.0,50.0,-9.0,-9.0
130036,z,60.0,80.0,1.0,30.0,0.0,-9.0,-9.0
130037,z,40.0,100.0,1.0,2.0,0.0,-9.0,-9.0
130039,z,80.0,0.0,80.0,60.0,100.0,-9.0,-9.0
130042,z,80.0,0.0,30.0,90.0,100.0,-9.0,-9.0
130044,z,60.0,10.0,1.0,70.0,100.0,-9.0,-9.0
130046,z,75.0,10.0,1.0,100.0,90.0,-9.0,-9.0
130047,z,60.0,10.0,80.0,80.0,100.0,-9.0,-9.0
130048,z,60.0,0.0,30.0,91.0,100.0,-9.0,-9.0
130050,z,70.0,30.0,0.0,26.0,1.0,-9.0,-9.0
130051,z,90.0,0.0,1.0,90.0,100.0,-9.0,-9.0
130052,z,70.0,0.0,0.0,100.0,50.0,-9.0,-9.0
130056,z,90.0,0.0,20.0,5.0,0.0,-9.0,-9.0
130057,z,100.0,0.0,0.0,0.0,0.0,-9.0,-9.0
130059,z,80.0,1.0,50.0,100.0,80.0,-9.0,-9.0
130060,z,90.0,0.0,0.0,60.0,100.0,-9.0,-9.0
130061,z,70.0,0.0,5.0,94.0,100.0,-9.0,-9.0
130064,z,75.0,10.0,5.0,90.0,50.0,-9.0,-9.0
130068,z,80.0,0.0,0.0,90.0,65.0,-9.0,-9.0
130069,z,60.0,0.0,0.0,100.0,5.0,-9.0,-9.0
130070,z,80.0,1.0,30.0,100.0,100.0,-9.0,-9.0
130071,z,75.0,2.0,80.0,90.0,60.0,-9.0,-9.0
130072,z,65.0,70.0,50.0,98.0,25.0,-9.0,-9.0
130073,z,90.0,0.0,0.0,30.0,100.0,-9.0,-9.0
130073,z,45.0,0.0,0.5,25.0,65.0,-9.0,-9.0
130074,z,0.0,0.0,85.0,70.0,5.0,-9.0,-9.0
130074,z,35.0,0.0,65.0,30.0,5.0,-9.0,-9.0
130075,z,80.0,5.0,5.0,95.0,0.0,-9.0,-9.0
130076,z,60.0,30.0,10.0,20.0,60.0,-9.0,-9.0
130076,z,35.0,50.0,3.0,5.0,40.0,-9.0,-9.0
130077,z,80.0,1.0,0.0,70.0,70.0,-9.0,-9.0
130078,z,95.0,2.0,10.0,40.0,40.0,-9.0,-9.0
130079,z,93.0,5.0,0.0,100.0,80.0,-9.0,-9.0
130080,z,90.0,0.0,40.0,80.0,100.0,-9.0,-9.0
130080,z,40.0,5.0,35.0,75.0,85.0,-9.0,-9.0
130081,z,45.0,65.0,50.0,85.0,5.0,-9.0,-9.0
130082,z,90.0,0.0,0.0,2.0,70.0,-9.0,-9.0
130083,z,70.0,2.0,1.0,100.0,100.0,-9.0,-9.0
130083,z,35.0,1.0,0.5,75.0,50.0,-9.0,-9.0
130084,z,50.0,0.0,5.0,2.0,10.0,-9.0,-9.0
130088,z,90.0,10.0,5.0,100.0,80.0,-9.0,-9.0
