bund_nr,labor,labornr,horikombi,anzteile
140001,220,200630187,L+Of,
140001,220,200630188,Oh,
140001,300,2929,L+Of,
140001,300,8072,Oh,
140001,900,200630187,L+Of,
140001,900,200630188,Oh,
140002,220,200630189,L+Of,
140002,300,4823,Oh,
140002,300,7737,L+Of,
140002,900,200630189,L+Of,
140003,220,200630190,L+Of,
140003,220,200630191,Oh,
140003,300,8949,L+Of,
140003,300,9660,Oh,
140003,900,200630190,L+Of,
140003,900,200630191,Oh,
140004,220,200630192,L+Of,
140004,220,200630193,Oh,
140004,300,6271,L+Of,
140004,300,7887,Oh,
140004,900,200630192,L+Of,
140004,900,200630193,Oh,
140005,220,200630185,L+Of,
140005,220,200630186,Oh,
140005,300,3015,Oh,
140005,300,9082,L+Of,
140005,900,200630185,L+Of,
140005,900,200630186,Oh,
140006,220,200630233,L+Of,
140006,220,200630234,Oh,
140006,300,5334,L+Of,
140006,300,6029,Oh,
140006,900,200630233,L+Of,
140006,900,200630234,Oh,
140007,220,200630245,L+Of,
140007,220,200630246,Oh,
140007,300,2465,L+Of,
140007,300,689,Oh,
140007,900,200630245,L+Of,
140007,900,200630246,Oh,
140008,220,200630240,L+Of,
140008,220,200630241,Oh,
140008,300,814800,Oh,
140008,300,8409,L+Of,
140008,900,200630240,L+Of,
140008,900,200630241,Oh,
140009,220,200630213,L+Of,
140009,220,200630214,Oh,
140009,300,8261,L+Of,
140009,300,9409,Oh,
140009,900,200630213,L+Of,
140009,900,200630214,Oh,
140010,220,200630208,L+Of,
140010,220,200630209,nHv,
140010,300,6444,Oh,
140010,300,845,L+Of,
140010,900,200630208,L+Of,
140011,220,200630220,L+Of,
140011,220,200630221,Oh,
140011,300,5104,L+Of,
140011,300,8752,Oh,
140011,900,200630220,L+Of,
140011,900,200630221,Oh,
140012,220,200630226,L+Of,
140012,220,200630227,Oh,
140012,300,8210,L+Of,
140012,300,9892,Oh,
140012,900,200630226,L+Of,
140012,900,200630227,Oh,
140013,220,200630215,L+Of,
140013,220,200630216,Oh,
140013,300,4760,L+Of,
140013,300,8396,Oh,
140013,900,200630215,L+Of,
140013,900,200630216,Oh,
140014,220,200630222,L+Of,
140014,220,200630223,Oh,
140014,300,2289,L+Of,
140014,300,7189,Oh,
140014,900,200630222,L+Of,
140014,900,200630223,Oh,
140015,220,200630224,L+Of,
140015,220,200630225,Oh,
140015,300,1630,Oh,
140015,300,4722,L+Of,
140015,900,200630224,L+Of,
140015,900,200630225,Oh,
140016,220,200630140,L+Of,
140016,220,200630141,Oh,
140016,300,1591,Oh,
