bund_nr,lfd_nr,baumgruppe,typ,laenge,anzahl,durchmesser,zersetzung,anmerkung
140040,1,1,4,3,-9,63,3,
140040,2,1,4,4,-9,37,3,
140040,3,1,2,211,-9,20,1,
140040,4,1,5,64,-9,6,1,
140040,5,1,3,99,-9,18,2,
140040,6,1,4,3,-9,27,1,
140039,1,1,4,4,-9,27,1,
140039,10,1,4,4,-9,59,1,
140039,11,1,4,5,-9,44,3,
140039,12,1,4,2,-9,35,3,
140039,13,1,4,3,-9,35,1,
140039,14,1,4,2,-9,36,3,
140039,15,1,4,2,-9,27,4,
140039,16,1,4,2,-9,27,4,
140039,17,1,4,3,-9,33,4,
140039,18,1,4,1,-9,40,4,
140039,19,1,4,2,-9,43,4,
140039,2,1,4,3,-9,24,3,
140039,20,1,4,5,-9,26,4,
140039,21,1,4,2,-9,26,4,
140039,22,1,4,3,-9,39,3,
140039,23,1,4,1,-9,12,5,
140039,24,1,1,30,-9,11,3,
140039,25,1,4,3,-9,33,4,
140039,26,1,4,2,-9,33,4,
140039,27,1,4,1,-9,20,5,
140039,28,1,4,3,-9,51,1,
140039,29,1,4,2,-9,30,1,
140039,3,1,4,4,-9,65,1,
140039,30,1,1,23,-9,9,5,
140039,31,1,4,3,-9,28,1,
140039,32,1,4,1,-9,28,3,
140039,33,1,4,2,-9,28,1,
140039,34,1,4,2,-9,20,3,
140039,35,1,1,19,-9,16,4,
140039,36,1,1,12,-9,14,4,
140039,37,1,4,2,-9,23,4,
140039,38,-9,-9,-9,-9,-9,-9,
140039,4,1,1,7,-9,12,3,
140039,5,1,1,41,-9,11,3,
140039,6,1,4,2,-9,25,3,
140039,7,1,4,1,-9,10,5,
140039,8,1,4,1,-9,20,3,
140039,9,1,4,3,-9,48,1,
