bund_nr,lfd_nr,randtyp,randform,anfang_dist,anfang_azi,end_dist,end_azi,knick_dist,knick_azi
140014,1,3,1,1982,129,1788,67,-2,-2
140022,1,1,1,2715,290,2718,340,-2,-2
140023,1,2,1,2795,7,2982,39,-2,-2
140024,1,1,1,1751,343,1290,291,-2,-2
140026,1,1,1,2022,313,2250,387,-2,-2
140027,1,3,1,2622,297,2466,336,-2,-2
140027,2,3,1,1848,376,2340,52,-2,-2
140029,1,3,1,2303,299,1944,363,-2,-2
140033,1,3,1,2276,221,2302,160,-2,-2
140037,1,1,1,2910,48,2970,17,-2,-2
140039,1,2,1,2290,123,2347,82,-2,-2
140042,1,3,1,2720,245,2980,299,-2,-2
140043,1,3,1,2537,146,1881,194,-2,-2
140046,1,3,1,2723,120,2980,146,-2,-2
140048,1,3,2,1555,6,2136,240,1123,143
140053,1,1,1,2998,22,2631,381,-2,-2
140054,1,3,1,2800,106,2806,150,-2,-2
140056,1,1,2,747,324,2141,208,1323,256
140067,1,1,1,1942,396,2581,40,-2,-2
140068,1,1,1,2355,30,2679,383,-2,-2
140187,1,1,2,2430,171,2730,80,2980,121
140234,1,2,1,2285,155,2128,190,-2,-2
140254,1,1,2,970,186,2522,313,2478,274
140316,1,1,1,2680,175,2503,134,-2,-2
