bund_nr,lfd_nr,zwiesel,bart,baumkennzahl,d_mess,bhd_hoehe,hoehe,kransatz,kraft,schi,hori,azi,alter,alter_methode
140001,1,,rbu,-9,304,130,182,46,2,1,426,347,64,1
140001,2,,vbe,-9,100,130,106,78,4,1,635,325,30,5
140001,3,,sbi,-9,214,150,154,107,3,1,1247,359,64,1
140001,4,,sbi,-9,323,130,-9,-9,2,1,1514,361,64,1
140001,5,,gki,-9,255,130,191,113,2,1,988,393,64,1
140001,6,,gki,-9,336,130,212,110,2,1,938,11,64,1
140001,7,,gki,-9,317,130,184,105,2,1,1678,48,64,1
140001,8,,sbi,-9,370,130,211,127,2,1,846,73,64,1
140001,9,,sbi,-9,350,130,-9,-9,2,1,727,80,64,1
140001,10,,sbi,-9,375,200,231,159,2,1,721,133,64,1
140001,11,,gki,-9,309,130,194,116,2,1,830,161,64,1
140001,12,,sbi,-9,304,170,218,128,2,1,1772,114,64,1
140001,13,,vbe,-9,149,130,122,88,3,1,1033,233,30,5
140001,14,,vbe,-9,130,130,128,89,3,1,1088,256,30,5
140001,15,,sbi,-9,324,130,-9,-9,2,1,1243,264,64,1
140001,16,,sbi,-9,445,130,182,104,2,1,1555,289,64,1
140001,17,,sbi,-9,339,130,-9,-9,2,1,968,302,64,1
140001,18,,sbi,-9,313,130,-9,-9,2,1,974,296,64,1
140001,19,,gki,-9,315,130,189,110,2,1,335,248,64,1
140001,20,,vbe,-9,72,130,117,76,4,1,396,302,30,5
140002,1,,wli,-9,103,130,113,72,4,1,1235,48,35,5
140002,2,,wli,-9,143,130,-9,-9,4,1,1254,45,35,5
140002,3,,wli,-9,525,130,244,151,2,1,1300,49,93,1
140002,4,,hbu,-9,357,180,205,85,3,1,1233,68,93,1
140002,5,,wli,-9,369,130,249,159,2,1,1553,76,93,1
140002,6,,rei,-9,104,150,72,40,4,1,1082,102,20,5
140002,7,,ges,-9,246,130,223,160,3,1,1125,110,73,1
140002,8,,ges,-9,347,130,253,185,2,1,1669,112,73,1
140002,9,,ges,-9,300,130,-9,-9,3,1,1743,110,73,1
140002,10,,wli,-9,494,130,238,141,2,1,809,144,93,1
140002,11,,wli,-9,473,130,-9,-9,3,1,739,190,93,1
140002,12,,wli,-9,110,130,-9,-9,4,1,796,192,20,5
140002,13,,wli,-9,507,130,-9,-9,2,1,1170,166,93,1
140002,14,,hbu,-9,501,100,164,35,3,1,1526,180,93,1
140002,15,,wli,-9,470,130,-9,-9,2,1,1225,247,93,1
140002,16,,wli,-9,100,130,-9,-9,4,1,1251,244,30,5
140002,17,,ges,-9,110,130,150,111,4,1,366,229,40,5
140002,18,,wli,-9,471,130,-9,-9,2,1,1158,264,93,1
140002,19,,wli,-9,423,130,255,152,2,1,1220,264,93,1
140002,20,,wli,-9,346,150,182,90,3,1,1055,287,93,1
140002,21,,ges,-9,393,130,242,150,2,1,1697,303,73,1
140002,22,,wli,-9,634,150,233,137,2,1,1364,322,93,1
140002,23,,ges,-9,228,130,-9,-9,3,1,607,338,73,1
140002,24,,ges,-9,279,130,219,149,3,1,1206,347,73,1
140002,25,,wli,-9,104,130,-9,-9,4,1,1059,367,30,5
140002,26,,ges,-9,162,130,179,117,3,1,1093,398,73,1
140002,27,,ges,-9,288,150,-9,-9,3,1,892,6,73,1
140002,28,,ges,-9,185,130,-9,-9,3,1,1008,20,73,1
140002,29,,wli,-9,294,130,204,144,3,1,446,1,50,5
140002,30,,wli,-9,197,130,142,94,4,1,354,6,50,5
140002,31,,wli,-9,589,130,269,165,2,1,374,398,93,1
140002,32,,wli,-9,190,130,-9,-9,4,1,415,383,40,5
140003,1,,gfi,-9,335,150,259,127,2,1,149,199,82,1
140003,2,,gki,-9,314,130,263,217,2,1,1542,177,82,1
140003,3,,gki,-9,355,130,271,208,2,1,1395,201,82,1
140003,4,,rbu,-9,227,130,248,143,3,1,1032,233,82,1
140003,5,,rbu,-9,320,130,311,200,2,1,1305,246,82,1
140003,6,,rbu,-9,214,130,-9,-9,3,1,1135,280,82,1
140003,7,,rbu,-9,102,130,137,80,4,1,1093,257,82,1
140003,8,,gki,-9,259,130,268,212,3,1,713,252,82,1
140003,9,,gfi,-9,309,130,-9,-9,2,1,646,291,82,1
140003,10,,rbu,-9,216,130,-9,-9,3,1,1006,291,82,1
140003,11,,rbu,-9,153,130,252,179,3,1,1032,298,82,1
140003,12,,rbu,-9,369,130,286,179,2,1,1743,307,82,1
140003,13,,rbu,-9,111,130,-9,-9,4,1,1232,313,82,1
140003,14,,gfi,-9,262,150,243,180,3,1,816,340,82,1
140003,15,,rbu,-9,136,130,-9,-9,4,1,1217,333,82,1
140003,16,,rbu,-9,397,200,274,125,2,1,1757,328,82,1
140003,17,,gfi,-9,363,130,271,123,2,1,1212,356,82,1
140003,18,,gfi,-9,250,130,-9,-9,3,1,1035,350,82,1
140003,19,,gfi,-9,336,150,-9,-9,2,1,707,359,82,1
140003,20,,gfi,-9,433,130,310,145,2,1,484,378,82,1
140003,21,,gki,-9,411,130,261,186,2,1,1468,8,82,1
140003,22,,gfi,-9,298,130,-9,-9,3,1,986,3,82,1
140003,23,,rbu,-9,379,130,-9,-9,3,1,991,21,82,1
140003,24,,gfi,-9,263,150,-9,-9,3,1,1239,37,82,1
140003,25,,gfi,-9,379,130,-9,-9,2,1,1663,54,82,1
140003,26,,gfi,-9,324,130,-9,-9,2,1,1772,73,82,1
140003,27,,gki,-9,381,130,284,215,2,1,1091,63,82,1
140003,28,,gfi,-9,276,130,-9,-9,3,1,684,72,82,1
140003,29,,gfi,-9,361,150,-9,-9,2,1,910,83,82,1
140003,30,,gfi,-9,304,130,-9,-9,2,1,1310,98,82,1
140003,31,,gki,-9,327,150,-9,-9,2,1,1359,117,82,1
140003,32,,gfi,-9,387,150,-9,-9,2,1,1772,123,82,1
140003,33,,gfi,-9,337,200,-9,-9,3,1,1777,135,82,1
140003,34,,gfi,-9,400,200,-9,-9,2,1,1076,137,82,1
140004,1,,gfi,-9,355,130,-9,-9,2,1,587,399,89,1
140004,2,,gfi,-9,270,130,240,138,3,1,1028,18,89,1
140004,3,,gfi,-9,331,130,-9,-9,2,1,1300,16,89,1
140004,4,,gfi,-9,432,130,-9,-9,2,1,1272,25,89,1
140004,5,,gfi,-9,320,130,-9,-9,2,1,1572,52,89,1
140004,6,,gfi,-9,275,130,-9,-9,3,1,686,48,89,1
140004,7,,gfi,-9,224,130,-9,-9,4,1,644,79,89,1
140004,8,,gfi,-9,476,130,304,164,1,1,805,92,89,1
140004,9,,gfi,-9,387,130,-9,-9,2,1,1018,70,89,1
140004,10,,rbu,-9,510,130,293,132,2,1,1437,83,89,1
140004,11,,gfi,-9,354,130,299,153,2,1,1195,133,89,1
140004,12,,gfi,-9,303,130,284,186,3,1,1070,144,89,1
140004,13,,bah,-9,493,130,339,101,1,1,1370,158,89,1
140004,14,,rbu,-9,432,130,317,134,1,1,1703,170,89,1
140004,15,,bah,-9,235,130,280,107,2,1,930,162,89,1
140004,16,,gfi,-9,234,130,230,182,4,1,617,180,89,1
140004,17,,gfi,-9,285,130,-9,-9,3,1,195,114,89,1
140004,18,,gfi,-9,395,130,-9,-9,2,1,277,231,89,1
140004,19,,rbu,-9,463,130,304,143,1,1,632,230,89,1
140004,20,,gfi,-9,402,130,-9,-9,2,1,1103,194,89,1
140004,21,,gfi,-9,431,130,291,161,2,1,1558,188,89,1
140004,22,,rbu,-9,338,130,286,137,2,1,1535,236,89,1
140004,23,,gfi,-9,257,130,-9,-9,3,1,1213,234,89,1
140004,24,,gfi,-9,287,130,-9,-9,3,1,1092,250,89,1
140004,25,,rbu,-9,364,130,291,156,2,1,1056,268,89,1
140004,26,,rbu,-9,502,130,-9,-9,1,1,1730,279,89,1
140004,27,,gfi,-9,351,130,-9,-9,2,1,1150,290,89,1
140004,28,,gfi,-9,292,130,-9,-9,3,1,812,292,89,1
140004,29,,gfi,-9,233,130,-9,-9,4,1,249,291,89,1
140004,30,,gfi,-9,281,130,-9,-9,3,1,444,332,89,1
140004,31,,gfi,-9,373,130,-9,-9,2,1,891,327,89,1
140004,32,,rbu,-9,448,130,-9,-9,2,1,1713,351,89,1
140005,1,,gfi,-9,344,130,259,91,2,1,262,307,83,1
140005,2,,sbi,-9,300,130,232,162,2,1,713,314,69,1
140005,3,,gfi,-9,353,130,256,134,2,1,1031,291,83,1
140005,4,,sbi,-9,314,130,-9,-9,2,1,1241,309,69,1
140005,5,,sbi,-9,253,130,252,177,2,1,1023,337,69,1
140005,6,,sbi,-9,153,130,-9,-9,4,1,1056,343,69,1
140005,7,,sbi,-9,309,150,-9,-9,2,1,1344,356,69,1
140005,8,,sbi,-9,237,130,-9,-9,3,1,967,372,69,1
140005,9,,sbi,-9,249,130,229,156,2,1,795,373,69,1
140005,10,,sbi,-9,228,130,-9,-9,3,1,593,379,69,1
140005,11,,sbi,-9,200,130,-9,-9,2,1,493,16,69,1
140005,12,,sbi,-9,197,130,222,161,3,1,760,8,69,1
140005,13,,gfi,-9,363,150,-9,-9,2,1,1606,400,83,1
140005,14,,sbi,-9,252,130,-9,-9,2,1,1101,20,69,1
140005,15,,gfi,-9,477,130,281,148,1,1,808,33,83,1
140005,16,,sbi,-9,241,130,-9,-9,2,1,993,34,69,1
140005,17,,sbi,-9,369,150,281,191,1,1,1735,86,69,1
140005,18,,sbi,-9,163,150,-9,-9,3,1,1080,65,69,1
140005,19,,sbi,-9,196,130,-9,-9,3,1,1007,76,69,1
140005,20,,sbi,-9,181,130,-9,-9,2,1,986,90,69,1
140005,21,,sbi,-9,211,150,-9,-9,2,1,1182,89,69,1
140005,22,,sbi,-9,174,130,-9,-9,3,1,1112,97,69,1
140005,23,,sbi,-9,154,130,-9,-9,3,1,966,110,69,1
140005,24,,gfi,-9,388,130,-9,-9,2,1,488,103,83,1
140005,25,,sei,-9,281,130,252,169,2,1,910,125,83,1
140005,26,,gki,-9,429,130,307,232,1,1,1079,176,103,1
140005,27,,gfi,-9,295,130,271,171,1,1,1027,196,83,1
140005,28,,sbi,-9,154,130,-9,-9,4,1,210,159,69,1
140005,29,,gfi,-9,444,130,288,153,2,1,378,210,83,1
140005,30,,gfi,-9,389,130,-9,-9,2,1,1636,211,83,1
140005,31,,gfi,-9,330,130,-9,-9,2,1,1761,230,83,1
140005,32,,as,-9,389,130,268,167,2,1,1002,237,53,1
140005,33,,gfi,-9,314,130,-9,-9,2,1,1274,259,83,1
140006,1,,gki,-9,150,130,153,127,4,1,777,193,77,1
140006,2,,gki,-9,329,130,226,141,1,1,1306,187,77,1
140006,3,,gki,-9,319,130,-9,-9,2,1,1602,220,77,1
140006,4,,gki,-9,304,130,-9,-9,2,1,1517,236,77,1
140006,5,,gki,-9,131,130,174,142,3,1,1192,220,77,1
140006,6,,gki,-9,162,130,-9,-9,3,1,1114,227,77,1
140006,7,,gki,-9,111,130,-9,-9,4,1,979,212,77,1
140006,8,,gki,-9,218,130,-9,-9,2,1,819,207,77,1
140006,9,,gki,-9,170,130,-9,-9,3,1,897,225,77,1
140006,10,,gki,-9,168,130,-9,-9,3,1,714,231,77,1
140006,11,,gki,-9,148,130,-9,-9,3,1,607,230,77,1
140006,12,,gki,-9,149,130,-9,-9,4,1,1170,236,77,1
140006,13,,gki,-9,140,130,-9,-9,4,1,1194,258,77,1
140006,14,,gki,-9,142,130,-9,-9,3,1,1075,264,77,1
140006,15,,gki,-9,308,130,-9,-9,2,1,910,262,77,1
140006,16,,gki,-9,142,130,-9,-9,3,1,1045,277,77,1
