bund_nr,uthori,grus,kies,stein,bodenart,humifizierung,grobanteil,genese,gestein_1,gestein_2,gestein_3
50001,5,0,6,0,ut2,-1,-9,943,-1,-1,-1
50001,9,0,6,0,ut2,-1,-9,943,-1,-1,-1
50001,40,0,6,0,ut2,-1,-9,943,-1,-1,-1
50001,60,0,6,0,ut2,-1,-9,943,-1,-1,-1
50001,75,0,17,1,uls,-1,-9,965,-1,-1,-1
50001,200,0,17,0,msgs,-1,-9,928,-1,-1,-1
50002,10,0,6,0,sl2,-1,-9,925,-1,-1,-1
50002,18,0,6,0,sl2,-1,-9,925,-1,-1,-1
50002,75,0,0,0,sl2,-1,0,925,-1,-1,-1
50002,125,0,17,0,msgs,-1,-9,925,-1,-1,-1
50002,145,0,6,0,sl3,-1,-9,925,-1,-1,-1
50002,200,0,0,0,st3,-1,0,925,-1,-1,-1
50003,10,17,0,6,lu,-1,-1,965,944,770,-1
50003,60,17,0,6,lu,-1,-1,965,944,770,-1
50003,120,17,0,37,ls3,-1,-1,965,770,-1,-1
50004,10,17,0,17,lu,-1,-1,965,944,411,-1
50004,30,17,0,17,lu,-1,-1,965,944,411,-1
50004,80,6,0,17,tu4,-1,-1,963,944,411,-1
50004,100,0,0,0,tu4,-1,0,411,-1,-1,-1
50005,30,0,1,0,slu,-1,-1,942,-1,-1,-1
50005,50,0,1,0,slu,-1,-1,942,-1,-1,-1
50005,140,0,17,0,msgs,-1,-9,925,-1,-1,-1
50006,5,0,0,0,su3,-1,0,925,-1,-1,-1
50006,10,0,0,0,su2,-1,0,925,-1,-1,-1
50006,25,0,0,0,sl2,-1,0,925,-1,-1,-1
50006,50,0,0,0,sl2,-1,0,925,-1,-1,-1
50006,100,0,0,0,su2,-1,0,925,-1,-1,-1
50006,130,0,0,0,sl2,-1,0,925,-1,-1,-1
50006,160,0,0,0,sl2,-1,0,925,-1,-1,-1
50007,10,0,0,0,su3,-1,0,926,-1,-1,-1
50007,15,0,0,0,us,-1,0,926,-1,-1,-1
50007,18,0,0,0,us,-1,0,926,-1,-1,-1
50007,25,0,0,0,us,-1,0,926,-1,-1,-1
50007,65,0,0,0,us,-1,0,926,-1,-1,-1
50007,80,0,0,0,sl4,-1,0,926,-1,-1,-1
50007,90,0,17,0,sl3,-1,-9,926,-1,-1,-1
