bund_nr,ort,b1,b2,ss,ks,ms,bos,ls
50136,z,70.0,0.0,0.1,85.0,0.1,-9.0,-9.0
50137,z,85.0,3.0,0.0,0.1,0.1,-9.0,-9.0
50138,z,75.0,0.0,4.0,95.0,0.1,-9.0,-9.0
50139,z,60.0,0.0,90.0,2.0,0.1,-9.0,-9.0
50140,z,95.0,2.0,0.0,0.1,0.1,-9.0,-9.0
50141,z,95.0,5.0,1.0,1.0,1.0,-9.0,-9.0
50142,z,90.0,5.0,8.0,65.0,1.0,-9.0,-9.0
50143,z,35.0,40.0,5.0,60.0,25.0,-9.0,-9.0
50144,z,85.0,0.0,0.0,0.1,4.0,-9.0,-9.0
50145,z,95.0,0.0,0.0,0.1,0.1,-9.0,-9.0
50146,z,25.0,10.0,10.0,10.0,10.0,-9.0,-9.0
