bund_nr,othori,uthori,uz,farbe,humus,kalk,hydrooxid,hydrooxidanteil,hydrored,hydroredanteil,geform,aggroesse,pedogen,wurzelintfein,wurzelintgrob,wurzelverteil
50012,5,12,,10YR6/2,h3,c0,e0,-2,rb,-1,sub,gre3,-1,wf4,wg0,g
50012,12,25,,2.5Y8/1,h0,c0,e0,-2,rb,f9,sub,gre3,-1,wf3,wg0,g
50012,25,60,,7.5YR6/8,h0,c0,eh,f6,rb,f4,pol,gre3,-1,wf3,wg0,g
50012,60,90,,7.5YR5/8,h0,c0,ed,f6,rb,f4,kit,gre3,-1,wf2,wg0,u
50012,90,120,True,7.5YR5/8,h0,c0,ed,f6,r0,-2,kit,gre2,-1,wf1,wg0,u
50013,0,5,,7.5YR2.5/2,h3,c0,eh,f2,rb,f2,sub,gre2,-1,wf5,wg0,g
50013,5,12,,7.5YR6/2,h2,c0,ed,f2,rb,f8,pol,gre2,-1,wf4,wg0,g
50013,12,35,,5Y8/2,h0,c0,eh,f3,rb,f7,pol,gre3,-1,wf3,wg0,g
50013,35,70,,10YR5/6,h0,c0,eh,f4,rb,f6,pol,gre2,t,wf2,wg0,g
50013,70,90,,2.5Y8/2,h0,c0,eh,f6,rb,f6,pol,gre3,-1,wf2,wg0,u
50013,90,140,True,7.5YR5/8,h0,c0,eh,f8,r0,-2,kit,gre3,-1,wf1,wg0,u
50014,0,3,,7.5YR3/2,h3,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50014,3,9,,5YR3/2,h3,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50014,9,25,,10YR5/8,h1,c0,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
50014,25,60,,10YR5/8,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
50014,60,70,,10YR6/4,h0,c0,e0,-2,rb,f5,sub,gre3,-1,wf4,wg0,g
50014,70,120,,7.5YR4/6,h0,c0,eh,f2,rb,f3,sub,gre3,t,wf2,wg0,g
50014,120,130,,7.5YR5/4,h0,c0,eh,f4,rb,f4,sub,gre3,t,wf2,wg0,g
50014,130,140,,7.5YR4/6,h0,c0,ed,f3,r0,-2,sub,gre3,t,wf3,wg0,g
50014,140,200,True,10YR7/4,h0,c0,e0,-2,r0,-2,sub,gre3,-1,wf0,wg0,g
50015,0,10,,7.5YR4/4,h4,c0,e0,-2,r0,-2,kru,gre2,-1,wf4,wg0,g
50015,10,25,,7.5YR4/6,h2,c0,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,g
50015,25,50,,2.5YR4/0,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf2,wg0,k
50015,50,60,True,-1,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf1,wg0,k
50016,0,4,,5YR2.5/2,h3,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50016,4,40,,7.5YR5/4,h1,c0,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,g
50016,40,80,,10YR5/3,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf2,wg0,g
50016,80,90,True,10YR6/3,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf1,wg0,k
50017,0,10,,5YR3/2,h3,c0,e0,-2,r0,-2,kru,gre3,-1,wf4,wg0,g
50017,10,30,,2.5YR3/6,h2,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50017,30,50,,5YR4/4,h1,c0,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,g
50017,50,70,True,-1,h0,c0,e0,-2,r0,-2,-1,-1,-1,wf0,wg0,z
50018,0,2,,5YR3/3,h5,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50018,2,12,,7.5YR3/2,h3,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50018,12,20,,7.5YR5/6,h1,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50018,20,35,,5YR5/6,h0,c0,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50018,35,50,,5YR5/6,h0,c0,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50018,50,65,,2.5YR4/8,h0,c0,eh,f4,rb,f1,pol,gre3,-1,wf2,wg0,g
50018,65,110,,2.5YR4/6,h0,c0,eh,f4,rb,f2,pol,gre3,-1,wf1,wg0,u
50018,110,150,True,5YR5/8,h0,c0,eo,f5,rb,f4,koh,-1,-1,wf0,wg0,z
50019,0,2,,5YR2.5/2,h4,c0,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
