bund_nr,nachbar,distanz,exposition
50001,15,2500,sw
50002,13,1000,s
50002,12,3000,nw
50003,13,200,n
50003,14,400,w
50004,13,60,no
50005,15,100,o
50006,13,1350,w
50006,1,900,s
50006,15,50,w
50007,15,200,w
50007,12,350,so
50007,13,30,w
50008,13,500,nw
50010,13,400,nw
50010,14,110,nw
50012,15,180,nw
50012,13,1600,s
50013,12,900,w
50013,13,200,o
50013,15,30,n
50014,15,1800,w
50014,12,2300,w
50015,15,500,sw
50015,13,400,so
50017,15,400,no
50018,14,800,o
50019,13,300,nw
50020,14,200,n
50020,15,500,nw
50021,15,200,w
50022,13,600,o
50023,14,900,sw
50023,13,1300,w
50024,17,1100,no
50024,13,250,o
50024,24,3500,sw
50025,11,6000,w
50025,13,150,o
50025,17,450,w
50026,17,200,sw
50026,11,4000,no
50026,13,150,so
50027,11,3500,w
50027,13,200,o
50028,14,300,s
50028,15,250,no
50029,11,2000,so
50029,13,100,n
50030,15,200,s
50030,13,2300,w
50030,17,100,n
50031,13,700,o
50031,12,1000,w
50031,15,600,w
50032,15,300,nw
50032,11,2000,sw
50032,12,600,nw
50032,13,1600,so
50032,17,800,w
50033,15,150,w
50033,11,4500,sw
50033,17,1800,o
50034,13,200,n
50034,15,100,n
50035,13,700,so
50035,11,2500,no
50035,15,150,nw
50036,13,700,sw
50036,24,1200,sw
50037,13,300,nw
50037,14,150,s
50038,13,500,nw
50038,11,1300,no
50038,17,1000,no
50039,11,1900,n
50039,13,100,nw
50039,17,500,n
50040,15,300,s
50040,12,800,w
50040,13,300,w
50041,13,3300,sw
50041,14,350,nw
50041,17,3350,sw
50042,14,200,o
50043,14,400,s
50043,13,350,nw
50044,14,450,sw
50045,12,550,no
50045,15,300,n
50046,14,50,nw
50047,14,100,nw
50048,14,150,sw
50048,13,350,no
50048,16,700,o
50049,13,250,w
50049,14,150,sw
50050,14,250,nw
50050,13,60,o
50050,17,400,no
50051,15,200,n
50051,12,400,sw
50052,14,350,sw
50053,13,300,w
50053,14,50,nw
50054,13,1100,o
50054,14,350,sw
50055,13,480,o
50055,11,700,sw
50055,14,150,s
50056,13,1000,no
50056,15,100,w
50057,14,80,no
50057,13,680,s
50057,15,180,nw
50057,21,50,nw
50058,15,80,nw
50058,12,300,nw
50059,14,60,w
50059,13,40,o
50059,15,250,sw
50060,14,150,w
50060,15,500,n
50060,16,2200,so
50061,11,700,o
50061,13,250,so
50061,14,600,w
50061,16,1400,so
50062,13,800,nw
50062,14,120,w
50063,12,550,n
50063,13,200,n
50063,14,250,n
50063,15,100,w
50064,12,600,nw
50064,13,1250,n
50064,14,50,n
50064,15,250,w
50065,13,530,w
50065,14,130,s
50066,13,650,sw
50066,14,150,n
50066,15,300,no
50067,13,1100,nw
50067,14,200,s
50068,13,540,w
50068,14,80,w
50069,13,160,no
50069,14,60,sw
50069,15,170,s
50069,16,3300,o
50070,12,350,s
50070,13,750,so
50070,15,150,s
50071,11,1100,o
50071,13,1300,o
50072,13,800,no
50072,11,2300,so
50073,13,40,n
50073,14,1100,n
50074,13,1200,s
50074,14,250,sw
50075,13,280,sw
50075,17,630,sw
50076,13,380,no
50076,14,80,so
50077,11,3000,w
50077,13,1300,o
50077,15,100,s
50078,12,330,sw
50078,15,300,s
50079,11,1700,n
50079,13,650,so
50080,13,700,s
50080,14,50,s
50081,14,750,o
50083,12,350,s
50083,14,100,s
50084,13,630,so
50084,15,280,nw
50085,13,550,n
50085,14,200,no
50085,15,150,n
50086,13,500,o
50087,12,850,sw
50087,15,200,sw
50092,13,2200,n
50092,14,250,s
50092,16,2900,w
50094,13,1300,o
50095,14,850,o
50096,13,800,sw
50096,14,350,w
50098,14,450,no
50099,14,250,so
50099,13,600,s
50100,13,1000,nw
50101,15,250,n
50101,13,1200,o
50101,14,750,s
50102,15,150,s
50102,12,350,no
50102,13,250,nw
50102,14,50,s
50103,14,200,so
50104,13,550,w
50104,14,280,w
50105,14,100,s
50105,13,650,s
50105,15,300,s
50106,14,80,no
50106,13,600,nw
50106,15,380,nw
50107,13,40,w
50107,14,700,sw
50108,15,200,n
50108,13,150,w
50108,16,1800,sw
50109,15,280,w
50109,13,1500,sw
50109,17,2000,sw
50110,14,150,w
50110,13,550,sw
50112,13,1500,sw
50113,13,730,s
50113,12,780,nw
50113,15,300,nw
50114,13,120,n
50114,14,50,n
50115,13,750,w
50115,15,880,n
50116,15,300,s
50116,13,1850,s
50116,24,3500,w
50117,15,800,nw
50117,13,1120,sw
50118,12,150,nw
50118,13,130,n
50118,14,80,n
50118,15,400,sw
50119,14,750,s
50119,13,400,o
50121,14,250,o
50121,13,500,nw
50121,15,250,nw
50122,14,30,o
50122,12,820,nw
50122,13,1800,no
50122,15,70,sw
50123,3,30,s
50124,3,900,w
50125,13,60,sw
50125,15,300,w
50126,15,600,nw
50126,13,600,n
50126,17,450,nw
50127,14,430,nw
50127,15,700,w
50128,12,650,sw
50128,15,60,n
50129,15,800,o
50129,17,750,o
50130,15,170,s
50130,13,530,o
50130,17,750,o
50131,14,450,sw
50131,15,400,o
50132,13,260,w
50132,15,750,s
50133,13,650,s
50133,15,250,sw
50134,15,160,o
50134,13,380,sw
50135,15,140,n
50136,13,100,n
50136,14,800,nw
50137,13,250,w
50137,15,350,w
50138,13,1000,w
50138,15,350,w
50139,12,1070,w
50139,15,480,w
50140,15,600,o
50141,16,350,w
50141,11,450,no
50141,13,80,sw
50141,15,50,o
50142,13,100,s
50143,13,80,n
50143,15,100,o
50144,13,800,so
50144,14,70,o
50145,14,50,sw
50145,13,330,n
50145,17,260,n
50146,13,60,o
50146,15,280,nw
