bund_nr,lfd_nr,zwiesel,bart,alter,alter_methode,d_mess,bhd_hoehe,hoehe,kransatz,azi,hori,kraft,schi
50001,1,,gki,61,6,443,130,-9,-9,157,409,2,1
50001,2,,gki,61,6,315,130,-9,-9,165,1457,2,1
50001,3,,gki,61,6,328,130,-9,-9,188,1018,2,1
50001,4,,gki,61,6,384,130,-9,-9,212,610,2,1
50001,5,,gki,61,6,362,130,-9,-9,218,1674,2,1
50001,6,,gki,61,6,273,130,-9,-9,238,1138,3,1
50001,7,,gki,61,6,364,130,-9,-9,243,1552,2,1
50001,8,,gki,61,6,368,130,-9,-9,272,1242,2,1
50001,9,,gki,61,6,343,130,-9,-9,274,1611,2,1
50001,10,,gki,61,6,323,130,214,167,311,789,2,1
50001,11,,gki,61,6,430,130,236,144,313,1275,2,1
50001,12,,gki,61,6,366,130,233,137,341,1366,2,1
50001,13,,gki,61,6,317,130,-9,-9,341,655,2,1
50001,14,,gki,61,6,301,130,-9,-9,352,994,3,1
50001,15,,gki,61,6,248,130,225,144,391,1110,2,1
50001,17,,gki,61,6,263,130,208,160,20,875,3,1
50001,18,,gki,61,6,365,130,-9,-9,20,587,2,1
50001,19,,ela,61,6,369,130,243,141,41,822,2,1
50001,20,,gki,61,6,364,130,-9,-9,64,1084,2,1
50001,21,,gki,61,6,395,130,-9,-9,66,1735,2,1
50001,22,,gki,61,6,359,130,-9,-9,80,1469,2,1
50001,23,,gki,61,6,424,130,-9,-9,89,803,2,1
50001,24,,gki,61,6,315,130,-9,-9,95,1582,2,1
50001,25,,gfi,35,5,375,130,163,35,142,1383,3,1
50001,26,,gki,61,6,335,130,-9,-9,156,1658,2,1
50002,1,,gki,86,6,310,130,239,131,252,190,2,1
50002,2,,gki,86,6,311,130,-9,-9,265,1567,2,1
50002,3,,gki,86,6,289,130,-9,-9,287,484,2,1
50002,4,,gki,86,6,289,130,198,144,297,1125,2,1
50002,5,,gki,86,6,317,130,-9,-9,303,1350,2,1
50002,6,,gki,86,6,239,130,-9,-9,312,900,2,1
50002,7,,gki,86,6,314,130,-9,-9,337,440,2,1
50002,8,,gki,86,6,244,130,217,133,339,679,2,1
50002,9,,gki,86,6,266,130,-9,-9,342,1045,2,1
50002,10,,gki,86,6,349,130,-9,-9,362,1429,2,1
50002,11,,gki,86,6,251,130,-9,-9,391,1007,3,1
50002,12,,gki,86,6,389,130,-9,-9,398,1557,2,1
50002,13,,gki,86,6,350,130,226,128,4,1246,2,1
50002,14,,gki,86,6,330,130,-9,-9,32,846,2,1
50002,15,,gki,86,6,256,130,-9,-9,34,341,2,1
50002,16,,gki,86,6,289,130,-9,-9,41,960,2,1
50002,17,,gki,86,6,301,130,-9,-9,45,1374,2,1
50002,18,,gki,86,6,284,130,-9,-9,69,1126,3,1
50002,19,,gki,86,6,357,130,-9,-9,87,1155,2,1
50002,20,,gki,86,6,328,130,-9,-9,96,1580,2,1
50002,21,,gki,86,6,405,130,177,116,110,1639,2,1
50002,22,,gki,86,6,254,130,-9,-9,116,703,2,1
50002,23,,gki,86,6,379,130,-9,-9,123,1559,2,1
50002,24,,gki,86,6,294,130,-9,-9,127,1251,3,1
50002,25,,gki,86,6,336,130,-9,-9,13,926,2,1
50002,26,,gki,86,6,309,130,-9,-9,145,435,2,1
50002,27,,gki,86,6,322,130,-9,-9,146,1109,2,1
50002,28,,gki,86,6,274,130,-9,-9,171,672,2,1
50002,29,,gki,86,6,291,130,-9,-9,190,1035,2,1
50002,30,,gki,86,6,339,130,-9,-9,210,1667,2,1
50002,31,,gki,86,6,327,130,-9,-9,225,845,2,1
50002,32,,gki,86,6,305,130,-9,-9,232,1708,2,1
50002,33,,gki,86,6,261,130,-9,-9,249,801,2,1
50002,34,,gki,86,6,309,130,-9,-9,250,1561,2,1
50003,1,,vbe,21,6,75,130,74,19,229,123,3,1
50003,2,,dgl,21,6,154,130,-9,-9,230,987,1,1
50003,3,,dgl,21,6,113,130,-9,-9,247,194,2,1
50003,4,,dgl,21,6,151,130,105,25,258,554,2,1
50003,5,,dgl,21,6,120,130,-9,-9,264,932,2,1
50003,6,,dgl,21,6,134,130,-9,-9,276,943,2,1
50003,7,2,vbe,21,6,78,130,78,9,276,327,3,1
50003,8,2,vbe,21,6,87,130,-9,-9,276,322,3,1
50003,9,,dgl,21,6,165,130,102,40,279,574,2,1
50003,10,,dgl,21,6,161,130,130,20,296,693,1,1
50003,11,,dgl,21,6,88,130,77,27,314,318,3,1
50003,12,,dgl,21,6,151,130,-9,-9,320,888,2,1
50003,13,,dgl,21,6,94,130,-9,-9,330,515,2,1
50003,14,,vbe,21,6,120,130,92,7,367,1062,2,1
