bund_nr,horizont,lfd_nr,param,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8
140001,s,,streuart,-9,-9,-9,vbn,vbn,vbn,vbn,-9
140001,s,,hackschn_maechtigkeit,,,,,,,,
140001,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140001,ol,,maechtigkeit,1,0.5,1,0.5,0.5,0.5,0.5,0.5
140001,ol,,lagerung,-9,-9,-9,-9,-9,-9,-9,lo
140001,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140001,of,1,maechtigkeit,2,1.5,1,0.5,0.5,1,0.5,1
140001,of,1,durchwurz,4,4,4,4,3,4,4,4
140001,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140001,oh,1,maechtigkeit,3,0.5,4,1,0,1.5,0.5,4
140001,oh,1,durchwurz,4,4,4,3,-9,3,3,3
140001,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140001,a,,maechtigkeit,2,5,2,5,10,2,10,2
140001,a,,gefuege,kru,kru,kru,kru,kru,kru,kru,kru
140001,h,,humusform_ka5,gmo,gmo,gmo,moa,muo,moa,moa,mor
140001,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
140002,s,,streuart,vbg,vbg,vb,vb,vbg,vb,vb,vbg
140002,s,,hackschn_maechtigkeit,,,,,,,,
140002,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140002,ol,,maechtigkeit,0.5,0.5,0.5,1,0.5,1,1,0.5
140002,ol,,lagerung,lo,lo,lo,lo,ve,lo,ve,lo
140002,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140002,of,1,maechtigkeit,0.5,1,0.5,0.5,1,2,2,1
140002,of,1,durchwurz,3,2,2,1,1,1,1,3
140002,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140002,oh,1,maechtigkeit,0,0,0,0,0,0,0,0
140002,oh,1,durchwurz,-9,-9,-9,-9,-9,-9,-9,-9
140002,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140002,a,,maechtigkeit,9,7,8,10,10,9,7,10
140002,a,,gefuege,kru,kru,kru,kru,kru,kru,kru,kru
140002,h,,humusform_ka5,muo,muo,muo,muo,muo,muo,muo,muo
140002,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
140003,s,,streuart,vbn,vbn,vbn,vbn,vbn,vb,vb,vbn
140003,s,,hackschn_maechtigkeit,,,,,,,,
140003,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140003,ol,,maechtigkeit,0.5,0.5,0.5,1,0.5,1,0.5,0.5
140003,ol,,lagerung,lo,lo,lo,lo,ve,lo,lo,lo
140003,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140003,of,1,maechtigkeit,1,1.5,1.5,0.5,1,1,0.5,1.5
140003,of,1,durchwurz,2,2,2,2,2,2,2,2
140003,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140003,oh,1,maechtigkeit,1.5,4,1.5,0.5,1,1.5,3,2
140003,oh,1,durchwurz,3,3,2,3,2,3,4,3
140003,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140003,a,,maechtigkeit,1,1,1,1,2,3,2,8
140003,a,,gefuege,sub,sub,sub,sub,sub,sub,sub,sub
140003,h,,humusform_ka5,moa,mrr,moa,moa,moa,moa,mor,mor
140003,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
140004,s,,streuart,-9,vbn,vbn,vbn,vbn,vbn,vbn,-9
140004,s,,hackschn_maechtigkeit,,,,,,,,
140004,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140004,ol,,maechtigkeit,0.5,0.5,0.5,1.5,1,1,1,0.5
140004,ol,,lagerung,lo,lo,ve,lo,lo,lo,ve,lo
140004,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140004,of,1,maechtigkeit,1.5,2,1.5,3.5,1,1,2.5,1.5
140004,of,1,durchwurz,4,2,2,2,2,2,2,4
140004,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140004,oh,1,maechtigkeit,3,2.5,1.5,6,1.5,5,2.5,1.5
140004,oh,1,durchwurz,4,2,3,3,2,3,3,4
140004,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140004,a,,maechtigkeit,3,3,3,2,2,10,2,10
140004,a,,gefuege,kru,ein,sub,sub,ein,ein,ein,ein
140004,h,,humusform_ka5,gmo,mor,moa,mor,moa,mor,mor,gmo
140004,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
140005,s,,streuart,vbn,vbn,-9,vbn,vbn,vbn,vbn,-9
140005,s,,hackschn_maechtigkeit,,,,,,,,
140005,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140005,ol,,maechtigkeit,0.5,0.5,1,1.5,0.5,0.3,0.5,0.5
140005,ol,,lagerung,lo,lo,lo,lo,si,lo,si,lo
140005,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140005,of,1,maechtigkeit,2,2,2,3.5,3,2.5,0.5,1.5
140005,of,1,durchwurz,3,3,3,2,3,3,3,4
140005,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140005,oh,1,maechtigkeit,1.5,4,4,3,4.5,2.5,2.5,2.5
140005,oh,1,durchwurz,3,2,2,3,2,2,3,3
140005,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140005,a,,maechtigkeit,1,1,1,1,1,1.5,1,2
140005,a,,gefuege,sub,sub,sub,sub,sub,sub,sub,sub
140005,h,,humusform_ka5,moa,mor,mrr,mor,mrr,mor,mor,mor
140005,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
140006,s,,streuart,vn,vn,vn,vn,vn,vn,vn,vn
140006,s,,hackschn_maechtigkeit,,,,,,,,
140006,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140006,ol,,maechtigkeit,1,0.5,0.5,0.2,0.2,0.5,0.5,0
140006,ol,,lagerung,lo,lo,lo,lo,lo,lo,lo,-9
140006,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140006,of,1,maechtigkeit,3,2,1.5,2,2.5,2,2.5,3
140006,of,1,durchwurz,2,2,2,2,2,2,2,2
140006,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140006,oh,1,maechtigkeit,1,1,1,1,1.5,1.5,1,1.5
140006,oh,1,durchwurz,2,2,2,2,3,2,2,2
140006,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140006,a,,maechtigkeit,5,6,5,4,3,4,3,4
140006,a,,gefuege,ein,pla,ein,ein,pla,pla,ein,pla
140006,h,,humusform_ka5,mra,roa,roa,roa,roa,roa,roa,roa
140006,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
140007,s,,streuart,vbn,vbn,vbn,vbn,vbn,vbn,vbn,vbn
140007,s,,hackschn_maechtigkeit,,,,,,,,
140007,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140007,ol,,maechtigkeit,1.5,1,1,1,1.5,1,1.5,1.5
140007,ol,,lagerung,lo,lo,lo,lo,lo,lo,lo,lo
140007,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140007,of,1,maechtigkeit,4,2.5,3,4,3,3,3.5,3
140007,of,1,durchwurz,2,2,2,3,2,2,2,3
140007,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140007,oh,1,maechtigkeit,5,3,6,5,1.5,3.5,1.5,4.5
140007,oh,1,durchwurz,3,3,3,3,3,3,3,2
140007,a,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140007,a,,maechtigkeit,3,2,1,1,3,2,2,3
140007,a,,gefuege,ein,ein,ein,ein,ein,ein,ein,ein
140007,h,,humusform_ka5,mrr,mor,mrr,mrr,mra,mrr,mra,mrr
140007,h,,humusform_ka6,-9,-9,-9,-9,-9,-9,-9,-9
140008,s,,streuart,vn,vn,vn,vn,vn,vn,vn,vn
140008,s,,hackschn_maechtigkeit,,,,,,,,
140008,ol,,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140008,ol,,maechtigkeit,0.5,0.5,0.5,0.5,0,0.2,0.3,0.2
140008,ol,,lagerung,lo,lo,lo,lo,-9,lo,lo,lo
140008,of,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140008,of,1,maechtigkeit,3.5,3,3,3,2.5,3,3,3.5
140008,of,1,durchwurz,2,2,2,3,3,3,2,2
140008,oh,1,horizont,-9,-9,-9,-9,-9,-9,-9,-9
140008,oh,1,maechtigkeit,4.5,3.5,3,0,2.5,2.5,3,4
140008,oh,1,durchwurz,2,2,3,-9,3,3,2,3
