bund_nr,ld_bze,bwi_tnr,bwi_eck,datum,srid_ist,istre,istho,beart,besttyp,struktur,mischung,beschreibungbestockung
140001,3,,,1970-01-01,31468,4691525,5636037,1,7,2,3,
140002,6,,,1970-01-01,31468,4699985,5652051,1,8,2,3,
140003,8,,,1970-01-01,31468,4692250,5660047,1,6,1,3,
140004,14,,,1970-01-01,31468,4676486,5668515,1,6,1,2,
140005,27,,,1970-01-01,31468,4660893,5685048,1,7,1,2,
140006,29,,,1970-01-01,31468,4685254,5692342,1,1,1,1,
140007,33,,,1970-01-01,31468,4692874,5684003,1,6,1,3,
140008,44,,,1970-01-01,31468,4701319,5691758,1,2,1,1,
140009,47,,,1970-01-01,31468,4685898,5716208,1,2,1,2,begonnene Harzung bei stärkeren Kiefern am Stammfuss alt
140010,50,,,1970-01-01,31468,4685722,5708291,1,8,1,2,
140011,56,,,1970-01-01,31468,4677707,5708413,-9,-9,-9,-9,Vorfeldbereich Tagebau Nochten; besucht am:11.05.2012
140012,61,,,1970-01-01,31468,4669288,5692750,1,2,1,1,gezäunt
140013,68,,,1970-01-01,31468,4669641,5708583,1,2,1,1,
140014,71,,,1970-01-01,31468,4661544,5700943,1,2,1,1,
140015,79,,,1970-01-01,31468,4645558,5701389,1,2,1,1,
140016,86,,,1970-01-01,31468,4651740,5646333,1,6,2,2,
140017,89,,,1970-01-01,31468,4628748,5677979,1,6,1,3,
140018,90,,,1970-01-01,31468,4636763,5677806,1,2,1,2,
140019,91,,,1970-01-01,31468,4645007,5685500,1,5,2,2,
140020,93,,,1970-01-01,31468,4653291,5693207,1,2,1,1,
140021,95,,,1970-01-01,31468,4628297,5662045,1,2,2,2,
140022,99,,,1970-01-01,31468,4636320,5661672,1,8,1,2,
140023,101,,,1970-01-01,31468,4612267,5662443,1,8,1,2,
140024,103,,,1970-01-01,31468,4612492,5670409,1,2,1,1,
140025,113,,,1970-01-01,31468,4605239,5694834,1,2,1,2,
140026,114,,,1970-01-01,31468,4627849,5646012,1,8,1,2,
140027,118,,,1970-01-01,31468,4643885,5645513,1,1,1,2,
140028,123,,,1970-01-01,31468,4651578,5637267,1,3,1,1,
140029,128,,,1970-01-01,31468,4660275,5660946,1,6,1,3,
140030,132,,,1970-01-01,31468,4659773,5645008,1,2,1,3,
140031,134,,,1970-01-01,31468,4667837,5644886,1,1,1,2,
140032,139,,,1970-01-01,31468,4644062,5653478,1,6,1,3,
140033,144,,,1970-01-01,31468,4603800,5646700,1,1,1,2,
140034,147,,,1970-01-01,31468,4611592,5638445,1,1,1,1,Unterflurmarke lag in Bodengrube; an Stirnseite der Grube wieder gesetzt.
140035,151,,,1970-01-01,31468,4619156,5622237,1,1,1,3,
140036,152,,,1970-01-01,31468,4619381,5630254,1,1,1,1,
140037,160,,,1970-01-01,31468,4611088,5622511,1,1,1,1,alte Schälschäden
140038,174,,,1970-01-01,31468,4586700,5607200,1,1,1,1,"Unterflurmarke nicht vorhanden. Mittelpunkt nur durch Stäbchen markiert
Entfernung vom Zentralbaum (WZE-Nr. 174) 8,55m; Azimut 239 gon
+ WZE-Baum Nr. 36 Entfernung 10,35m; Azimut 98 gon
Inventur BZE 2 2011: Baumplotnummer 22 entspricht WZE-Baum32"
140039,176,,,1970-01-01,31468,4578850,5607400,1,1,1,1,
