"","plot_ID","V_m3_ha","B_t_ha","C_t_ha","DW_type","state","V_m3_ha_BWI","BWI_C_t_ha","SD_C","V_diff","C_diff"
"1",21020,38.9715542393542,13.5300283537248,6.76501417686238,"all","SH",15.7167214,3.108931028,0.230179174,23.2548328393542,3.65608314886238
"2",21030,8.76312105514917,4.00259484131988,2.00129742065994,"all","SH",15.7167214,3.108931028,0.230179174,-6.95360034485084,-1.10763360734006
"3",23060,15.6510174997954,3.88652528170716,1.94326264085358,"all","NS",NA,3.108931028,0.230179174,NA,-1.16566838714642
"4",23061,18.8057431366729,4.40817554591879,2.20408777295939,"all","NS",NA,3.108931028,0.230179174,NA,-0.904843255040606
"5",23150,18.6026020785575,5.36201365132556,2.68100682566278,"all","NS",NA,3.108931028,0.230179174,NA,-0.427924202337218
"6",23170,50.4955909795284,10.2518596434608,5.12592982173041,"all","NS",NA,3.108931028,0.230179174,NA,2.01699879373041
"7",25100,0.389132787992797,0.101174524878127,0.0505872624390636,"all","NRW",NA,3.108931028,0.230179174,NA,-3.05834376556094
"8",26010,11.1026879399575,3.43309917147823,1.71654958573911,"all","HE",25.45197605,3.108931028,0.230179174,-14.3492881100425,-1.39238144226089
"9",26020,30.3899009042928,14.6959806932157,7.34799034660787,"all","HE",25.45197605,3.108931028,0.230179174,4.93792485429281,4.23905931860787
"10",26030,6.52378492927243,1.7587905785672,0.879395289283599,"all","HE",25.45197605,3.108931028,0.230179174,-18.9281911207276,-2.2295357387164
"11",27011,154.601884061764,40.498124302322,20.249062151161,"all","RP",23.08762768,3.108931028,0.230179174,131.514256381764,17.140131123161
"12",27040,6.67930184021037,1.7366184784547,0.868309239227348,"all","RP",23.08762768,3.108931028,0.230179174,-16.4083258397896,-2.24062178877265
"13",29080,79.176957982023,21.4938436928498,10.7469218464249,"all","BY",22.03111063,3.108931028,0.230179174,57.145847352023,7.6379908184249
"14",29090,33.7097589748794,10.3878131967196,5.19390659835978,"all","BY",22.03111063,3.108931028,0.230179174,11.6786483448794,2.08497557035978
"15",32010,17.5496331978716,5.78610439531921,2.89305219765961,"all","BB",10.96715802,3.108931028,0.230179174,6.58247517787158,-0.215878830340394
"16",32020,34.2543594174216,9.6988953589126,4.8494476794563,"all","BB",10.96715802,3.108931028,0.230179174,23.2872013974216,1.7405166514563
"17",32050,7.53668114154827,1.95953709680255,0.979768548401275,"all","BB",10.96715802,3.108931028,0.230179174,-3.43047687845173,-2.12916247959873
"18",32070,32.9358206007109,14.2834229986215,7.14171149931076,"all","BB",10.96715802,3.108931028,0.230179174,21.9686625807109,4.03278047131076
"19",32080,15.8368725214172,5.86030368368575,2.93015184184287,"all","BB",10.96715802,3.108931028,0.230179174,4.86971450141722,-0.178779186157127
"20",32090,99.7870795265691,57.8765061254101,28.938253062705,"all","BB",10.96715802,3.108931028,0.230179174,88.8199215065691,25.829322034705
"21",33010,1.72837702951528,1.00245867711886,0.501229338559432,"all","MV",16.87356444,3.108931028,0.230179174,-15.1451874104847,-2.60770168944057
"22",33050,27.3369343059568,8.90925978306582,4.45462989153291,"all","MV",16.87356444,3.108931028,0.230179174,10.4633698659568,1.34569886353291
"23",34010,62.4982869719378,17.3435104855781,8.67175524278905,"all","SN",11.36782861,3.108931028,0.230179174,51.1304583619378,5.56282421478905
"24",34030,21.7649478343801,7.17459166999549,3.58729583499775,"all","SN",11.36782861,3.108931028,0.230179174,10.3971192243801,0.478364806997746
"25",34040,31.6363974887125,8.90951414235699,4.45475707117849,"all","SN",11.36782861,3.108931028,0.230179174,20.2685688787125,1.34582604317849
"26",35500,8.60173397193598,2.1673989918651,1.08369949593255,"all","ST",17.62143348,3.108931028,0.230179174,-9.01969950806402,-2.02523153206745
