"","ID_pt","SP_P_ID","plot_ID","loc_name","state","date","CCS_nr","t_ID","st_ID","pieces","SP_nr","SP_code","C_layer","Kraft","age","age_m","DBH_mm","DBH_h_cm","DBH_p_mm","DBH_class","H_dm","CH_dm","azimut_g","azimut_d","dist_m","H_m","DBH_cm","BA_m2","plot_A_ha","Chr_code_ger","bot_name","H_SP_group","BWI_SP_group","LH_NH","BWI","Bio_SP_group","N_SP_group","N_bg_SP_group","tpS_SP_com_name","tpS_ID","R2.x","R2.y","H_g","mean_DBH_mm","D_g","R2_comb","H_method","HD_value","H_g_top","D_03_cm","DBH_h_m","aB_kg_GHG","bg","ag","f","fw","sw","swb","stw","stwb","total"
"11","3330011","33300SER",33300,"Buchenhorst","MV","","",11,NA,0,511,"SER",1,"4",NA,1,115,130,NA,2,107,96,119,"117",105,10.7,11.5,0.0103868907109313,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",93.0434782608696,17.62,9.75750394830604,1.3,26.9704609454451,0.0359866741824445,27.0304226713729,1.63685313015222,11.2290028257815,13.9882583036946,1.24157989296316,0.5331858851423,0.0383957637912835,27.0664093455553
"12","3330012","33300SER",33300,"Buchenhorst","MV","","",12,NA,0,511,"SER",1,"4",NA,1,81,130,NA,1,83,73,126,"124",112,8.3,8.1,0.00515299735005066,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",102.469135802469,17.62,6.846814149342,1.3,11.782545467,0.0159529458777957,13.0210027216087,0.880727683924112,7.53107416355735,4.61364265440749,0.598132903666279,0.258075707712016,0.0200772922655564,13.0369556674865
"13","3330013","33300SER",33300,"Buchenhorst","MV","","",13,NA,0,511,"SER",1,"2",NA,1,201,130,NA,4,155,91,106,"131",118,15.5,20.1,0.0317308711994203,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",77.1144278606965,17.62,17.0423324709376,1.3,102.209817844767,0.131746892624391,115.759467944918,4.53246990697079,32.0753273038256,75.3609935927623,5.70659817342334,2.45999697328019,0.156551901627004,115.891214837543
"14","3330014","33300SER",33300,"Buchenhorst","MV","","",14,NA,0,511,"SER",1,"4",NA,1,128,130,NA,2,113,103,120,"131",118,11.3,12.8,0.0128679635091038,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",88.28125,17.62,10.8844746521314,1.3,33.9959553089975,0.046149837703762,34.9392171041367,2.02023065843878,13.5750018963956,19.0190565810454,1.60468736345482,0.691826082841783,0.0486451803990614,34.9853669418404
"15","3330015","33300SER",33300,"Buchenhorst","MV","","",15,1,0,511,"SER",1,"4",NA,1,146,130,NA,2,133,100,19,"135",122,13.3,14.6,0.01674154725098,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",91.0958904109589,17.62,12.3583962503348,1.3,48.990165144137,0.0626520720284358,52.018213645242,2.39685764791303,17.0950690042494,31.2478321206673,2.5296737060546,1.07234625711144,0.0732925571592774,52.0808657172705
"16","3330016","33300SER",33300,"Buchenhorst","MV","","",16,1,0,511,"SER",1,"2",NA,1,181,130,NA,3,143,89,21,"135",122,14.3,18.1,0.0257304292310638,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",79.0055248618784,17.62,15.3787554065032,1.3,78.1542728460078,0.103247452780903,86.6934627816967,3.78162521371915,26.1425143706613,54.441624171827,4.18534353088284,1.80634018557762,0.117640522747907,86.7967102344776
"17","3330017","33300SER",33300,"Buchenhorst","MV","","",17,NA,0,511,"SER",1,"1",NA,1,257,130,NA,5,177,97,88,"135",122,17.7,25.7,0.0518747632942381,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",68.8715953307393,17.62,21.706610767011,1.3,186.134669780245,0.233409303243677,219.681377327201,7.29590629868152,52.8120201821577,150.68799350055,11.0643978240106,4.82619622905499,0.290769591427772,219.914786630445
"18","3330018","33300SER",33300,"Buchenhorst","MV","","",18,NA,0,511,"SER",1,"4",NA,1,96,130,NA,1,96,77,100,"149",134,9.6,9.6,0.00723822947387089,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",100,17.62,8.11477703688087,1.3,15.749788352,0.0236626434200583,18.3727733381198,1.16532432153249,8.77931090513623,8.35754071122737,0.84619853784324,0.362548631563969,0.0271745523489737,18.3964359815398
"19","3330019","33300SER",33300,"Buchenhorst","MV","","",19,NA,0,511,"SER",1,"4",NA,1,104,130,NA,2,115,98,93,"151",136,11.5,10.4,0.0084948665353068,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",110.576923076923,17.62,8.72008553983022,1.3,23.9906711048044,0.0284942382979601,23.5561650156552,1.20037028630678,9.37275790722205,12.4920399443544,1.16894983987773,0.486542809013512,0.035874515187561,23.5846592539532
"20","3330020","33300SER",33300,"Buchenhorst","MV","","",20,NA,0,511,"SER",1,"4",NA,1,101,130,NA,2,102,88,122,"156",140,10.2,10.1,0.00801184666481737,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",100.990099009901,17.62,8.52638628529154,1.3,20.8396414060612,0.0266223566956623,20.2504023493227,1.24735574513579,9.04526246881854,9.82408584657535,0.947591903538125,0.403544320373196,0.0299178100174773,20.2770247060183
"21","3330021","33300SER",33300,"Buchenhorst","MV","","",21,NA,0,511,"SER",1,"1",NA,1,267,130,NA,5,170,95,97,"162",146,17,26.7,0.0559902496704407,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",63.6704119850187,17.62,22.639426710283,1.3,195.741583618653,0.255101605670366,231.898385139412,8.30546304340272,58.1019458817912,157.037512765712,11.4046970630795,5.05258233358873,0.301647095239848,232.153486745082
"22","3330022","33300SER",33300,"Buchenhorst","MV","","",22,NA,0,511,"SER",1,"2",NA,1,197,130,NA,3,157,121,63,"166",149,15.7,19.7,0.0304805173232916,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",79.6954314720812,17.62,16.6788736557972,1.3,99.1249083897149,0.125728735690134,111.926963876954,4.26616744336375,30.6388981504014,73.1777660964993,5.57118383113927,2.38652218142496,0.152593617488969,112.052692612644
"23","3330023","33300SER",33300,"Buchenhorst","MV","","",23,NA,0,511,"SER",1,"4",NA,1,109,130,NA,2,103,85,63,"176",158,10.3,10.9,0.00933131557932508,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",94.4954128440367,17.62,9.24401392279533,1.3,23.8824994985939,0.0317763768692504,23.6220531887202,1.48787810885425,10.2623446524995,11.7819818542653,1.07990347673862,0.464011329135312,0.033811876081409,23.6538295655894
"24","3330024","33300SER",33300,"Buchenhorst","MV","","",24,NA,0,511,"SER",1,"4",NA,1,100,130,NA,2,71,62,111,"178",160,7.1,10,0.00785398163397448,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",71,17.62,8.77633819115811,1.3,15.6519227544182,0.0260144752140874,15.0328143415025,1.69489374849208,8.93095315381582,5.28456929197454,0.547962049657115,0.250764041346424,0.0185658047085771,15.0588288167166
"25","3330025","33300SER",33300,"Buchenhorst","MV","","",25,NA,0,511,"SER",1,"3",NA,1,164,130,NA,3,137,106,59,"185",167,13.7,16.4,0.0211240690027378,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",83.5365853658537,17.62,13.923121717306,1.3,62.4607398107834,0.0820897184067102,67.9298990911083,3.09446819345137,21.4864801736695,41.675981717712,3.27099218178354,1.40303183264401,0.0934131852991206,68.011988809515
"26","3330026","33300SER",33300,"Buchenhorst","MV","","",26,NA,0,511,"SER",1,"2",NA,1,232,130,NA,4,166,128,96,"190",171,16.6,23.2,0.0422732707467043,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",71.551724137931,17.62,19.6482755109896,1.3,143.819219816016,0.183937553065371,166.981864253561,6.03279362860143,42.9770718887355,111.87114628095,8.30156258027859,3.60961460431196,0.222468899284535,167.165801806626
"27","3330027","33300SER",33300,"Buchenhorst","MV","","",27,NA,0,511,"SER",1,"4",NA,1,130,130,NA,2,112,88,75,"191",172,11.2,13,0.0132732289614169,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",86.1538461538462,17.62,11.071340389663,1.3,34.72910918457,0.0478422732144194,35.8024591658532,2.11488930806112,13.9900547958822,19.4290497510124,1.628687821363,0.705256573092659,0.0494102245028914,35.8503014390676
"28","3330028","33300SER",33300,"Buchenhorst","MV","","",28,NA,0,511,"SER",1,"2",NA,1,198,130,NA,3,161,126,89,"209",188,16.1,19.8,0.0307907495978336,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",81.3131313131313,17.62,16.7371785199103,1.3,102.026294640736,0.127218210017761,115.390463382697,4.22090655635232,30.7849499888849,76.1650521985125,5.80700906764151,2.47532356912808,0.158128558530045,115.517681592715
"29","3330029","33300SER",33300,"Buchenhorst","MV","","",29,NA,0,511,"SER",1,"3",NA,1,155,130,NA,3,135,101,124,"213",192,13.5,15.5,0.0188691908756237,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",87.0967741935484,17.62,13.141615150013,1.3,55.4548331490009,0.0719965160551383,59.6223782419432,2.73434082117006,19.2113005565784,36.2151611056763,2.88328212705825,1.2297124204984,0.0829220321318638,59.6943747579984
"30","3330030","33300SER",33300,"Buchenhorst","MV","","",30,NA,0,511,"SER",1,"1",NA,1,272,130,NA,5,177,111,113,"215",194,17.7,27.2,0.0581068977207968,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",65.0735294117647,17.62,22.9980028368127,1.3,209.485848578733,0.266362859655855,249.062761528325,8.37421669732324,59.8333983794806,170.987046328471,12.4378203872414,5.47866268148129,0.32583375165091,249.329124387981
"31","3330031","33300SER",33300,"Buchenhorst","MV","","",31,NA,0,511,"SER",1,"4",NA,1,115,130,NA,2,110,98,85,"217",195,11,11.5,0.0103868907109313,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",95.6521739130435,17.62,9.73695654624658,1.3,27.5430911438564,0.0359866741824445,27.6272261243213,1.59604664909077,11.1983367536952,14.5485374387054,1.29010094053334,0.55059088892692,0.0396601024603452,27.6632127985037
"32","3330032","33300SER",33300,"Buchenhorst","MV","","",32,NA,0,511,"SER",1,"2",NA,1,230,130,NA,4,169,101,87,"227",204,16.9,23,0.041547562843725,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",73.4782608695652,17.62,19.4492565349081,1.3,143.158995299924,0.18026859546818,166.088805407761,5.8113820873538,41.9753461488209,111.949307907836,8.33658784875822,3.60490566303125,0.222657839314833,166.269074003229
