"","plot_ID","SP_code","compartiment","B_t_plot","C_t_plot","N_t_plot","plot_A_ha","MoMok_A_ha","B_t_ha","C_t_ha","N_t_ha","B_t_MA","C_t_MA","N_t_MA","mean_D_cm","mean_H_m","N_trees_plot","plot_tot_C_t","plot_tot_N_t","plot_tot_N_trees","tot_N_trees_ha","tot_N_trees_MA","SP_N_trees_ha","SP_N_trees_MA","C_SP_share","N_SP_share","N_trees_SP_share"
"1",26010,"GFI","ag",0.00857879295516694,0.00428939647758347,4.91933724271337e-05,0.0165952432811023,0.25,0.516942885973594,0.258471442986797,0.00296430559009353,0.129235721493399,0.0646178607466993,0.000741076397523381,2.63333333333333,2.23666666666667,3,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,180.774692433477,45.1936731083693,79.0960007948602,96.2030897992184,0.25
"2",26010,"GFI","bg",0.000468972698256253,0.000234486349128126,1.94154697078089e-06,0.0165952432811023,0.25,0.0282594650956573,0.0141297325478286,0.000116994185496021,0.00706486627391432,0.00353243313695716,2.92485463740053e-05,2.63333333333333,2.23666666666667,3,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,180.774692433477,45.1936731083693,4.32390257089757,3.79691020078164,0.25
"3",26010,"GFI","f",0.00128524919776397,0.000642624598881985,1.66799640885808e-05,0.0165952432811023,0.25,0.0774468428087183,0.0387234214043591,0.00100510512597155,0.0193617107021796,0.00968085535108978,0.000251276281492886,2.63333333333333,2.23666666666667,3,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,180.774692433477,45.1936731083693,11.8499271516635,32.6195177091862,0.25
"4",26010,"GFI","stem",0.00748639381500181,0.0037431969075009,3.25134083385528e-05,0.0165952432811023,0.25,0.451116846447612,0.225558423223806,0.00195920046412198,0.112779211611903,0.0563896058059515,0.000489800116030495,2.63333333333333,2.23666666666667,3,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,180.774692433477,45.1936731083693,69.0241406030643,63.5835720900322,0.25
"5",26010,"GFI","total",0.00904776565342319,0.00452388282671159,5.11349193979145e-05,0.0165952432811023,0.25,0.545202351069251,0.272601175534626,0.00308129977558955,0.136300587767313,0.0681502938836564,0.000770324943897387,2.63333333333333,2.23666666666667,3,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,180.774692433477,45.1936731083693,83.4199033657578,100,0.25
"6",26010,"VBE","ag",0.00165205189925262,0.000826025949626309,0,0.0165952432811023,0.25,0.0995497246571778,0.0497748623285889,0,0.0248874311642945,0.0124437155821472,0,0.272222222222222,1.15,9,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,542.324077300431,135.581019325108,15.2318279528746,0,0.75
"7",26010,"VBE","bg",0.000146233915105103,7.31169575525517e-05,4.43088762768463e-07,0.0165952432811023,0.25,0.00881179700882275,0.00440589850441138,2.66997449367329e-05,0.00220294925220569,0.00110147462610284,6.67493623418324e-06,0.272222222222222,1.15,9,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,542.324077300431,135.581019325108,1.34826868136762,0.866509164354983,0.75
"8",26010,"VBE","f",0.000939458787837092,0.000469729393918546,0,0.0165952432811023,0.25,0.0566101244750591,0.0283050622375296,0,0.0141525311187648,0.00707626555938239,0,0.272222222222222,1.15,9,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,542.324077300431,135.581019325108,8.66175852685036,0,0.75
"9",26010,"VBE","stem",0.00165205189925262,0.000826025949626309,7.60109078846129e-06,0.0165952432811023,0.25,0.0995497246571778,0.0497748623285889,0.000458028283147675,0.0248874311642945,0.0124437155821472,0.000114507070786919,0.272222222222222,1.15,9,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,542.324077300431,135.581019325108,15.2318279528746,14.8647751437959,0.75
"10",26010,"VBE","total",0.00179828581435772,0.00089914290717886,0,0.0165952432811023,0.25,0.108361521666001,0.0541807608330003,0,0.0270903804165001,0.0135451902082501,0,0.272222222222222,1.15,9,0.00542302573389045,5.11349193979145e-05,12,723.098769733908,180.774692433477,542.324077300431,135.581019325108,16.5800966342422,0,0.75
"11",26020,"GFI","ag",0.00192483324257037,0.000962416621285187,2.18100450973635e-05,0.0187016811553343,0.25,0.102923006043302,0.0514615030216509,0.00116620772839679,0.0257307515108255,0.0128653757554127,0.000291551932099198,1.225,1.1125,4,0.0118406334043342,2.2186147360251e-05,36,1924.96063327075,481.240158317688,213.884514807861,53.4711287019654,8.12808393284857,98.3047878625321,0.111111111111111
"12",26020,"GFI","bg",9.08459572191984e-05,4.54229786095992e-05,3.76102262887481e-07,0.0187016811553343,0.25,0.004857635870521,0.0024288179352605,2.01106125039569e-05,0.00121440896763025,0.000607204483815125,5.02765312598923e-06,1.225,1.1125,4,0.0118406334043342,2.2186147360251e-05,36,1924.96063327075,481.240158317688,213.884514807861,53.4711287019654,0.383619499552891,1.69521213746787,0.111111111111111
"13",26020,"GFI","f",0.0013329348217963,0.000666467410898151,1.72988281172724e-05,0.0187016811553343,0.25,0.0712735294076013,0.0356367647038007,0.00092498786465185,0.0178183823519003,0.00890919117595016,0.000231246966162963,1.225,1.1125,4,0.0118406334043342,2.2186147360251e-05,36,1924.96063327075,481.240158317688,213.884514807861,53.4711287019654,5.62864661154187,77.9713027069551,0.111111111111111
