"","plot_ID","SP_group","DW_type","D_mean","L_mean","B_tot_t","C_tot_t","N_tot_t","plot_A_ha","B_tot_t_ha","C_tot_t_ha","N_tot_t_ha","C_share","N_share","B_share"
"1",26010,1,1,10.125,2.7625,0.0657104158804638,0.0328552079402319,0.000120118640229488,0.0500343869018386,1.3133051077328,0.656652553866401,0.00240072173693556,15.3206186600946,14.2472670724741,15.3206186600946
"2",26010,1,3,14,5.4,0.305529850733838,0.152764925366919,0.000617575516580732,0.0500343869018386,6.10639741290826,3.05319870645413,0.0123430215661949,71.2353782828581,73.250607110909,71.2353782828581
"3",26010,1,4,15.75,1.8,0.0576615769621505,0.0288307884810752,0.000105405362686811,0.0500343869018386,1.152438963133,0.576219481566502,0.00210665842460713,13.4440030570473,12.5021258166169,13.4440030570473
"4",26020,1,1,11.875,5.525,0.522392351659443,0.261196175829721,0.00129292107035712,0.0500343869018386,10.4406665896459,5.22033329482295,0.0258406498093736,72.3593131424032,45.4931575047582,72.3593131424032
"5",26020,1,2,16,12,0.0316187312002063,0.0158093656001032,0.000380150219555906,0.0500343869018386,0.631940014818977,0.315970007409489,0.00759777910942957,4.37967681726844,13.3760940325215,4.37967681726844
"6",26020,1,3,11.8333333333333,4.68333333333333,0.0498462556102546,0.0249231278051273,0.000155045088064183,0.0500343869018386,0.996239960090785,0.498119980045393,0.00309877061886184,6.90446712556399,5.45546883979138,6.90446712556399
"7",26020,1,4,19.4347826086957,1.18260869565217,0.118084770946439,0.0590423854732195,0.00101389578664753,0.0500343869018386,2.36007230743343,1.18003615371671,0.0202639794235247,16.3565429147643,35.6752796229289,16.3565429147643
"8",26030,1,1,9.66666666666667,3.6,0.0168413713575478,0.00842068567877391,4.16823941099309e-05,0.0500343869018386,0.336595937321837,0.168297968660919,0.000833074944871547,11.6458605335603,9.93442963689872,11.6458605335603
"9",26030,1,3,13.5,10.75,0.0841793425655831,0.0420896712827915,0.0002700030181937,0.0500343869018386,1.68242978035751,0.841214890178755,0.00539634908934556,58.2102764978349,64.3515336216384,58.2102764978349
"10",26030,1,4,21,0.24,0.0435917971834159,0.0217958985917079,0.000107889698028954,0.0500343869018386,0.871236761008738,0.435618380504369,0.00215631098349663,30.1438629686048,25.7140367414629,30.1438629686048
"11",27011,2,1,16.7058823529412,7.81764705882353,1.80135448940762,0.90067724470381,0.00146269984539899,0.0500343869018386,36.0023296166626,18.0011648083313,0.02923389164873,83.3307714333765,67.8248751729295,83.3307714333765
"12",27011,2,2,14.4,1.52,0.17566524320866,0.0878326216043298,0.000429406041755987,0.0500343869018386,3.51089029137688,1.75544514568844,0.0085822185170057,8.12628514636403,19.9114064804301,8.12628514636403
"13",27011,2,3,24.5,2.45,0.120251821690417,0.0601259108452086,0.000137985568868824,0.0500343869018386,2.403383535534,1.201691767767,0.0027578147232929,5.56285679840098,6.39834208886567,5.56285679840098
"14",27011,2,4,23.8571428571429,0.635714285714286,0.0644202894413407,0.0322101447206703,0.000126491717435229,0.0500343869018386,1.28752031213504,0.64376015606752,0.00252809568114406,2.98008662185846,5.86537625777466,2.98008662185846
"15",27040,1,4,29.5384615384615,0.269230769230769,0.0868906408518845,0.0434453204259423,0.000158836091477245,0.0500343869018386,1.7366184784547,0.868309239227348,0.00317453857861518,100,100,100
"16",29080,2,1,15.3333333333333,8.11428571428571,0.809774181349715,0.404887090674857,0.000657536635255968,0.0500343869018386,16.1843530318138,8.09217651590688,0.0131416946618328,71.0630486982595,51.1314520211721,71.0630486982595
"17",29080,2,2,12,8.46666666666667,0.0454098095968107,0.0227049047984054,0.000260757077499284,0.0500343869018386,0.907572020136856,0.453786010068428,0.0052115573637558,3.98501160580129,20.2770268338667,3.98501160580129
"18",29080,2,3,21.2727272727273,4.1,0.27143732130115,0.135718660650575,0.000322963300117414,0.0500343869018386,5.42501543655721,2.7125077182786,0.00645482677245608,23.8204230591768,25.1143154603461,23.8204230591768
"19",29080,2,4,12.8571428571429,0.628571428571429,0.0128938031086796,0.00644690155433978,4.47159240658383e-05,0.0500343869018386,0.257698832884185,0.128849416442093,0.000893703847187444,1.13151663676241,3.47720568461517,1.13151663676241
"20",29090,2,1,10.2307692307692,4.32307692307692,0.0921534525731414,0.0460767262865707,7.31698413430743e-05,0.0500343869018386,1.84180237391407,0.920901186957035,0.00146239108488777,15.7478024898032,5.30925837315083,15.7478024898032
"21",29090,2,2,14.1,7.57,0.158295245376349,0.0791476226881746,0.00094209048228729,0.0500343869018386,3.16372909069327,1.58186454534664,0.0188288603223131,27.0505574089388,68.358789489475,27.0505574089388
"22",29090,2,3,11.6666666666667,5.11666666666667,0.332621506646673,0.166310753323336,0.000361217764998232,0.0500343869018386,6.64785814802199,3.323929074011,0.00721939025068694,56.8406027584822,26.2102309933356,56.8406027584822
"23",29090,2,4,27,0.3,0.00211272891352077,0.00105636445676038,1.67750675733549e-06,0.0500343869018386,0.0422255381616984,0.0211127690808492,3.35270773003885e-05,0.361037342775788,0.121721144038582,0.361037342775788
"24",32010,1,1,13.35,2.39,0.18270670351225,0.0913533517561252,0.00045219909119282,0.0500343869018386,3.65162271041112,1.82581135520556,0.00903776620826751,66.2323534294088,48.9687288320832,66.2323534294088
"25",32010,1,4,18.7272727272727,0.636363636363636,0.05956679582692,0.02978339791346,0.000147427819671627,0.0500343869018386,1.19051715260912,0.59525857630456,0.00294652995270757,21.5933460460112,15.9649876888558,21.5933460460112
