bund_nr,bover_1,bover_2,bover_3,bover_4,auswirkung,richtungskorr,entfkorr
140001,,,,,0,-9,-9
140002,,,,,0,-9,-9
140003,,,,,0,-9,-9
140004,,,,,0,-9,-9
140005,,,,,0,-9,-9
140006,,,,,0,-9,-9
140007,,,,,0,-9,-9
140008,,,,,0,-9,-9
140009,,,,,0,-9,-9
140010,,,,,0,-9,-9
140011,,,,,0,-9,-9
140012,,,,,0,-9,-9
140013,,,,,0,-9,-9
140014,,,,,0,-9,-9
140015,,,,,0,-9,-9
140016,,,,,0,-9,-9
140017,,,,,0,-9,-9
140018,,,,,0,-9,-9
140019,,,,,0,-9,-9
140020,,,,,0,-9,-9
140021,,,,,0,-9,-9
140022,,,,,0,-9,-9
140023,,,,,0,-9,-9
140024,,,,,0,-9,-9
140025,,,,,0,-9,-9
140026,,,,,0,-9,-9
140027,,,,,0,-9,-9
140028,,,,,0,-9,-9
140029,,,,,0,-9,-9
140030,,,,,0,-9,-9
140031,,,,,0,-9,-9
140032,,,,,0,-9,-9
140033,,,,,0,-9,-9
140034,,,,,0,-9,-9
140035,,,,,0,-9,-9
140036,,,,,0,-9,-9
140037,,,,,0,-9,-9
140038,,,,,0,-9,-9
140039,,,,,0,-9,-9
140040,,,,,0,-9,-9
140041,,,,,0,-9,-9
140042,,,,,0,-9,-9
140043,,,,,0,-9,-9
140044,,,,,0,-9,-9
140045,,,,,0,-9,-9
140046,,,,,0,-9,-9
140047,,,,,0,-9,-9
140048,,,,,0,-9,-9
140049,,,,,0,-9,-9
140050,,,,,0,-9,-9
140051,,,,,0,-9,-9
140052,,,,,0,-9,-9
140053,,,,,0,-9,-9
140054,,,,,0,-9,-9
140055,,,,,0,-9,-9
140056,,,,,0,-9,-9
140057,,,,,0,-9,-9
140058,,,,,0,-9,-9
140059,,,,,0,-9,-9
140060,,,,,0,-9,-9
140061,,,,,0,-9,-9
140062,,,,,0,-9,-9
140063,,,,,0,-9,-9
140064,,,,,0,-9,-9
140065,,,,,0,-9,-9
140066,,,,,0,-9,-9
140067,,,,,0,-9,-9
140068,,,,,0,-9,-9
140089,,,,,0,-9,-9
140102,,,,,0,-9,-9
140175,,,,,0,-9,-9
140187,,,,,0,-9,-9
140234,,,,,0,-9,-9
140252,,,,,0,-9,-9
140254,,,,,0,-9,-9
140315,,,,,0,-9,-9
140316,,,,,0,-9,-9
140317,,,,,0,-9,-9
