bnr,bart,bund_nr,quirl,nadeljg,trieb,probe_nr,anmerkung
1,sbi,140001,-2,-2,1,200710107,
2,sbi,140001,-2,-2,1,200710107,
3,sbi,140001,-2,-2,1,200710107,
4,gki,140001,7,0,1,200810074,
4,gki,140001,7,+1,1,200810075,
5,gki,140001,7,0,1,200810074,
5,gki,140001,7,+1,1,200810075,
6,gki,140001,7,0,1,200810074,
6,gki,140001,7,+1,1,200810075,
1,ges,140002,-2,-2,1,200710109,
2,ges,140002,-2,-2,1,200710109,
3,ges,140002,-2,-2,1,200710109,
1,gki,140003,7,0,1,200810066,
1,gki,140003,7,+1,1,200810067,
2,gki,140003,7,0,1,200810066,
2,gki,140003,7,+1,1,200810067,
3,gki,140003,7,0,1,200810066,
3,gki,140003,7,+1,1,200810067,
4,rbu,140003,-2,-2,1,200710108,
5,rbu,140003,-2,-2,1,200710108,
6,rbu,140003,-2,-2,1,200710108,
7,gfi,140003,7,0,1,200810068,
7,gfi,140003,7,+1,1,200810069,
7,gfi,140003,7,+2,1,200810070,
8,gfi,140003,7,0,1,200810068,
8,gfi,140003,7,+1,1,200810069,
8,gfi,140003,7,+2,1,200810070,
9,gfi,140003,7,0,1,200810068,
9,gfi,140003,7,+1,1,200810069,
9,gfi,140003,7,+2,1,200810070,
1,gfi,140004,7,0,1,200810063,
1,gfi,140004,7,+1,1,200810064,
1,gfi,140004,7,+2,1,200810065,
2,gfi,140004,7,0,1,200810063,
2,gfi,140004,7,+1,1,200810064,
2,gfi,140004,7,+2,1,200810065,
3,gfi,140004,7,0,1,200810063,
3,gfi,140004,7,+1,1,200810064,
3,gfi,140004,7,+2,1,200810065,
4,rbu,140004,-2,-2,1,200710157,
5,rbu,140004,-2,-2,1,200710157,
6,rbu,140004,-2,-2,1,200710157,
1,sei,140005,-2,-2,1,200710111,
2,sei,140005,-2,-2,1,200710111,
3,sei,140005,-2,-2,1,200710111,
4,sbi,140005,-2,-2,1,200710112,
5,sbi,140005,-2,-2,1,200710112,
6,sbi,140005,-2,-2,1,200710112,
7,gfi,140005,7,0,1,200710290,
7,gfi,140005,7,+1,1,200710291,
7,gfi,140005,7,+2,1,200710292,
8,gfi,140005,7,0,1,200710290,
8,gfi,140005,7,+1,1,200710291,
8,gfi,140005,7,+2,1,200710292,
9,gfi,140005,7,0,1,200710290,
9,gfi,140005,7,+1,1,200710291,
9,gfi,140005,7,+2,1,200710292,
1,gki,140006,7,0,1,200710327,
1,gki,140006,7,+1,1,200710328,
1,gki,140006,7,+2,1,200710329,
2,gki,140006,7,0,1,200710327,
2,gki,140006,7,+1,1,200710328,
2,gki,140006,7,+2,1,200710329,
3,gki,140006,7,0,1,200710327,
3,gki,140006,7,+1,1,200710328,
3,gki,140006,7,+2,1,200710329,
1,gki,140007,7,0,1,200710304,
1,gki,140007,7,+1,1,200710305,
2,gki,140007,7,0,1,200710304,
2,gki,140007,7,+1,1,200710305,
3,gki,140007,7,0,1,200710304,
3,gki,140007,7,+1,1,200710305,
