bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist
140001,1,n,1000,-9,-9
140001,2,o,1000,-9,-9
140001,3,s,1000,-9,-9
140001,4,w,1000,-9,-9
140002,1,n,1000,-9,-9
140002,2,o,1000,-9,-9
140002,3,s,1000,-9,-9
140002,4,w,1000,-9,-9
140003,1,n,1000,-9,-9
140003,2,o,1000,-9,-9
140003,3,s,1000,-9,-9
140003,4,w,1000,-9,-9
140004,1,n,1000,-9,-9
140004,2,o,1000,-9,-9
140004,3,s,1000,-9,-9
140004,4,w,1000,-9,-9
140005,1,n,1000,-9,-9
140005,2,o,1000,-9,-9
140005,3,s,1000,-9,-9
140005,4,w,1000,-9,-9
140006,1,n,1000,-9,-9
140006,2,o,1000,-9,-9
140006,3,s,1000,-9,-9
140006,4,w,1000,-9,-9
140007,1,n,1000,-9,-9
140007,2,o,1000,-9,-9
140007,3,s,1000,-9,-9
140007,4,w,1000,-9,-9
140008,1,n,1000,-9,-9
140008,2,o,1000,-9,-9
140008,3,s,1000,-9,-9
140008,4,w,1000,-9,-9
140009,1,n,1000,-9,-9
140009,2,o,1000,-9,-9
140009,3,s,1000,-9,-9
140009,4,w,1000,-9,-9
140010,1,n,1000,-9,-9
140010,2,o,1000,-9,-9
140010,3,s,1000,-9,-9
140010,4,w,500,-9,-9
140011,1,n,1000,-9,-9
140011,2,o,1000,-9,-9
140011,3,s,1000,-9,-9
140011,4,w,1000,-9,-9
140012,1,n,1000,-9,-9
140012,2,o,1000,-9,-9
140012,3,s,1000,-9,-9
140012,4,w,1000,-9,-9
140013,1,n,1000,-9,-9
140013,2,o,1000,-9,-9
140013,3,s,1000,-9,-9
140013,4,w,1000,-9,-9
140014,1,n,1000,-9,-9
140014,2,o,1000,-9,-9
140014,3,s,1000,-9,-9
140014,4,w,1000,-9,-9
140015,1,n,1000,-9,-9
140015,2,o,1000,-9,-9
140015,3,s,1000,-9,-9
140015,4,w,1000,-9,-9
140016,1,n,1000,-9,-9
140016,2,o,1000,-9,-9
140016,3,s,1000,-9,-9
140016,4,w,1000,-9,-9
140017,1,n,1000,-9,-9
140017,2,o,1000,-9,-9
140017,3,s,1000,-9,-9
140017,4,w,1000,-9,-9
140018,1,n,1000,-9,-9
140018,2,o,1000,-9,-9
140018,3,s,1000,-9,-9
140018,4,w,1000,-9,-9
140019,1,n,1000,-9,-9
140019,2,o,1000,-9,-9
140019,3,s,1000,-9,-9
140019,4,w,1000,-9,-9
140020,1,n,1000,-9,-9
140020,2,o,1000,-9,-9
140020,3,s,1000,-9,-9
140020,4,w,1000,-9,-9
140021,1,n,1000,-9,-9
140021,2,o,1000,-9,-9
140021,3,s,1000,-9,-9
140021,4,w,1000,-9,-9
140022,1,n,1000,-9,-9
140022,2,o,1000,-9,-9
140022,3,s,1000,-9,-9
