bund_nr,nachbar,distanz,exposition
140001,15,50,no
140002,0,-2,-2
140003,0,-2,-2
140004,0,-2,-2
140005,15,50,nw
140009,13,200,nw
140015,15,300,n
140016,0,-2,-2
140017,13,150,o
140019,15,50,o
140020,15,100,so
140022,15,30,w
140023,0,-2,-2
140024,0,-2,-2
140025,15,200,o
140026,13,50,no
140027,13,50,n
140028,0,-2,-2
140029,0,-2,-2
140030,0,-2,-2
140031,0,-2,-2
140033,0,-2,-2
140034,0,-2,-2
140035,13,50,no
140036,15,100,sw
140037,3,15,no
140038,0,-2,-2
140039,0,-2,-2
140045,15,200,nw
140046,13,50,w
140047,0,-2,-2
140048,0,-2,-2
140049,0,-2,-2
140050,0,-2,-2
140051,0,-2,-2
140053,15,50,n
140054,13,500,sw
140056,15,10,o
140057,13,300,nw
140057,15,100,so
140058,0,-2,-2
140059,0,-2,-2
140062,15,300,so
140063,15,250,n
140064,0,-2,-2
140065,0,-2,-2
140067,15,30,n
140068,15,20,n
140187,14,50,no
140234,13,70,s
140252,15,200,w
