bund_nr,bodenbearb
140001,0
140002,0
140003,0
140004,0
140005,0
140006,0
140007,13
140008,13
140009,0
140010,0
140011,0
140012,0
140013,0
140014,18
140015,0
140016,0
140017,0
140018,0
140019,0
140020,13
140021,1
140022,0
140023,0
140024,13
140025,13
140026,0
140027,0
140028,0
140029,0
140030,0
140031,0
140032,13
140033,13
140034,13
140035,0
140036,0
140037,0
140038,0
140039,0
140040,0
140041,0
140042,0
140043,0
140044,0
140045,0
140046,0
140047,0
140048,0
140049,0
140050,0
140051,0
140052,0
140053,0
140054,0
140055,0
140056,13
140057,0
140058,13
140059,0
140060,0
140061,0
140062,13
140063,0
140064,13
140065,0
140066,0
140067,13
140068,13
140089,19
140102,0
140175,13
140187,0
140234,0
140252,0
140254,1
140315,0
140316,13
