bund_nr,team,datum,anmerkung
140001,Weise,2008-02-04,
140002,Weise,2007-07-17,
140003,weise,2008-02-04,
140004,weise,2008-02-04,
140005,weise,2007-11-27,
140006,weise,2007-12-03,
140007,weise,2007-11-29,
140008,weise,2007-11-29,
140009,weise,2007-12-03,
140010,weise,2007-07-30,
140011,weise,2007-12-03,
140012,weise,2007-11-28,
140013,weise,2007-11-28,
140014,weise,2007-11-29,
140015,weise,2007-11-27,
140016,weise,2008-02-05,
140017,weise,2007-11-26,
140018,weise,2007-11-26,
140019,weise,2007-07-18,
140020,weise,2007-11-27,
140021,weise,2007-11-26,
140022,weise,2007-07-18,
140023,weise,1970-01-01,
140024,weise,2007-11-26,
140025,weise,2007-11-27,
140026,weise,2007-07-26,
140027,weise,2008-02-05,
140028,weise,2007-07-27,
140029,weise,2008-02-04,
140030,weise,2008-01-18,
140031,weise,2008-01-18,
140032,weise,2008-02-05,
140033,weise,2007-12-14,
140034,weise,2008-01-14,
140035,weise,2008-01-14,
140036,weise,2008-01-14,
140037,weise,2008-01-14,
140038,weise,2008-01-15,
140039,weise,2008-01-15,
140040,weise,2008-01-16,
140041,weise,2008-01-15,
140042,weise,2008-01-16,
140043,weise,2008-01-16,
140044,weise,2008-01-16,
140045,weise,2007-12-06,
140046,weise,2008-01-16,
140047,weise,2007-12-06,
140048,weise,2007-12-06,
140049,weise,2007-12-04,
140050,weise,2007-12-04,
140051,weise,2007-12-05,
140052,weise,2007-12-04,
140053,weise,2007-12-04,
140054,weise,2007-12-14,
140055,weise,2007-12-14,
140056,weise,2007-11-30,
140057,weise,2007-11-29,
140058,weise,2007-11-30,
140059,weise,2008-01-17,
140060,weise,2007-07-25,
140061,weise,2007-12-13,
140062,weise,2007-12-13,
140063,weise,2007-12-13,
140064,weise,2007-12-13,
140065,weise,2007-07-25,
140066,weise,2008-01-17,
140067,weise,2008-01-17,
140068,weise,2008-01-17,
140089,weise,2007-11-28,
140102,weise,2007-11-29,
140175,weise,2008-01-15,
140187,weise,2007-12-12,
140234,weise,2007-12-04,
140252,weise,2007-12-04,
140254,weise,1970-01-01,
140315,weise,2007-12-04,
140316,weise,2007-07-24,
