bund_nr,ld_bze,bwi_tnr,bwi_eck,team,datum,srid_ist,istre,istho,hbi_status,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,geraet,beschreibungbestockung,anmerkung
140001,3,,,,1970-01-01,31468,4691525,5636037,-9,1,7,2,4,3,3,-9,-9,-9,-9,,"BG Stirnseite: 2,83m; 110 GON Ost
WZEZ: Baum 3
Achtung: Alt-Pinkokkio steckt noch in Stirnseite, hangaufwärts"
140002,6,,,,1970-01-01,31468,4699985,5652051,-9,1,8,2,2,6,3,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,95m; 184 GON
WZEZ: Baum 1"
140003,8,,,,1970-01-01,31468,4692250,5660047,-9,1,6,1,2,-9,3,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,81m; 345 GON
WZEZ: Baum 11"
140004,14,,,,1970-01-01,31468,4676486,5668515,-9,1,6,1,2,-9,2,-9,-9,-9,-9,,"Bodengrube Stirnseite: 1,92m; 185 GON
WZEZ: Baum 3"
140005,27,,,,1970-01-01,31468,4660893,5685048,-9,1,7,1,2,-9,2,-9,-9,-9,-9,,
140006,29,,,,1970-01-01,31468,4685254,5692342,-9,1,1,1,2,-9,1,-9,-9,-9,-9,,
140007,33,,,,1970-01-01,31468,4692874,5684003,-9,1,6,1,5,-9,3,-9,-9,-9,-9,,
140008,44,,,,1970-01-01,31468,4701319,5691758,-9,1,2,1,2,-9,1,-9,-9,-9,-9,,
140009,47,,,,1970-01-01,31468,4685898,5716208,-9,1,2,1,2,-9,2,-9,-9,-9,-9,begonnene Harzung bei stärkeren Kiefern am Stammfuss alt,
140010,50,,,,1970-01-01,31468,4685722,5708291,-9,1,8,1,3,-9,2,-9,-9,-9,-9,,
140011,56,,,,1970-01-01,31468,4677707,5708413,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Vorfeldbereich Tagebau Nochten; besucht am:11.05.2012,
140012,61,,,,1970-01-01,31468,4669288,5692750,-9,1,2,1,4,-9,1,-9,-9,-9,-9,gezäunt,
140013,68,,,,1970-01-01,31468,4669641,5708583,-9,1,2,1,2,-9,1,-9,-9,-9,-9,,
140014,71,,,,1970-01-01,31468,4661544,5700943,-9,1,2,1,2,-9,1,-9,-9,-9,-9,,
140015,79,,,,1970-01-01,31468,4645558,5701389,-9,1,2,1,2,-9,1,-9,-9,-9,-9,,
140016,86,,,,1970-01-01,31468,4651740,5646333,-9,1,6,2,2,4,2,-9,-9,-9,-9,,
140017,89,,,,1970-01-01,31468,4628748,5677979,-9,1,6,1,2,-9,3,-9,-9,-9,-9,,"Lage Profilgrube: 330° NW; 2,35m
Lage zum WZEZ: 195° SSW; 2,0m (Baum 27)"
140018,90,,,,1970-01-01,31468,4636763,5677806,-9,1,2,1,2,-9,2,-9,-9,-9,-9,,
140019,91,,,,1970-01-01,31468,4645007,5685500,-9,1,5,2,3,2,2,-9,-9,-9,-9,,
140020,93,,,,1970-01-01,31468,4653291,5693207,-9,1,2,1,1,-9,1,-9,-9,-9,-9,,
140021,95,,,,1970-01-01,31468,4628297,5662045,-9,1,2,2,4,5,2,-9,-9,-9,-9,,"BG: 55 Gon NO; 3,40 m, WZEZ: keiner, da BZE-Punkt verlegt wurde.
Bodenbearbeitung bis 30 cm"
140022,99,,,,1970-01-01,31468,4636320,5661672,-9,1,8,1,3,-9,2,-9,-9,-9,-9,,"Nachbarschaften: 15, 50 m, SS; 15, 150m, NN"
140023,101,,,,1970-01-01,31468,4612267,5662443,-9,1,8,1,2,-9,2,-9,-9,-9,-9,,
140024,103,,,,1970-01-01,31468,4612492,5670409,-9,1,2,1,2,-9,1,-9,-9,-9,-9,,
140025,113,,,,1970-01-01,31468,4605239,5694834,-9,1,2,1,2,-9,2,-9,-9,-9,-9,,
140026,114,,,,1970-01-01,31468,4627849,5646012,-9,1,8,1,2,-9,2,-9,-9,-9,-9,,"Bodengrube Stirnseite: 1,78m; 140 GON
WZEZ: Baum 2; 5,69m/213 GON"
140027,118,,,,1970-01-01,31468,4643885,5645513,-9,1,1,1,2,-9,2,-9,-9,-9,-9,,"Lage Bodengrube: 252 GON; 2,75m; WZEZ fehlt"
140028,123,,,,1970-01-01,31468,4651578,5637267,-9,1,3,1,4,-9,1,-9,-9,-9,-9,,"Bodengrube hangaufwärts.
WZEZ: Baum 31; 3,81m"
140029,128,,,,1970-01-01,31468,4660275,5660946,-9,1,6,1,2,-9,3,-9,-9,-9,-9,,"Bodengrube Stirnseite:3,60m; 125 GON
WZEZ: ?"
140030,132,,,,1970-01-01,31468,4659773,5645008,-9,1,2,1,3,-9,3,-9,-9,-9,-9,,"4.,5. und 6. Satellit: Abgrund"
140031,134,,,,1970-01-01,31468,4667837,5644886,-9,1,1,1,2,-9,2,-9,-9,-9,-9,,
140032,139,,,,1970-01-01,31468,4644062,5653478,-9,1,6,1,1,-9,3,-9,-9,-9,-9,,
140033,144,,,,1970-01-01,31468,4603800,5646700,-9,1,1,1,6,-9,2,-9,-9,-9,-9,,
140034,147,,,,1970-01-01,31468,4611592,5638445,-9,1,1,1,6,-9,1,-9,-9,-9,-9,Unterflurmarke lag in Bodengrube; an Stirnseite der Grube wieder gesetzt.,"Bodengrube Stirnseite: hangaufwärts; muss bei Wdh. verlegt werden
WZEZ: Baum 13"
140035,151,,,,1970-01-01,31468,4619156,5622237,-9,1,1,1,6,-9,3,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,44m;72 GON
WZEZ: Baum 1"
140036,152,,,,1970-01-01,31468,4619381,5630254,-9,1,1,1,3,-9,1,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,28m; 35 GON
WZEZ: Baum 21"
140037,160,,,,1970-01-01,31468,4611088,5622511,-9,1,1,1,2,-9,1,-9,-9,-9,-9,alte Schälschäden,"Bodengrube Stirnseite: 3,30m; 100 GON
WZEZ: Baum 8; 2,32m, 200 GON"
140038,174,,,,1970-01-01,31468,4586700,5607200,-9,1,1,1,4,-9,1,-9,-9,-9,-9,"Unterflurmarke nicht vorhanden. Mittelpunkt nur durch Stäbchen markiert
Entfernung vom Zentralbaum (WZE-Nr. 174) 8,55m; Azimut 239 gon
+ WZE-Baum Nr. 36 Entfernung 10,35m; Azimut 98 gon
Inventur BZE 2 2011: Baumplotnummer 22 entspricht WZE-Baum32","Alte Bodengrube Stirnseite: 5,70m; 285 GON. Sturmwurf; durch rausgerissenen Wurzelteller zerstörte Bodengrube NACH Beprobung.
Neue, bei BZE III anzulegende Bodengrube Stirnseite: ca 2m; 365 GON. Bestandesbeschreibung an dieser neuen Position erfolgt."
140039,176,,,,1970-01-01,31468,4578850,5607400,-9,1,1,1,4,-9,1,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,40m; 122 GON
WZEZ: Baum 12 (verm. Neuer WZEZ; alter Zentralbaum abgestorben: 0,70cm, 316 GON)"
140040,184,,,,1970-01-01,31468,4570300,5591700,-9,1,1,1,4,-9,1,-9,-9,-9,-9,Frisch durchforstet,"Bodengrube Stirnseite: 3,05m; 260 GON
WZEZ: Baum 16"
140041,186,,,,1970-01-01,31468,4578500,5599550,-9,1,1,1,5,-9,1,-9,-9,-9,-9,,"Bodengrube Stirnseite: 3,72m; 340 GON
WZEZ: nicht vorhanden"
140042,191,,,,1970-01-01,31468,4562800,5608000,-9,1,1,1,3,-9,1,-9,-9,-9,-9,,"Bodengrube Stirnseite: 3,32m; 92 GON
WZEZ: Baum 5"
140043,194,,,,1970-01-01,31468,4554800,5608250,-9,1,6,1,1,-9,3,-9,-9,-9,-9,"keine Bodebgrube mehr  vorhanden. 
Messung bei Pinnoccio 2 (Zentralbaum Nr. 194 bzw. WZE Nr. 19 Rbu  Entfernung 324cm Azimut 135gon)","Bodengrube Stirnseite: 2,30m; 190 GON
WZEZ: Baum 12
Grube muss künftig verlegt werden um 3,25m hangparallel, 294 gon westwärts (pinokkio1 alt zu pinokkio2 neu)  wegen Rückegasse und Altbaum an Strinseite."
140044,198,,,,1970-01-01,31468,4562200,5592000,-9,1,1,1,2,-9,1,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,90m; 175 GON
WZEZ: kein"
140045,200,,,,1970-01-01,31468,4554200,5592300,-9,1,1,1,3,-9,2,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,40m; 130 GON
WZEZ: Baum 22"
140046,205,,,,1970-01-01,31468,4546500,5600550,-9,1,1,1,1,-9,3,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,00 m; 300 GON
WZEZ: Baum 10"
140047,209,,,,1970-01-01,31468,4546200,5592500,-9,1,1,2,4,2,1,-9,-9,-9,-9,,"Bodengrube Stirnseite: 1,25m; 330 GON
WZEZ: Baum 9,47m, 27 GON"
140048,212,,,,1970-01-01,31468,4538250,5592800,-9,1,1,1,6,-9,3,-9,-9,-9,-9,,"Mikrorelief von Hügeln und Senken, ca. 30 cm Höhenunterschied"
140049,218,,,,1970-01-01,31468,4530000,5585000,-9,1,1,1,1,-9,1,-9,-9,-9,-9,,
140050,228,,,,1970-01-01,31468,4529800,5577000,-9,1,1,1,5,-9,2,-9,-9,-9,-9,noch nicht aufgearbeiteter Schnebruch/-wurf aus Winter 2010/2011,"Bodengrube Stirnseite: 1,68m; 165 GON
WZEZ: 6,89m/388 GON GFI"
140051,231,,,,1970-01-01,31468,4521400,5561300,-9,1,1,1,2,-9,1,-9,-9,-9,-9,,"Bodengrube Stirnseite: 3,20m; 58 GON
WZEZ: Baum 9"
140052,233,,,,1970-01-01,31468,4521800,5577200,-9,1,1,1,2,-9,2,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,82m; 250 GON
WZEZ: kein"
140053,242,,,,1970-01-01,31468,4514350,5593450,-9,1,6,1,4,-9,3,-9,-9,-9,-9,,
140054,243,,,,1970-01-01,31468,4588000,5655150,-9,1,1,1,1,-9,2,-9,-9,-9,-9,,
140055,248,,,,1970-01-01,31468,4587700,5639200,-9,1,1,1,2,-9,3,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,85m; 260 GON
WZEZ: Baum 1"
140056,250,,,,1970-01-01,31468,4555200,5624200,-9,1,1,1,1,-9,7,-9,-9,-9,-9,,"Bodengrube Stirnseite: 3,01m; 133 GON
WZEZ: Baum 4"
140057,252,,,,1970-01-01,31468,4555500,5632200,-9,1,1,1,1,-9,2,-9,-9,-9,-9,,
140058,255,,,,1970-01-01,31468,4547500,5632500,-9,1,1,1,1,-9,2,-9,-9,-9,-9,,
