bund_nr,ort,lfd_nr,gewicht,laenge,durchmesser
130010,1,1,-2,4,2
130010,1,2,-2,1,2
130010,3,1,-2,8,2
130013,3,1,-2,6,3
130014,1,1,-2,12,8
130014,2,1,-2,3,2
130014,3,1,-2,2,3
130014,3,2,-2,4,4
130017,1,1,-2,3,2
130017,1,2,-2,8,6
130017,2,1,-2,6,3
130017,2,2,-2,3,4
130022,1,1,-2,2,2
130022,3,1,-2,4,2
130022,3,2,-2,2,2
130023,1,1,-2,2,3
130023,2,1,-2,2,3
130023,2,2,-2,4,4
130023,2,3,-2,4,2
130023,2,4,-2,5,2
130023,3,1,-2,4,2
130023,3,2,-2,3,2
130026,1,1,-2,10,3
130026,3,1,-2,3,2
130027,2,1,-2,30,4
130027,3,1,-2,60,4
130027,3,2,-2,60,4
130027,3,3,-2,50,3
130027,3,4,-2,100,3
130028,2,1,-2,3,3
130028,3,1,-2,3,2.5
130029,1,1,-2,10,9
130029,1,2,-2,1,3
130029,2,1,-2,5,6
130029,3,1,-2,10,7
130029,3,2,-2,4,3
130029,3,3,-2,2,6
130032,1,1,-2,20,2
130032,1,2,-2,50,4
130032,1,3,-2,40,4
130032,1,4,-2,40,7
130032,2,1,-2,40,2
130032,2,2,-2,30,4
130032,2,3,-2,80,3
130032,3,1,-2,20,2
130032,3,2,-2,10,6
130033,2,1,-2,2,5
130033,3,1,-2,6,4
130033,3,2,-2,8,3
130033,3,3,-2,3,2
130033,3,4,-2,2,6
130036,1,1,-2,30,2
130036,1,2,-2,20,2
130036,1,3,-2,20,8
130036,2,1,-2,20,3
130036,3,1,-2,70,6
130037,1,1,-2,50,3
130037,1,2,-2,50,5
130037,2,1,-2,40,3
130039,2,1,-2,6,3
130039,2,2,-2,4,3
130039,2,3,-2,6,6
130039,3,1,-2,10,8
130039,3,1,-2,4,3
130039,3,2,-2,5,3
130042,3,1,-2,1,3
130046,2,1,-2,30,3
130046,3,1,-2,40,2
130047,1,1,-2,4,2
130047,2,1,-2,5,10
130047,2,2,-2,5,8
130047,3,1,-2,6,2
130047,3,2,-2,10,3
130048,2,1,-2,3,2
130048,2,2,-2,7,4
130048,2,3,-2,10,7
130048,3,1,-2,6,3
130048,3,2,-2,9,4
130048,3,3,-2,4,3
130050,2,1,-2,3,2
130051,1,1,-2,60,2
130051,2,1,-2,30,3
130056,1,1,-2,80,3
130056,2,1,-2,70,6
130056,2,2,-2,40,3
130056,2,3,-2,50,3
130057,1,1,-2,40,3
130057,1,2,-2,40,4
130057,1,3,-2,40,2
130057,1,4,-2,50,3
130057,2,1,-2,20,3
130057,2,2,-2,40,3
130057,3,1,-2,100,3
130057,3,2,-2,80,2
130057,3,3,-2,70,8
130057,3,4,-2,20,3
130057,3,5,-2,40,3
130059,3,1,-2,60,4
130060,1,1,-2,10,8
130060,1,2,-2,5,8
130060,2,1,-2,4,2
130061,1,1,-2,2,3
130061,3,1,-2,6,2
130061,3,2,-2,5,3
130061,3,3,-2,5,4
130069,1,1,-2,7,2.4
130069,1,2,-2,8,3.2
130069,3,1,-2,6,2.7
130069,3,2,-2,5,3.6
130070,2,1,-2,2,2
130070,3,1,-2,2,2
130070,3,2,-2,3,4
130071,2,1,-2,3,2
130071,2,2,-2,3,2
130071,2,3,-2,1,2
130071,3,1,-2,10,3
130071,3,2,-2,7,3
130071,3,3,-2,9,2
130072,2,1,-2,9,5
130072,2,2,-2,10,4
130072,2,3,-2,4,5
130072,3,1,-2,10,9
130074,1,1,-2,6,2
130074,1,2,-2,4,2.2
130074,1,3,-2,5,2.5
130074,1,4,-2,4,9.5
130074,1,5,-2,12,3.7
130074,2,1,-2,2,2.3
130074,2,2,-2,5,2.7
130074,2,3,-2,3,2
130074,3,1,-2,3,2
130074,3,2,-2,6,8.5
130074,3,3,-2,11,6.7
130075,1,1,-2,1.5,2.2
130075,1,2,-2,1.8,2.7
130075,1,3,-2,0.1,2.4
130075,2,1,-2,4.5,2
130075,3,1,-2,6,2.4
130075,3,2,-2,6.5,2.6
130076,1,1,-2,3.5,2.3
130076,1,2,-2,9,3.6
130076,1,3,-2,11,5.1
130076,1,4,-2,5,2.2
130076,1,5,-2,4,4.7
130076,2,1,-2,1.7,2.6
130076,2,2,-2,0.8,2.8
130076,2,3,-2,3,2.9
130076,2,4,-2,1.7,2.6
130077,1,1,-2,6,6
130077,2,1,-2,5,2.1
130077,3,1,-2,9,3
130077,3,2,-2,6,2.2
130077,3,3,-2,3,2
130077,3,4,-2,5,3
130078,1,1,-2,9,4
130078,1,2,-2,7,3.7
130078,2,1,-2,2,4.5
130078,3,1,-2,2,2.5
130078,3,2,-2,1,3.5
130079,1,1,-2,4,2.1
130079,1,2,-2,3,2.2
130079,1,3,-2,3,2.3
130079,1,4,-2,2,8.5
130079,2,1,-2,3,3.6
130079,3,1,-2,10,7.5
130079,3,2,-2,4,3.2
130080,2,1,-2,2,3
130080,2,2,-2,9,4
130080,2,3,-2,4,2.5
130080,2,4,-2,2,2.5
130080,3,1,-2,2,3
130080,3,2,-2,3,2
130081,1,1,-2,4,3
130081,3,1,-2,5,8
130081,3,2,-2,8,3
130081,3,3,-2,5,2
130081,3,4,-2,4,3
130081,3,5,-2,6,2
130082,1,1,-2,86,2.2
130082,2,1,-2,11,3
130083,3,1,-2,3,2
130084,1,1,-2,3,2
130084,2,1,-2,3,4
130084,2,2,-2,3,4
130084,2,3,-2,2,2
130084,3,1,-2,5,4
130084,3,2,-2,2,2
130088,2,1,-2,2,2
130088,3,1,-2,3,5
130064,1,1,-2,4,6
130064,1,2,-2,8,6
130064,1,3,-2,4,5
130064,2,1,-2,4,4
130064,2,2,-2,6,3
130064,2,3,-2,3,2
130064,3,1,-2,6,3
130064,3,2,-2,4,3
130064,3,3,-2,10,5
