"";"bfhnr";"lfdnr";"ort";"bart";"schi";"bhd";"hori";"azi";"hoehe";"alter";"roid";"fadd"
"1";10001;1;9;"RBu";1;292;168;105;263;47;1;2013-06-19 10:11:40
"2";10001;2;9;"RBu";2;71;635;110;NA;25;2;2013-06-19 10:11:40
"3";10001;3;9;"RBu";2;103;839;135;147;25;3;2013-06-19 10:11:40
"4";10001;4;9;"RBu";1;317;780;136;NA;47;4;2013-06-19 10:11:40
"5";10001;5;9;"RBu";1;339;1105;145;NA;47;5;2013-06-19 10:11:40
"6";10001;6;9;"RBu";1;268;382;173;NA;47;6;2013-06-19 10:11:40
"7";10001;7;9;"RBu";2;72;1108;203;NA;25;7;2013-06-19 10:11:40
"8";10001;8;9;"RBu";1;218;860;245;NA;47;8;2013-06-19 10:11:40
"9";10001;9;9;"RBu";2;100;985;264;NA;25;9;2013-06-19 10:11:40
"10";10001;10;9;"RBu";2;74;781;301;NA;25;10;2013-06-19 10:11:40
"11";10001;11;9;"RBu";2;103;292;302;NA;25;11;2013-06-19 10:11:40
"12";10001;12;9;"ELa";1;478;1001;312;NA;47;12;2013-06-19 10:11:40
"13";10001;13;9;"RBu";1;357;431;323;298;47;13;2013-06-19 10:11:40
"14";10001;14;9;"RBu";2;129;869;337;NA;30;14;2013-06-19 10:11:40
"15";10001;15;9;"RBu";2;80;1046;353;NA;25;15;2013-06-19 10:11:40
"16";10001;16;9;"RBu";2;75;970;357;NA;25;16;2013-06-19 10:11:40
"17";10001;17;9;"RBu";2;100;563;362;NA;25;17;2013-06-19 10:11:40
"18";10001;18;9;"SEi";1;286;844;373;249;47;18;2013-06-19 10:11:40
"19";10001;19;9;"RBu";2;157;916;380;NA;35;19;2013-06-19 10:11:40
"20";10001;20;9;"RBu";2;105;979;381;NA;30;20;2013-06-19 10:11:40
"21";10001;21;9;"RBu";2;115;878;383;NA;30;21;2013-06-19 10:11:40
"22";10001;22;9;"RBu";2;85;899;386;NA;30;22;2013-06-19 10:11:40
"23";10001;23;9;"RBu";2;136;847;388;NA;35;23;2013-06-19 10:11:40
"24";10001;24;9;"ELa";1;558;728;389;NA;47;24;2013-06-19 10:11:40
"25";10001;25;9;"RBu";2;127;847;390;NA;35;25;2013-06-19 10:11:40
"26";10001;26;9;"RBu";1;171;989;94;NA;47;26;2013-06-19 10:11:40
"27";10001;27;9;"RBu";2;88;447;97;132;30;27;2013-06-19 10:11:40
"28";10001;28;9;"ELa";1;452;834;101;NA;47;28;2013-06-19 10:11:40
"29";10001;29;9;"ELa";1;507;2256;210;315;47;29;2013-06-19 10:11:40
"30";10001;30;9;"ELa";1;504;1514;283;332;47;30;2013-06-19 10:11:40
"31";10001;31;9;"ELa";1;510;2226;25;NA;47;31;2013-06-19 10:11:40
"32";10002;1;9;"JLa";1;180;134;105;NA;54;32;2013-06-19 10:11:40
"33";10002;2;9;"GKi";1;275;960;117;NA;54;33;2013-06-19 10:11:40
"34";10002;3;9;"GKi";1;246;999;128;NA;54;34;2013-06-19 10:11:40
"35";10002;4;9;"SBi";1;192;828;136;219;50;35;2013-06-19 10:11:40
"36";10002;5;9;"Wei";3;97;914;140;100;20;36;2013-06-19 10:11:40
"37";10002;6;9;"GKi";1;252;759;143;NA;54;37;2013-06-19 10:11:40
"38";10002;7;9;"SBi";3;102;211;153;110;25;38;2013-06-19 10:11:40
"39";10002;8;9;"GKi";1;238;999;157;NA;54;39;2013-06-19 10:11:40
"40";10002;9;9;"GKi";1;367;592;171;246;54;40;2013-06-19 10:11:40
"41";10002;10;9;"GKi";1;276;602;184;NA;54;41;2013-06-19 10:11:40
"42";10002;11;9;"GKi";1;221;805;194;230;54;42;2013-06-19 10:11:40
"43";10002;12;9;"JLa";1;268;255;211;NA;54;43;2013-06-19 10:11:40
"44";10002;13;9;"JLa";1;274;671;244;NA;54;44;2013-06-19 10:11:40
"45";10002;14;9;"JLa";1;243;926;249;NA;54;45;2013-06-19 10:11:40
"46";10002;15;9;"JLa";1;286;1127;267;NA;54;46;2013-06-19 10:11:40
"47";10002;16;9;"JLa";1;263;378;276;246;54;47;2013-06-19 10:11:40
"48";10002;17;9;"GKi";1;416;656;296;NA;54;48;2013-06-19 10:11:40
"49";10002;18;9;"JLa";1;171;987;311;NA;54;49;2013-06-19 10:11:40
"50";10002;19;9;"JLa";1;175;917;316;NA;54;50;2013-06-19 10:11:40
"51";10002;20;9;"JLa";1;233;214;336;NA;54;51;2013-06-19 10:11:40
"52";10002;21;9;"JLa";1;299;566;336;NA;54;52;2013-06-19 10:11:40
"53";10002;22;9;"JLa";1;305;1031;343;NA;54;53;2013-06-19 10:11:40
"54";10002;23;9;"JLa";1;176;1035;377;NA;54;54;2013-06-19 10:11:40
"55";10002;24;9;"JLa";1;218;678;382;NA;54;55;2013-06-19 10:11:40
"56";10002;25;9;"JLa";1;155;867;385;NA;54;56;2013-06-19 10:11:40
"57";10002;26;9;"JLa";1;198;733;394;NA;54;57;2013-06-19 10:11:40
"58";10002;27;9;"JLa";1;214;929;397;NA;54;58;2013-06-19 10:11:40
"59";10002;28;9;"JLa";1;266;247;1;NA;54;59;2013-06-19 10:11:40
"60";10002;29;9;"SBi";3;92;924;7;NA;20;60;2013-06-19 10:11:40
"61";10002;30;9;"JLa";1;302;826;7;NA;54;61;2013-06-19 10:11:40
"62";10002;31;9;"JLa";1;253;812;49;NA;54;62;2013-06-19 10:11:40
"63";10002;32;9;"JLa";1;272;384;52;NA;54;63;2013-06-19 10:11:40
"64";10002;33;9;"JLa";1;224;646;60;241;54;64;2013-06-19 10:11:40
"65";10002;34;9;"JLa";1;288;1086;61;NA;54;65;2013-06-19 10:11:40
"66";10002;35;9;"SBi";3;75;1000;77;81;15;66;2013-06-19 10:11:40
"67";10003;1;9;"GFi";1;590;356;160;NA;142;67;2013-06-19 10:11:40
"68";10003;2;9;"RBu";3;126;1082;202;NA;30;68;2013-06-19 10:11:40
"69";10003;3;9;"GFi";1;446;513;210;NA;142;69;2013-06-19 10:11:40
"70";10003;4;9;"RBu";3;94;977;236;NA;25;70;2013-06-19 10:11:40
"71";10003;5;9;"RBu";3;123;758;235;NA;30;71;2013-06-19 10:11:40
"72";10003;6;9;"GKi";1;386;915;239;NA;90;72;2013-06-19 10:11:40
"73";10003;7;9;"GFi";1;726;1111;388;NA;142;73;2013-06-19 10:11:40
"74";10003;8;9;"GKi";1;468;892;1;NA;142;74;2013-06-19 10:11:40
"75";10003;9;9;"GFi";1;484;524;41;341;142;75;2013-06-19 10:11:40
"76";10003;10;9;"GKi";1;586;882;60;351;142;76;2013-06-19 10:11:40
"77";10003;11;9;"SBi";3;146;803;141;151;25;77;2013-06-19 10:11:40
"78";10003;12;9;"SBi";3;143;784;142;121;25;78;2013-06-19 10:11:40
"79";10003;13;9;"RBu";3;102;977;149;126;30;79;2013-06-19 10:11:40
"80";10003;14;9;"RBu";3;74;725;150;95;25;80;2013-06-19 10:11:40
"81";10003;15;9;"GFi";1;538;2154;203;NA;142;81;2013-06-19 10:11:40
"82";10003;16;9;"RBu";1;738;1937;249;356;142;82;2013-06-19 10:11:40
"83";10003;17;9;"RBu";1;577;2440;285;NA;142;83;2013-06-19 10:11:40
"84";10003;18;9;"GFi";1;535;1483;304;NA;142;84;2013-06-19 10:11:40
