Messtiefe_cm;pH_Wert;Plot;MoMoK_Nr;method;
55;4,01;SN-EM;34010;F;
70;4,04;SN-EM;34010;F;
75;4,56;SN-EM;34010;F;
80;4,92;SN-EM;34010;F;
90;5,52;SN-EM;34010;F;
100;5,7;SN-EM;34010;F;
110;5,63;SN-EM;34010;F;
120;5,61;SN-EM;34010;F;
4;2,71;SN-FH;34020;F;
17;2,71;SN-FH;34020;F;
30;2,73;SN-FH;34020;F;
50;2,84;SN-FH;34020;F;
75;2,94;SN-FH;34020;F;
100;3,1;SN-FH;34020;F;
125;3,11;SN-FH;34020;F;
150;3,53;SN-FH;34020;F;
175;2,88;SN-FH;34020;F;
200;3,24;SN-FH;34020;F;
225;3,23;SN-FH;34020;F;
250;3,55;SN-FH;34020;F;
275;3,1;SN-FH;34020;F;
300;3,77;SN-FH;34020;F;
325;3,52;SN-FH;34020;F;
350;3,57;SN-FH;34020;F;
10;2,86;SN-MB;34030;F;0-10
15;2,77;SN-MB;34030;F;
32;2,92;SN-MB;34030;F;
45;2,89;SN-MB;34030;F;
60;3,23;SN-MB;34030;F;
75;3,21;SN-MB;34030;F;
88;3,7;SN-MB;34030;F;
97;4,74;SN-MB;34030;F;
;3,79;SN-KS;34040;F;
18;2,7;SN-KS;34040;F;
22;2,67;SN-KS;34040;F;
28;2,62;SN-KS;34040;F;
32;2,74;SN-KS;34040;F;
44;2,92;SN-KS;34040;F;
61;3,44;SN-KS;34040;F;
70;3,82;SN-KS;34040;F;
81;4,71;SN-KS;34040;F;
92;4,5;SN-KS;34040;F;
2;2,78;BY-FW;29080;F;
5;2,66;BY-FW;29080;F;
10;2,92;BY-FW;29080;F;
20;3,1;BY-FW;29080;F;
30;3,29;BY-FW;29080;F;
50;3,7;BY-FW;29080;F;
70;4,02;BY-FW;29080;F;
90;3,77;BY-FW;29080;F;
110;4,03;BY-FW;29080;F;
130;4,29;BY-FW;29080;F;
150;4,53;BY-FW;29080;F;
163;4,9;BY-FW;29080;F;
3;3,33;BY-KF;29090;F;
20;2,97;BY-KF;29090;F;
30;3,54;BY-KF;29090;F;
40;2,97;BY-KF;29090;F;
50;3,13;BY-KF;29090;F;
60;3;BY-KF;29090;F;
70;2,85;BY-KF;29090;F;
