"";"MoMoK_Nr";"Name";"Bundeland";"Datum";"Nr_VJ_PK";"Lage";"Distanz MB [cm]";"pk_maxdist [cm]";"LfdNr";"Baumart (Code)";"Baumart";"Hoehe [cm]";"grklasse"
"45";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"N";"Nord";1000;280;8;207;"GFI";60;0
"46";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"N";"Nord";1000;280;9;207;"GFI";33;0
"47";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"N";"Nord";1000;280;10;207;"GFI";21;0
"48";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"O";"Ost";1000;400;1;207;"GFI";29;0
"49";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"O";"Ost";1000;400;2;121;"VBE";58;0
"50";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"O";"Ost";1000;400;3;207;"GFI";67;0
"51";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"O";"Ost";1000;400;4;207;"GFI";37;0
"52";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"O";"Ost";1000;400;5;207;"GFI";315;1
"53";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"O";"Ost";1000;400;6;121;"VBE";47;0
"54";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"S";"Süd";1000;290;1;121;"VBE";21;0
"55";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"S";"Süd";1000;290;2;121;"VBE";20;0
"56";34010;"Gr. Eisenstraßenmoor/Johanngeorgenstadt";"SN";2021-10-13;"W";"West";1000;350;1;121;"VBE";37;0
"57";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"S";"Süd";800;445;1;104;"SER";52;0
"58";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"S";"Süd";800;445;2;104;"SER";59;0
"59";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"N";"Nord";800;409;1;104;"SER";47;0
"60";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"N";"Nord";800;409;2;104;"SER";77;0
"61";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"N";"Nord";800;409;3;104;"SER";70;0
"62";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"N";"Nord";800;409;4;104;"SER";160;1
"63";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"N";"Nord";800;409;5;NA;"SHO";126;0
"64";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"E";"Ost";800;489;1;104;"SER";51;0
"65";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"E";"Ost";800;489;2;104;"SER";22;0
"66";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"E";"Ost";800;489;3;104;"SER";95;0
"67";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"E";"Ost";800;489;4;104;"SER";180;1
"68";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"E";"Ost";800;489;5;104;"SER";310;1
"69";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"W";"West";800;125;1;104;"SER";102;1
"70";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"N";"Nord";1000;389;1;108;"MBI";430;2
"71";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"N";"Nord";1000;389;2;108;"MBI";460;3
"72";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"N";"Nord";1000;389;3;108;"MBI";160;1
"73";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"N";"Nord";1000;389;4;108;"MBI";156;1
"74";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"N";"Nord";1000;389;5;108;"MBI";225;1
"75";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"N";"Nord";1000;389;6;108;"MBI";480;2
"76";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;1;108;"MBI";230;1
"77";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;2;108;"MBI";430;1
"78";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;3;108;"MBI";230;1
"79";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;4;108;"MBI";315;1
"80";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;5;108;"MBI";188;1
"81";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;6;108;"MBI";315;1
"82";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;7;108;"MBI";350;1
"83";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;8;108;"MBI";185;1
"84";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;9;108;"MBI";380;1
"85";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"E";"Ost";1000;320;10;108;"MBI";670;3
"86";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;1;108;"MBI";375;1
"87";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;2;108;"MBI";330;1
"88";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;3;108;"MBI";420;1
"89";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;4;108;"MBI";500;2
"90";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;5;108;"MBI";250;1
"91";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;6;108;"MBI";740;3
"92";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;7;108;"MBI";730;3
"93";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;8;108;"MBI";138;1
"94";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;9;108;"MBI";305;1
"95";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"S";"Süd";1000;461;10;108;"MBI";290;1
"96";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;1;108;"MBI";67;0
"97";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;2;108;"MBI";185;1
"98";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;3;108;"MBI";220;1
"99";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;4;108;"MBI";115;0
"100";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;5;108;"MBI";110;0
"101";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;6;108;"MBI";220;1
"102";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;7;108;"MBI";220;1
"103";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;8;108;"MBI";255;1
"104";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;9;108;"MBI";225;1
"105";32050;"Stromtrasse/Spechti";"BB";2022-05-05;"W";"West";1000;344;10;108;"MBI";315;1
"106";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"N";"Nord";1000;479;1;104;"SER";173;1
"107";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"N";"Nord";1000;479;2;104;"SER";110;0
"108";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"N";"Nord";1000;479;3;104;"SER";150;1
"109";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"N";"Nord";1000;479;4;104;"SER";260;1
"110";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"N";"Nord";1000;479;5;104;"SER";255;1
"111";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"N";"Nord";1000;479;6;104;"SER";700;3
"112";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"N";"Nord";1000;479;7;108;"MBI";960;3
"113";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"N";"Nord";1000;479;8;108;"MBI";1030;3
"114";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"E";"Ost";1000;478;1;104;"SER";205;1
"115";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"E";"Ost";1000;478;2;104;"SER";70;0
"116";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"E";"Ost";1000;478;3;104;"SER";120;0
"117";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"E";"Ost";1000;478;4;121;"VBE";295;1
"118";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"S";"Süd";1000;416;1;108;"MBI";403;1
"119";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"S";"Süd";1000;416;2;104;"SER";107;0
"120";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"S";"Süd";1000;416;3;104;"SER";157;1
"121";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"S";"Süd";1000;416;4;108;"MBI";154;1
"122";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"S";"Süd";1000;416;5;NA;"SHA";160;1
"123";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"W";"West";1000;494;1;112;"GES";125;0
"124";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"W";"West";1000;494;2;112;"GES";146;1
"125";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"W";"West";1000;494;3;104;"SER";145;1
"126";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"W";"West";1000;494;4;111;"RBU";290;1
"127";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"W";"West";1000;494;5;104;"SER";310;1
"128";32070;"Hellsee/Biesenthal";"BB";2022-07-04;"W";"West";1000;494;6;112;"GES";640;2
"129";32090;"Pfauenfließ/Biesenthal";"BB";2022-06-27;"N";"Nord";1000;490;1;104;"SER";170;1
"130";32090;"Pfauenfließ/Biesenthal";"BB";2022-06-28;"S";"Süd";1000;500;1;104;"SER";630;3
"131";32090;"Pfauenfließ/Biesenthal";"BB";2022-06-29;"W";"West";1000;500;1;104;"SER";140;1
"132";32090;"Pfauenfließ/Biesenthal";"BB";2022-06-30;"W";"West";1000;500;2;104;"SER";480;3
