"";"MoMoK_Nr";"Name";"Bundesland";"Datum";"Nr_PK";"Nr";"Baumartengruppe";"TYP";"Hoehe/Laenge [dm]";"Durchmesser [cm]";"Zersetzungsgrad"
"24";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";6;2;4;2;"26";3
"25";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";7;2;4;2,5;"24";4
"26";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";8;2;4;3,4;"26";4
"27";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";9;2;4;2,8;"12";3
"28";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";10;2;4;3,3;"47";5
"29";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";11;2;4;2;"24";1
"30";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";12;2;4;2;"14";2
"31";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";13;2;4;3;"32";2
"32";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";14;2;4;3;"40";4
"33";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";15;2;4;2,4;"30";4
"34";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";16;2;4;2,4;"32.5";3
"35";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";17;2;4;2,7;"30";2
"36";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";18;2;4;2,2;"51";4
"37";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";19;2;4;2,4;"10.5";3
"38";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";20;2;4;2,1;"26";1
"39";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";21;2;4;3,4;"35";2
"40";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";22;2;4;2,5;"14";1
"41";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";23;2;4;2;"26.5";2
"42";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";24;2;4;3;"20";3
"43";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";25;2;4;2,7;"23";1
"44";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";26;2;4;2,6;"28";2
"45";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";27;2;4;3;"25";2
"46";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";28;2;4;2,1;"45";5
"47";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";29;2;4;2;"24.5";2
"48";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";30;2;4;2;"11";3
"49";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";31;2;4;2;"17";4
