bund_nr,bodenbearb
130001,-2
130002,-2
130003,-2
130004,-2
130006,-2
130008,-2
130009,-2
130010,0
130011,-2
130012,-2
130013,0
130014,0
130015,-2
130016,-1
130017,0
130019,-2
130020,-2
130021,-2
130022,0
130023,1
130024,-2
130025,-2
130026,0
130027,0
130028,0
130029,13
130030,-2
130031,-1
130032,0
130033,0
130034,-2
130035,-2
130036,0
130037,0
130039,0
130040,-2
130041,-2
130042,0
130043,-2
130044,0
130046,1
130047,13
130048,13
130049,-2
130050,0
130051,13
130052,1
130053,-2
130054,-2
130055,-2
130056,0
130057,0
130058,-2
130059,0
130060,0
130061,0
130062,-1
130063,-2
130064,0
130066,-1
130068,0
130069,0
130070,0
130071,1
130072,0
130073,0
130074,13
130075,0
130076,0
130077,13
130078,0
130079,13
130080,13
130081,1
130082,13
130083,15
130084,13
130085,-1
130086,-1
130087,-1
130088,1
