bund_nr,othori,uthori,uz,farbe,humus,kalk,hydrooxid,hydrooxidanteil,hydrored,hydroredanteil,geform,aggroesse,pedogen,wurzelintfein,wurzelintgrob,wurzelverteil
130010,0,10,,10YR4/2,h3,c0,e0,-2,r0,-2,ein,-1,-2,wf3,wg1,g
130010,10,60,,10YR4/6,h2,c0,e0,-2,r0,-2,ein,-1,-2,wf2,wg1,g
130010,60,90,True,10YR6/4,h0,c0,es,f1,r0,-2,ein,-1,-2,wf2,wg1,s
130013,0,7,,10YR3/2,h3,c0,e0,-2,r0,-2,kru,gre2,-2,wf4,-1,g
130013,7,50,,10YR5/4,h1,c0,e0,-2,r0,-2,sub,gre2,-2,wf3,-1,r
130013,50,60,,10YR7/4,h0,c0,e0,-2,r0,-2,sub,gre2,-2,wf1,-1,n
130013,60,90,True,10YR4/4,h0,c0,e0,-2,r0,-2,pol,gre3,-2,wf1,-1,g
130014,0,7,,10YR3/3,h3,c0,e0,-2,r0,-2,ein,-1,-2,wf4,-1,g
130014,7,12,,10YR4/4,h1,c0,e0,-2,r0,-2,ein,-1,-2,wf3,-1,g
130014,12,38,,10YR5/4,h0,c0,e0,-2,r0,-2,ein,-1,-2,wf2,-1,g
130014,38,45,,10YR4/2,h1,c0,e0,-2,r0,-2,ein,-1,-2,wf2,-1,g
130014,45,60,,10YR5/6,h0,c0,e0,-2,r0,-2,ein,-1,-2,wf2,-1,g
130014,60,90,,10YR6/4,h0,c0,e0,-2,r0,-2,ein,-1,-2,wf2,-1,g
130017,0,25,,10YR3/2,h3,c0,e0,-2,r0,-2,kru,gre2,-2,wf4,wg2,g
130017,25,50,,10YR4/4,h2,c0,e0,-2,r0,-2,kru,gre2,-2,wf3,wg2,g
130017,50,85,,10YR5/6,h1,c0,e0,-2,r0,-2,kru,gre2,-2,wf2,wg1,g
130017,85,90,,7.5YR4/4,h1,c0,e0,-2,r0,-2,sub,gre3,-2,wf3,wg0,g
130022,0,10,,7.5YR5/2,h2,c0,e0,-2,r0,-2,ein,-1,-2,wf2,wg1,g
130022,10,20,,7.5YR5/3,h2,c0,e0,-2,r0,-2,ein,-1,-2,wf2,wg1,g
130022,20,25,,7.5YR5/6,h1,c0,e0,-2,r0,-2,ein,-1,-2,wf2,wg1,g
